Date,Open,High,Low,Close,Adj Close,Volume
2007-09-26,9.843720,10.013100,9.652290,10.013100,6.271255,72665
2007-09-27,9.843720,10.013100,9.652290,10.013100,6.271255,72665
2007-09-28,10.160300,10.602100,10.160300,10.160300,6.363449,442103
2007-10-01,10.013100,10.565300,10.013100,10.270700,6.432593,318368
2007-10-02,10.263400,10.300200,9.939430,10.256000,6.423385,42105
2007-10-03,10.263400,10.300200,9.939430,10.256000,6.423385,42105
2007-10-04,9.961520,10.219200,9.961520,10.219200,6.400338,42377
2007-10-05,9.939430,10.233900,9.939430,10.226600,6.404972,60034
2007-10-08,10.344400,10.602100,10.270700,10.528400,6.593993,259014
2007-10-09,10.344400,10.602100,10.270700,10.528400,6.593993,259014
2007-10-10,10.491600,10.749300,10.491600,10.506300,6.580149,1344645
2007-10-11,10.594700,10.742000,10.491600,10.675700,6.686246,177656
2007-10-15,10.896600,11.117400,10.756700,11.117400,6.962885,415482
2007-10-16,10.896600,11.117400,10.756700,11.080600,6.939836,416025
2007-10-17,10.896600,11.169000,10.896600,11.117400,6.962885,2011806
2007-10-18,10.896600,11.169000,10.896600,11.117400,6.962885,2011806
2007-10-19,11.117400,11.338300,11.043800,11.338300,7.101235,322986
2007-10-22,10.933400,11.264700,10.933400,11.191100,7.009044,1033475
2007-10-23,10.933400,11.264700,10.933400,11.191100,7.009044,1033475
2007-10-24,11.301500,11.301500,11.007000,11.250000,7.045934,143836
2007-10-25,10.896600,11.169000,10.896600,11.043800,6.916789,1017719
2007-10-26,11.007000,11.117400,10.749300,10.749300,6.732343,196671
2007-10-29,11.043800,11.117400,10.970200,11.080600,6.939836,603732
2007-10-30,11.043800,11.117400,10.970200,11.080600,6.939836,603732
2007-10-31,11.043800,11.051200,10.896600,10.896600,6.824597,89643
2007-11-01,10.896600,11.411900,10.896600,11.411900,7.147331,511644
2007-11-05,11.043800,11.065900,10.896600,10.970200,6.870693,111103
2007-11-06,11.043800,11.065900,10.896600,10.970200,6.870693,111103
2007-11-07,11.043800,11.043800,10.528400,10.815600,6.773867,227231
2007-11-08,11.080600,11.117400,10.638900,10.749300,6.732343,368079
2007-11-09,10.749300,10.749300,10.049900,10.491600,6.570942,217724
2007-11-12,10.491600,10.491600,9.865800,10.160300,6.363449,178064
2007-11-13,10.160300,10.160300,10.013100,10.086700,6.317353,12632
2007-11-14,10.086700,10.381200,10.049900,10.270700,6.432593,1071369
2007-11-16,10.307600,10.528400,10.307600,10.373800,6.497165,271374
2007-11-19,10.300200,10.300200,9.755370,9.755370,6.109839,35314
2007-11-21,9.755370,9.792180,9.291530,9.497680,5.948445,59898
2007-11-22,9.571300,9.571300,9.188450,9.424050,5.902331,347163
2007-11-23,9.203180,9.203180,8.768790,8.908670,5.579545,1012422
2007-11-26,9.055920,9.055920,8.650980,8.761420,5.487322,497790
2007-11-27,8.650980,9.055920,8.650980,8.982300,5.625661,338198
2007-11-28,9.239990,9.460860,9.085370,9.122190,5.713275,117079
2007-11-29,9.055920,9.166360,8.982300,9.085370,5.690214,80271
2007-11-30,9.203180,9.424050,9.166360,9.350430,5.856221,83938
2007-12-03,9.350430,9.534490,8.687800,8.982300,5.625661,149405
2007-12-04,9.350430,9.534490,8.687800,9.019110,5.648714,150763
2007-12-05,9.151640,9.365150,9.129550,9.276800,5.810108,39796
2007-12-06,9.276800,9.350430,9.092740,9.092740,5.694830,328012
2007-12-07,9.276800,9.350430,9.092740,9.092740,5.694830,328012
2007-12-10,8.982300,9.129550,8.886590,8.982300,5.625661,449573
2007-12-11,8.982300,9.055920,8.761420,9.048560,5.667160,594496
2007-12-12,9.055920,9.276800,9.055920,9.269440,5.805496,346076
2007-12-13,9.055920,9.269440,8.945490,9.166360,5.740938,9779
2007-12-14,9.203180,9.203180,8.982300,9.033840,5.657939,12903
2007-12-17,9.048560,9.048560,8.466920,8.540550,5.348990,216230
2007-12-18,8.783510,8.783510,8.430110,8.540550,5.348990,74702
2007-12-19,8.444830,8.687800,8.327030,8.614170,5.395098,110695
2007-12-20,8.761420,8.761420,8.430110,8.540550,5.348990,420235
2007-12-21,8.496370,8.761420,8.393300,8.709890,5.455049,723935
2007-12-26,8.835050,8.982300,8.687800,8.982300,5.625661,365363
2007-12-27,8.982300,8.982300,8.827690,8.827690,5.528829,31647
2007-12-28,8.812960,8.812960,8.577360,8.724610,5.464269,190831
2008-01-02,8.835050,8.835050,8.466920,8.466920,5.302875,118166
2008-01-03,8.400660,8.430110,8.253410,8.253410,5.169153,2988
2008-01-04,8.430110,8.430110,7.730670,7.988360,5.003150,117758
2008-01-07,7.951540,7.951540,7.657040,7.767480,4.864812,69134
2008-01-08,7.922090,8.025170,7.730670,8.025170,5.026205,336025
2008-01-09,8.017810,8.017810,7.634950,7.730670,4.841759,351917
2008-01-10,7.841110,8.025170,7.841110,8.025170,5.026205,218267
2008-01-11,8.098790,8.098790,7.693850,7.730670,4.841759,216773
2008-01-14,7.730670,7.914730,7.730670,7.914730,4.957036,242443
2008-01-15,7.730670,7.877920,7.664400,7.841110,4.910927,111239
2008-01-16,7.693850,7.914730,7.472980,7.693850,4.818698,140712
2008-01-17,7.730670,7.730670,7.355180,7.355180,4.606587,85704
2008-01-18,7.288910,7.804290,7.288910,7.804290,4.887866,200610
