Date,Open,High,Low,Close,Adj Close,Volume
2010-04-16,268.459015,268.459015,268.459015,268.459015,268.459015,8
2010-04-19,225.059006,375.098999,225.059006,225.059006,225.059006,0
2010-04-20,330.087006,750.197021,330.087006,330.087006,330.087006,0
2010-04-22,null,null,null,null,null,null
2010-04-23,268.459015,268.459015,268.459015,268.459015,268.459015,33
2010-04-26,268.459015,268.459015,268.459015,268.459015,268.459015,213
2010-04-27,268.459015,268.459015,268.459015,268.459015,268.459015,123
2010-04-28,330.087006,375.098999,330.087006,330.087006,330.087006,0
2010-04-29,null,null,null,null,null,null
2010-04-30,300.079010,330.087006,300.079010,300.079010,300.079010,0
2010-05-03,268.459015,268.459015,268.459015,268.459015,268.459015,33
2010-05-04,268.459015,268.459015,268.459015,268.459015,268.459015,33
2010-05-05,null,null,null,null,null,null
2010-05-06,null,null,null,null,null,null
2010-05-07,null,null,null,null,null,null
2010-05-10,null,null,null,null,null,null
2010-05-11,null,null,null,null,null,null
2010-05-12,null,null,null,null,null,null
2010-05-13,268.459015,268.459015,268.459015,268.459015,268.459015,8
2010-05-14,null,null,null,null,null,null
2010-05-17,null,null,null,null,null,null
2010-05-18,null,null,null,null,null,null
2010-05-19,150.039001,330.087006,150.039001,150.039001,150.039001,0
2010-05-20,null,null,null,null,null,null
2010-05-21,null,null,null,null,null,null
2010-05-24,null,null,null,null,null,null
2010-05-25,null,null,null,null,null,null
2010-05-26,150.039001,330.087006,150.039001,150.039001,150.039001,0
2010-05-27,255.067001,330.087006,255.067001,255.067001,255.067001,0
2010-05-28,null,null,null,null,null,null
2010-05-31,null,null,null,null,null,null
2010-06-01,null,null,null,null,null,null
2010-06-02,null,null,null,null,null,null
2010-06-04,null,null,null,null,null,null
2010-06-07,null,null,null,null,null,null
2010-06-08,255.067001,300.079010,255.067001,255.067001,255.067001,0
2010-06-09,null,null,null,null,null,null
2010-06-10,null,null,null,null,null,null
2010-06-11,null,null,null,null,null,null
2010-06-14,null,null,null,null,null,null
2010-06-15,null,null,null,null,null,null
2010-06-16,null,null,null,null,null,null
2010-06-17,null,null,null,null,null,null
2010-06-18,null,null,null,null,null,null
2010-06-21,null,null,null,null,null,null
2010-06-22,null,null,null,null,null,null
2010-06-23,null,null,null,null,null,null
2010-06-24,null,null,null,null,null,null
2010-06-25,null,null,null,null,null,null
2010-06-28,null,null,null,null,null,null
2010-06-29,null,null,null,null,null,null
2010-06-30,null,null,null,null,null,null
2010-07-01,null,null,null,null,null,null
2010-07-02,null,null,null,null,null,null
2010-07-05,null,null,null,null,null,null
2010-07-06,255.067001,375.098999,255.067001,255.067001,255.067001,0
2010-07-07,null,null,null,null,null,null
2010-07-08,null,null,null,null,null,null
2010-07-12,null,null,null,null,null,null
2010-07-13,null,null,null,null,null,null
2010-07-14,null,null,null,null,null,null
2010-07-15,null,null,null,null,null,null
2010-07-16,null,null,null,null,null,null
2010-07-19,null,null,null,null,null,null
2010-07-20,null,null,null,null,null,null
2010-07-21,null,null,null,null,null,null
2010-07-22,244.054001,244.054001,244.054001,244.054001,244.054001,8
2010-07-23,null,null,null,null,null,null
2010-07-26,207.445999,207.445999,207.445999,207.445999,207.445999,41
2010-07-27,null,null,null,null,null,null
2010-07-28,207.445999,207.445999,207.445999,207.445999,207.445999,33
2010-07-29,225.059006,254.766998,225.059006,225.059006,225.059006,0
2010-07-30,195.242996,195.242996,195.242996,195.242996,195.242996,16
2010-08-02,195.050995,254.317001,195.050995,195.050995,195.050995,0
2010-08-03,195.050995,254.317001,195.050995,195.050995,195.050995,0
2010-08-04,null,null,null,null,null,null
2010-08-05,207.445999,207.445999,207.445999,207.445999,207.445999,16
2010-08-06,195.242996,195.242996,195.242996,195.242996,195.242996,16
2010-08-09,165.042999,240.063004,165.042999,165.042999,165.042999,0
2010-08-10,null,null,null,null,null,null
2010-08-11,null,null,null,null,null,null
2010-08-12,null,null,null,null,null,null
2010-08-13,null,null,null,null,null,null
2010-08-16,null,null,null,null,null,null
2010-08-17,null,null,null,null,null,null
2010-08-18,null,null,null,null,null,null
2010-08-19,165.042999,240.063004,165.042999,165.042999,165.042999,0
2010-08-20,195.242996,488.108002,195.242996,474.684998,474.684998,631
2010-08-23,329.595001,640.640991,329.595001,451.500000,451.500000,6581
2010-08-24,183.162003,183.162003,122.027000,137.279999,137.279999,3934
2010-08-25,140.330994,140.330994,115.926003,117.755997,117.755997,426
2010-08-26,119.463997,119.463997,97.621498,100.671997,100.671997,508
2010-08-27,100.671997,109.945999,85.418800,109.945999,109.945999,754
2010-08-30,109.213997,113.240997,100.793999,103.723000,103.723000,369
2010-08-31,105.796997,112.997002,103.723000,103.723000,103.723000,180
2010-09-01,109.092003,109.092003,95.181000,95.181000,95.181000,131
2010-09-02,94.936897,95.058998,89.811798,90.299896,90.299896,172
2010-09-03,85.418800,91.520203,82.978302,85.296799,85.296799,418
2010-09-06,82.856300,103.112999,76.999001,83.222397,83.222397,451
2010-09-08,95.058998,95.058998,78.097198,83.466400,83.466400,238
2010-09-09,79.561501,79.561501,78.219299,78.219299,78.219299,148
2010-09-10,78.829399,78.829399,78.341301,78.463303,78.463303,156
2010-09-13,79.317497,84.564697,78.097198,78.097198,78.097198,303
2010-09-14,83.100304,83.100304,76.022797,76.022797,76.022797,98
2010-09-15,78.829399,78.829399,75.900703,75.900703,75.900703,66
2010-09-16,74.558403,74.558403,74.070297,74.070297,74.070297,57
2010-09-17,73.826302,79.073402,72.972099,79.073402,79.073402,131
2010-09-20,79.195503,79.317497,76.266800,76.266800,76.266800,66
2010-09-21,71.995903,71.995903,70.165497,70.165497,70.165497,107
2010-09-22,84.472198,94.524803,84.472198,84.472198,84.472198,0
2010-09-23,70.165497,70.165497,67.602898,67.602898,67.602898,49
2010-09-24,67.724899,67.969002,67.114799,67.114799,67.114799,344
2010-09-27,75.469803,86.872803,75.469803,75.469803,75.469803,0
2010-09-28,70.775597,71.995903,68.335098,68.335098,68.335098,66
2010-09-29,75.319801,82.521698,75.319801,75.319801,75.319801,0
