Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.846130,3.846730,3.816680,3.816680,2.820335,46585
2008-01-03,3.846730,3.876780,3.845230,3.876780,2.864746,129773
2008-01-04,3.876780,3.876780,3.816680,3.816680,2.820335,153065
2008-01-07,3.816680,3.816680,3.816680,3.816680,2.820335,262873
2008-01-08,3.861760,3.861760,3.846730,3.846730,2.842540,226270
2008-01-09,3.846730,3.846730,3.846430,3.846730,2.842540,109808
2008-01-10,3.846730,3.846730,3.756570,3.816380,2.820113,49913
2008-01-11,3.846730,3.981970,3.756570,3.786630,2.798129,938355
2008-01-14,3.741550,3.767690,3.741550,3.767690,2.784133,276183
2008-01-15,3.767690,3.830800,3.756570,3.756570,2.775917,632225
2008-01-16,3.606010,3.606010,3.456050,3.576260,2.642677,329423
2008-01-17,3.603310,3.606010,3.395940,3.585270,2.649334,442558
2008-01-18,3.606010,3.606010,3.395940,3.395940,2.509429,212960
2008-01-21,3.336740,3.365890,3.200600,3.245680,2.398395,352715
2008-01-22,3.272730,3.275730,3.155520,3.238170,2.392845,382663
2008-01-23,3.224640,3.227350,3.224640,3.227350,2.384850,86515
2008-01-24,3.365890,3.422990,3.245680,3.389930,2.504988,4345715
2008-01-28,3.380620,3.380920,3.320810,3.380620,2.498108,86515
2008-01-29,3.364990,3.364990,3.335840,3.335840,2.465018,29948
2008-01-30,3.335840,3.335840,3.305790,3.320210,2.453469,3460600
2008-01-31,3.365590,3.365890,3.305790,3.365890,2.487223,146410
2008-02-01,3.450040,3.486100,3.335840,3.435010,2.538300,349388
2008-02-06,3.395940,3.426000,3.335840,3.426000,2.531642,106480
2008-02-07,3.395940,3.410970,3.365890,3.410970,2.520535,19965
2008-02-08,3.418480,3.418480,3.350860,3.379410,2.497214,266200
2008-02-11,3.425690,3.425690,3.065360,3.275730,2.420600,1197900
2008-02-12,3.335540,3.335840,3.236660,3.290760,2.431706,69878
2008-02-13,3.335840,3.335840,3.200600,3.290760,2.431706,509108
2008-02-14,3.380920,3.456050,3.185570,3.185570,2.353976,1154643
2008-02-15,3.185570,3.245680,3.155520,3.200300,2.364861,236253
2008-02-18,3.245680,3.335840,3.245680,3.248380,2.400389,26620
2008-02-19,3.329530,3.329530,3.125470,3.170550,2.342877,362698
2008-02-20,3.170550,3.170550,3.140500,3.140500,2.320672,46585
2008-02-21,3.140500,3.140500,3.080990,3.109540,2.297794,246235
2008-02-22,3.095420,3.125470,3.035310,3.125470,2.309566,522418
2008-02-25,3.215630,3.215630,3.155520,3.215630,2.376189,1860073
2008-02-26,3.155520,3.305790,3.155520,3.170550,2.342877,3886520
2008-02-27,3.185570,3.185570,3.125470,3.167540,2.340653,925045
2008-02-28,3.185570,3.266720,3.110440,3.185570,2.353976,781963
2008-02-29,3.155520,3.155520,3.149510,3.149510,2.327329,728723
2008-03-03,3.149510,3.155520,3.149510,3.155520,2.331770,163048
2008-03-04,3.095420,3.095420,2.993240,2.993240,2.211854,662173
2008-03-05,3.033810,3.230650,2.990230,3.020290,2.231843,2432403
2008-03-06,3.023290,3.065360,3.023290,3.026300,2.236284,119790
2008-03-07,3.050340,3.050340,3.017280,3.017280,2.229618,83188
2008-03-10,3.017280,3.035310,2.976110,2.976110,2.199195,602278
2008-03-11,3.065360,3.065360,3.005260,3.005260,2.220736,635553
2008-03-12,3.092410,3.151620,3.065360,3.098420,2.289577,262873
2008-03-13,3.148610,3.215630,3.080390,3.215630,2.376189,512435
2008-03-14,3.275430,3.365890,3.215330,3.215330,2.375967,1147988
2008-03-17,3.155520,3.272730,3.142900,3.272730,2.418383,39930
2008-03-18,3.275730,3.335840,3.275730,3.305790,2.442812,815238
2008-03-19,3.335840,3.335840,3.125470,3.131480,2.314006,103153
2008-03-20,3.128470,3.274230,3.126070,3.274230,2.419492,83188
2008-03-24,3.290760,3.290760,3.216230,3.284750,2.427265,59895
2008-03-25,3.290460,3.290760,3.185570,3.229150,2.386180,389318
2008-03-26,3.215630,3.242670,3.147110,3.147110,2.325556,19965
2008-03-27,3.215930,3.215930,3.155520,3.155520,2.331770,49913
2008-03-28,3.155520,3.254700,3.131480,3.131480,2.314006,49913
2008-03-31,3.215630,3.299770,3.215330,3.215330,2.375967,99825
2008-04-01,3.275730,3.275730,3.155820,3.242070,2.395726,56568
2008-04-02,3.269720,3.269720,3.125770,3.185270,2.353754,139755
2008-04-03,3.140800,3.155520,3.125470,3.155520,2.331770,106480
2008-04-04,3.125770,3.213820,3.125170,3.125170,2.309344,63223
2008-04-07,3.155520,3.200600,3.035310,3.080390,2.276253,555693
2008-04-08,3.103830,3.103830,3.065060,3.103830,2.293575,555693
2008-04-09,3.103830,3.103830,3.102930,3.102930,2.292909,9983
2008-04-10,3.011270,3.125170,3.011270,3.125170,2.309344,292820
2008-04-11,3.065360,3.065360,2.993240,2.993240,2.211854,349388
2008-04-14,2.989030,3.005260,2.960780,2.960780,2.187867,196323
2008-04-15,2.951470,3.034710,2.945150,2.945150,2.176318,242908
2008-04-16,2.975210,3.020290,2.945450,3.020290,2.231843,116463
2008-04-17,3.005260,3.005260,2.916600,2.916600,2.155221,954993
2008-04-18,2.975210,3.004660,2.886550,3.004660,2.220293,462523
2008-04-22,3.004660,3.077390,3.004660,3.077390,2.274037,36603
2008-04-23,3.035610,3.077390,2.981220,2.997750,2.215187,805255
2008-04-24,2.981220,2.981220,2.981220,2.981220,2.202972,6655
2008-04-25,2.981220,3.064760,2.969200,3.004960,2.220514,13310
2008-04-28,3.041020,3.041020,2.945150,3.005260,2.220736,346060
2008-04-29,2.975510,2.975510,2.945150,2.945150,2.176318,692120
2008-04-30,2.984220,3.035310,2.984220,3.035310,2.242942,136428
2008-05-02,3.245680,3.245680,3.155520,3.155520,2.331770,399300
2008-05-05,3.065660,3.230650,3.065660,3.200600,2.365083,59895
2008-05-06,3.185570,3.230350,3.170550,3.170550,2.342877,262873
2008-05-07,3.155820,3.215330,3.155520,3.179560,2.349535,346060
2008-05-08,3.257700,3.257700,3.125470,3.125470,2.309566,69878
2008-05-09,3.214730,3.214730,3.211720,3.211720,2.373300,43258
2008-05-12,3.197600,3.212020,3.197600,3.212020,2.373520,93170
2008-05-13,3.197600,3.212020,3.197600,3.212020,2.373520,93170
2008-05-14,3.208110,3.215630,3.208110,3.215630,2.376189,53240
2008-05-15,3.245380,3.305790,3.245380,3.290760,2.431706,123118
2008-05-16,3.305790,3.545910,3.305790,3.456050,2.553847,1314363
2008-05-19,3.543200,3.576260,3.501130,3.576260,2.642677,119790
2008-05-20,3.516150,3.591280,3.516150,3.590980,2.653554,96498
2008-05-21,3.606010,3.606310,3.487000,3.576260,2.642677,19965
2008-05-23,3.606310,3.606310,3.606310,3.606310,2.664882,289493
2008-05-26,3.606310,3.606310,3.546210,3.606010,2.664661,532400
2008-05-27,3.606310,3.606310,3.516150,3.575960,2.642455,53240
2008-05-28,3.576260,3.696470,3.576260,3.696470,2.731505,96498
2008-05-29,3.696470,3.816680,3.606610,3.756570,2.775917,96498
2008-05-30,3.816380,3.816380,3.644180,3.771600,2.787023,292820
2008-06-02,3.786630,3.786630,3.726220,3.726220,2.753489,292820
2008-06-03,3.647180,3.681140,3.647180,3.666420,2.709300,269528
2008-06-04,3.666420,3.666420,3.577760,3.577760,2.643785,119790
2008-06-05,3.606310,3.606310,3.519160,3.603310,2.662665,36603
2008-06-06,3.606310,3.606310,3.516150,3.545910,2.620249,53240
2008-06-09,3.552220,3.552220,3.550710,3.552220,2.624912,76533
2008-06-10,3.574760,3.574760,3.574760,3.574760,2.641567,3328
2008-06-11,null,null,null,null,null,null
2008-06-12,3.606310,3.606310,3.486100,3.486100,2.576052,848513
2008-06-13,3.546210,3.546210,3.395940,3.395940,2.509429,189668
2008-06-16,3.395940,3.496620,3.395940,3.395940,2.509429,83188
2008-06-17,3.471070,3.471070,3.395940,3.395940,2.509429,53240
2008-06-18,3.456050,3.456050,3.275730,3.275730,2.420600,183013
2008-06-19,3.365890,3.365890,3.185570,3.185570,2.353976,83188
2008-06-20,3.185570,3.185570,3.095420,3.095420,2.287360,36603
2008-06-23,3.245680,3.245680,3.125470,3.125470,2.309566,63223
2008-06-24,3.125470,3.125470,3.005260,3.005260,2.220736,638880
2008-06-25,3.035310,3.095120,3.005260,3.005260,2.220736,282838
2008-06-26,3.035310,3.035310,3.035310,3.035310,2.242942,29948
2008-06-27,2.945150,3.032310,2.945150,3.005260,2.220736,179685
2008-06-30,3.032310,3.032310,2.975210,3.005260,2.220736,36603
2008-07-01,2.999250,3.005260,2.960180,2.960180,2.187424,56568
2008-07-02,3.035010,3.035010,2.917510,2.975210,2.198531,232925
2008-07-03,2.957180,3.065360,2.957180,2.975210,2.198531,1004905
2008-07-04,3.005260,3.020290,2.975210,3.020290,2.231843,206305
2008-07-07,3.035310,3.035310,3.004960,3.005260,2.220736,16638
2008-07-08,3.035010,3.050340,2.975210,2.975210,2.198531,262873
2008-07-10,2.945450,3.032310,2.945150,3.005260,2.220736,43258
2008-07-11,3.020290,3.125470,3.005260,3.035310,2.242942,59895
2008-07-14,3.065360,3.101430,3.065360,3.095120,2.287138,63223
2008-07-15,null,null,null,null,null,null
2008-07-16,null,null,null,null,null,null
2008-07-17,3.107440,3.107440,3.065360,3.080390,2.276253,13310
2008-07-18,3.089410,3.089410,3.089410,3.089410,2.282918,3328
2008-07-21,null,null,null,null,null,null
2008-07-22,3.088810,3.088810,3.006460,3.065060,2.264925,153065
2008-07-23,3.095420,3.095420,3.065060,3.067470,2.266706,119790
2008-07-24,3.062060,3.062360,3.062060,3.062360,2.262930,36603
2008-07-25,3.035310,3.110440,2.975210,3.050040,2.253826,49913
2008-07-28,3.094820,3.094820,3.035310,3.050040,2.253826,69878
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,2.404210,2.404210,2.253940,2.253940,1.665548,1514013
2008-08-19,2.320060,2.329080,2.314050,2.314050,1.709967,252890
2008-08-20,2.326070,2.326070,2.325770,2.326070,1.718849,259545
2008-08-21,2.373250,2.373250,2.370850,2.370850,1.751939,66550
2008-08-22,2.372650,2.372650,2.368140,2.368140,1.749936,232925
2008-08-25,null,null,null,null,null,null
2008-08-26,2.344100,2.344100,2.344100,2.344100,1.732172,99825
2008-08-27,2.253940,2.253940,2.163790,2.163790,1.598932,1480738
2008-08-28,2.253940,2.253940,2.133730,2.178810,1.610031,206305
2008-08-29,2.133730,2.253940,2.103680,2.194140,1.621359,865150
2008-09-01,2.268670,2.268670,2.229600,2.229600,1.647562,16638
2008-09-02,2.238920,2.238920,2.238920,2.238920,1.654450,3328
2008-09-03,2.208870,2.238920,2.208870,2.238620,1.654227,29948
2008-09-04,2.178810,2.178810,2.178810,2.178810,1.610031,3328
2008-09-05,2.208870,2.208870,2.208870,2.208870,1.632244,13310
2008-09-08,2.253940,2.253940,2.238620,2.238920,1.654450,9983
2008-09-09,2.238920,2.238920,2.043880,2.103380,1.554292,93170
2008-09-10,2.163790,2.163790,1.984970,1.984970,1.466793,113135
2008-09-11,1.953720,1.982870,1.923370,1.950110,1.441033,755343
2008-09-12,1.983770,2.012020,1.923370,1.923370,1.421274,63223
2008-09-15,1.908640,1.923370,1.803160,1.803160,1.332444,2196150
2008-09-16,1.848230,1.938390,1.803160,1.908340,1.410167,539055
2008-09-17,1.851240,1.935390,1.773100,1.788130,1.321338,1510685
2008-09-18,1.758380,1.935390,1.758380,1.935390,1.430156,1583890
2008-09-19,2.013220,2.013220,1.953420,1.953420,1.443479,73205
2008-09-22,1.953420,1.977460,1.803460,1.918860,1.417941,53240
2008-09-23,1.918860,1.953420,1.803160,1.803160,1.332444,56568
2008-09-24,1.848230,1.860560,1.773400,1.788430,1.321560,342733
2008-09-25,1.803760,1.818180,1.803160,1.818180,1.343544,126445
2008-09-26,1.818180,1.833210,1.818180,1.833210,1.354650,23293
2008-09-29,1.818180,1.818180,1.764990,1.803160,1.332444,86515
2008-09-30,1.833210,1.891210,1.818180,1.821190,1.345768,176358
2008-10-01,1.832910,1.834410,1.818180,1.832910,1.354428,46585
2008-10-02,1.818180,1.833210,1.764090,1.802250,1.331772,216288
2008-10-03,1.833210,1.833210,1.803160,1.803160,1.332444,146410
2008-10-06,1.742750,1.742750,1.622840,1.622840,1.199197,109808
2008-10-07,1.667920,1.667920,1.592790,1.622840,1.199197,26620
2008-10-08,1.592790,1.592790,1.502630,1.516150,1.120359,1134678
2008-10-09,1.516150,1.590980,1.472580,1.532680,1.132573,103153
2008-10-10,1.319010,1.322310,1.172050,1.216230,0.898733,2758498
2008-10-13,1.322310,1.382420,1.232160,1.271530,0.939597,1164625
2008-10-14,1.273330,1.292260,1.247480,1.276930,0.943587,525745
2008-10-15,1.276930,1.276930,1.202100,1.214120,0.897173,2984768
2008-10-16,1.202400,1.270920,1.196090,1.267920,0.936929,3127850
2008-10-17,1.232160,1.268820,1.172050,1.172050,0.866086,479160
2008-10-20,1.232160,1.268820,1.202100,1.262210,0.932710,232925
2008-10-21,1.262210,1.322010,1.217130,1.322010,0.976899,379335
2008-10-22,1.219230,1.261610,1.219230,1.261610,0.932266,9983
2008-10-23,1.247180,1.247180,1.173550,1.173550,0.867194,59895
2008-10-24,1.102930,1.102930,1.102930,1.102930,0.815010,13310
2008-10-27,1.101730,1.111340,0.961680,0.963190,0.711749,974958
2008-10-28,0.991740,0.991740,0.945760,0.991740,0.732846,811910
2008-10-29,0.991740,1.111950,0.991740,1.111950,0.821675,2968130
2008-10-30,1.142000,1.232160,1.142000,1.202400,0.888513,1078110
2008-10-31,1.172350,1.202100,1.111950,1.111950,0.821675,309458
2008-11-03,1.172050,1.172050,1.081890,1.111950,0.821675,479160
2008-11-04,1.111950,1.142000,1.081890,1.111950,0.821675,1101403
2008-11-05,1.096920,1.129980,1.096920,1.097220,0.810790,565675
2008-11-06,1.111950,1.141700,1.111950,1.141700,0.843659,575658
2008-11-07,1.141700,1.141700,1.141700,1.141700,0.843659,26620
2008-11-10,1.187080,1.187080,1.187080,1.187080,0.877193,16638
2008-11-11,1.187080,1.247480,1.187080,1.217130,0.899398,256218
2008-11-12,1.180470,1.180470,1.157020,1.157020,0.854980,269528
2008-11-13,1.157020,1.232160,1.157020,1.178060,0.870527,56568
2008-11-14,1.172350,1.247180,1.172350,1.202100,0.888291,449213
2008-11-17,1.202100,1.217130,1.202100,1.216830,0.899176,109808
2008-11-18,1.202100,1.217130,1.202100,1.217130,0.899398,93170
2008-11-19,1.232160,1.232160,1.202100,1.202100,0.888291,219615
2008-11-21,1.172050,1.187080,1.172050,1.187080,0.877193,73205
2008-11-24,1.202100,1.202100,1.202100,1.202100,0.888291,133100
2008-11-25,1.202100,1.262210,1.202100,1.226150,0.906063,36603
2008-11-26,1.226150,1.226150,1.202100,1.202100,0.888291,226270
2008-11-27,null,null,null,null,null,null
2008-11-28,1.238470,1.238470,1.238470,1.238470,0.915167,359370
2008-12-01,1.238470,1.238470,1.238470,1.238470,0.915167,133100
2008-12-02,1.238470,1.261910,1.238170,1.261910,0.932488,23293
2008-12-03,1.242670,1.242670,1.232160,1.232160,0.910504,146410
2008-12-04,null,null,null,null,null,null
2008-12-05,1.232160,1.232160,1.202100,1.202100,0.888291,442558
2008-12-08,1.262210,1.298270,1.262210,1.298270,0.959356,442558
2008-12-09,null,null,null,null,null,null
2008-12-10,1.297970,1.298270,1.277240,1.298270,0.959356,33275
2008-12-11,1.292260,1.304280,1.292260,1.304280,0.963797,216288
2008-12-12,1.292260,1.304280,1.292260,1.304280,0.963797,186340
2008-12-15,1.304280,1.304280,1.292260,1.292260,0.954915,153065
2008-12-16,1.304280,1.304280,1.304280,1.304280,0.963797,109808
2008-12-17,1.322310,1.322310,1.304280,1.304280,0.963797,139755
2008-12-18,1.334340,1.334340,1.322310,1.334340,0.986010,46585
2008-12-19,1.348760,1.352370,1.322610,1.352370,0.999334,29948
2008-12-22,1.352370,1.352370,1.326820,1.326820,0.980453,16638
2008-12-23,1.364390,1.364390,1.364390,1.364390,1.008216,6655
2008-12-26,null,null,null,null,null,null
2008-12-29,null,null,null,null,null,null
2008-12-30,null,null,null,null,null,null
2009-01-02,null,null,null,null,null,null
2009-01-05,null,null,null,null,null,null
2009-01-06,null,null,null,null,null,null
2009-01-07,null,null,null,null,null,null
2009-01-08,null,null,null,null,null,null
2009-01-09,null,null,null,null,null,null
2009-01-12,null,null,null,null,null,null
2009-01-13,null,null,null,null,null,null
2009-01-14,null,null,null,null,null,null
2009-01-15,null,null,null,null,null,null
2009-01-16,null,null,null,null,null,null
2009-01-19,null,null,null,null,null,null
2009-01-20,1.496620,1.496620,1.469570,1.469570,1.085938,86515
2009-01-21,1.442820,1.517360,1.442520,1.517360,1.121253,46585
2009-01-22,1.472580,1.514650,1.472580,1.514650,1.119250,9983
2009-01-23,1.517360,1.577760,1.502630,1.577760,1.165885,133100
2009-01-26,1.577760,1.622540,1.577760,1.592790,1.176992,206305
2009-01-27,1.592790,1.592790,1.592790,1.592790,1.176992,6655
2009-01-28,1.592790,1.637870,1.592790,1.633960,1.207414,23293
2009-01-29,1.622540,1.622840,1.622540,1.622840,1.199197,79860
2009-01-30,1.622540,1.637870,1.619530,1.637870,1.210304,522418
2009-02-02,1.637870,1.637870,1.637870,1.637870,1.210304,73205
2009-02-03,1.622840,1.622840,1.577760,1.577760,1.165885,126445
2009-02-04,1.562730,1.577760,1.544700,1.544700,1.141456,93170
2009-02-05,1.547710,1.562730,1.502930,1.502930,1.110590,69878
2009-02-06,1.502930,1.502930,1.442520,1.445530,1.068174,5590200
2009-02-09,1.487600,1.487600,1.486700,1.487600,1.099262,19965
2009-02-10,1.502330,1.502330,1.502330,1.502330,1.110146,6655
2009-02-11,null,null,null,null,null,null
2009-02-12,1.457850,1.457850,1.454240,1.454240,1.074610,16638
2009-02-13,1.457550,1.457550,1.427500,1.457250,1.076835,59895
2009-02-16,null,null,null,null,null,null
2009-02-17,1.427800,1.442220,1.427500,1.442220,1.065728,13310
2009-02-18,1.442520,1.442520,1.436510,1.439520,1.063733,23293
2009-02-19,null,null,null,null,null,null
2009-02-20,null,null,null,null,null,null
2009-02-25,1.439520,1.439520,1.439520,1.439520,1.063733,6655
2009-02-26,1.382420,1.439220,1.382420,1.427200,1.054629,46585
2009-02-27,1.412470,1.436510,1.382420,1.436510,1.061509,249563
2009-03-02,1.394440,1.394440,1.352370,1.352370,0.999334,26620
2009-03-03,1.367390,1.367390,1.367090,1.367390,1.010432,33275
2009-03-04,1.382420,1.382420,1.382420,1.382420,1.021539,13310
2009-03-05,null,null,null,null,null,null
2009-03-06,1.382420,1.382420,1.341250,1.381820,1.021096,16638
2009-03-09,1.379410,1.379410,1.379410,1.379410,1.019315,3328
2009-03-10,1.352670,1.352670,1.323820,1.323820,0.978236,36603
2009-03-11,1.352370,1.352370,1.352070,1.352070,0.999112,23293
2009-03-12,1.352070,1.352070,1.352070,1.352070,0.999112,6655
2009-03-13,1.382420,1.382420,1.382420,1.382420,1.021539,3328
2009-03-16,1.381520,1.502630,1.381520,1.502330,1.110146,133100
2009-03-17,1.532680,1.547710,1.502630,1.547710,1.143680,56568
2009-03-18,1.547710,1.562130,1.532680,1.560930,1.153448,66550
2009-03-19,1.532680,1.571150,1.532680,1.571150,1.161001,36603
2009-03-20,1.532680,1.592790,1.532680,1.590680,1.175432,29948
2009-03-23,1.577760,1.622540,1.577760,1.619830,1.196973,196323
2009-03-24,1.628850,1.652590,1.628850,1.642370,1.213629,9983
2009-03-25,1.649890,1.661610,1.642370,1.660410,1.226960,59895
2009-03-26,1.658600,1.658600,1.577760,1.577760,1.165885,29948
2009-03-27,1.607810,1.607810,1.574460,1.574460,1.163447,9983
2009-03-30,1.592490,1.592490,1.502630,1.502630,1.110368,173030
2009-03-31,1.529680,1.556720,1.502630,1.537190,1.135906,815238
2009-04-01,1.508340,1.562730,1.502630,1.562730,1.154779,442558
2009-04-02,1.592790,1.652890,1.592790,1.652890,1.221403,43258
2009-04-03,null,null,null,null,null,null
2009-04-06,1.649890,1.649890,1.649890,1.649890,1.219186,89843
2009-04-07,1.619830,1.619830,1.619830,1.619830,1.196973,13310
2009-04-08,1.619830,1.625850,1.577760,1.625850,1.201421,342733
2009-04-09,1.577760,1.679940,1.577760,1.679940,1.241391,442558
2009-04-13,1.679940,1.682640,1.679940,1.682640,1.243386,19965
2009-04-14,1.713000,1.713000,1.679940,1.697670,1.254493,13310
2009-04-15,1.682950,1.713000,1.682950,1.713000,1.265821,63223
2009-04-16,1.713000,1.788130,1.713000,1.788130,1.321338,56568
2009-04-17,1.788130,1.803160,1.743350,1.800450,1.330442,63223
2009-04-20,1.800450,1.893310,1.800450,1.893310,1.399061,349388
2009-04-22,1.923670,1.953420,1.908340,1.923370,1.421274,246235
2009-04-23,1.944400,1.944400,1.929380,1.938390,1.432373,246235
2009-04-24,1.893310,2.043580,1.893310,1.983470,1.465685,875133
2009-04-27,2.103680,2.163790,2.073630,2.073630,1.532308,262873
2009-04-28,2.073630,2.145760,2.073630,2.073630,1.532308,129773
2009-04-29,2.073630,2.148160,2.073630,2.148160,1.587382,83188
2009-04-30,2.133730,2.223590,2.133730,2.223590,1.643121,11586355
2009-05-04,2.223590,2.389480,2.223590,2.389480,1.765706,23293
2009-05-05,2.403910,2.403910,2.386180,2.386180,1.763267,16638
2009-05-06,2.344100,2.434260,2.344100,2.434260,1.798796,189668
2009-05-07,2.494060,2.524420,2.449290,2.464310,1.821001,56568
2009-05-08,2.524120,2.524420,2.464310,2.509090,1.854092,89843
2009-05-11,2.494370,2.494370,2.422240,2.491060,1.840768,505780
2009-05-12,null,null,null,null,null,null
2009-05-13,2.419230,2.419530,2.404210,2.404210,1.776590,49913
2009-05-14,2.389180,2.458300,2.389180,2.458300,1.816560,23293
2009-05-15,2.458300,2.458300,2.458300,2.458300,1.816560,159720
2009-05-18,2.434260,2.464310,2.280990,2.464310,1.821001,269528
2009-05-19,2.464310,2.477840,2.464310,2.477840,1.830999,19965
