Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,9.990000,10.050000,9.800000,9.800000,9.800000,773000
2020-05-22,9.800000,9.850000,9.620000,9.850000,9.850000,407200
2020-05-25,9.920000,9.950000,9.780000,9.870000,9.870000,188900
2020-05-26,9.830000,10.000000,9.800000,9.910000,9.910000,56600
2020-05-27,9.870000,9.900000,9.760000,9.760000,9.760000,61800
2020-05-28,9.780000,9.780000,9.600000,9.650000,9.650000,46600
2020-05-29,9.590000,9.850000,9.500000,9.500000,9.500000,227300
2020-06-01,9.440000,9.800000,9.200000,9.800000,9.800000,81600
2020-06-02,9.820000,9.950000,9.570000,9.590000,9.590000,174300
2020-06-03,9.620000,9.770000,9.600000,9.660000,9.660000,957600
2020-06-04,9.590000,9.930000,9.590000,9.900000,9.900000,49900
2020-06-05,9.900000,10.570000,9.880000,9.880000,9.880000,470500
2020-06-08,10.000000,10.190000,9.650000,9.700000,9.700000,299200
2020-06-09,9.680000,10.030000,9.680000,9.810000,9.810000,127600
2020-06-10,10.050000,10.090000,9.690000,9.950000,9.950000,49300
2020-06-12,9.720000,9.870000,9.580000,9.590000,9.590000,70800
2020-06-15,9.570000,9.690000,9.150000,9.400000,9.400000,53600
2020-06-16,9.510000,9.800000,9.500000,9.600000,9.600000,42000
2020-06-17,9.740000,9.800000,9.520000,9.780000,9.780000,31500
2020-06-18,9.750000,9.850000,9.570000,9.840000,9.840000,43800
2020-06-19,9.850000,9.860000,9.370000,9.370000,9.370000,42600
2020-06-22,9.500000,9.650000,9.490000,9.600000,9.600000,37300
2020-06-23,9.770000,9.780000,9.510000,9.720000,9.720000,34200
2020-06-24,9.640000,9.670000,9.150000,9.150000,9.150000,85300
2020-06-25,9.200000,9.490000,9.160000,9.350000,9.350000,25100
2020-06-26,9.420000,9.420000,9.200000,9.200000,9.200000,17000
2020-06-29,9.420000,9.420000,9.140000,9.150000,9.150000,24800
2020-06-30,9.220000,9.490000,9.190000,9.300000,9.300000,56100
2020-07-01,9.200000,9.580000,9.200000,9.500000,9.500000,44000
2020-07-02,9.510000,9.790000,9.300000,9.300000,9.300000,37500
2020-07-03,9.450000,9.600000,9.310000,9.600000,9.600000,32500
2020-07-06,9.700000,9.700000,9.600000,9.690000,9.690000,53400
2020-07-07,9.790000,9.820000,9.650000,9.810000,9.810000,86500
2020-07-08,9.800000,9.800000,9.610000,9.780000,9.780000,28500
2020-07-09,9.770000,9.890000,9.700000,9.860000,9.860000,33800
2020-07-10,9.820000,9.820000,9.560000,9.700000,9.700000,72200
2020-07-13,9.760000,9.760000,9.370000,9.370000,9.370000,45000
2020-07-14,9.380000,9.670000,9.380000,9.650000,9.650000,52200
2020-07-15,9.700000,9.700000,9.490000,9.680000,9.680000,39200
2020-07-16,9.520000,9.680000,9.450000,9.680000,9.680000,16400
2020-07-17,9.680000,9.800000,9.550000,9.800000,9.800000,52000
2020-07-20,9.770000,9.800000,9.560000,9.560000,9.560000,59900
2020-07-21,9.660000,9.780000,9.550000,9.650000,9.650000,82500
2020-07-22,9.650000,9.660000,9.580000,9.660000,9.660000,8800
2020-07-23,9.640000,9.660000,9.380000,9.380000,9.380000,20300
2020-07-24,9.380000,9.550000,9.300000,9.500000,9.500000,19200
2020-07-27,9.600000,9.750000,9.310000,9.690000,9.690000,138700
2020-07-28,9.650000,9.710000,9.460000,9.690000,9.690000,92600
2020-07-29,9.560000,9.710000,9.480000,9.710000,9.710000,37700
2020-07-30,9.640000,9.730000,9.500000,9.650000,9.650000,76800
2020-07-31,9.640000,9.680000,9.400000,9.680000,9.680000,131700
2020-08-03,9.680000,9.680000,9.440000,9.440000,9.440000,26100
2020-08-04,9.440000,9.650000,9.230000,9.650000,9.650000,86800
2020-08-05,9.650000,9.650000,9.400000,9.420000,9.420000,50200
2020-08-06,9.530000,9.530000,9.340000,9.380000,9.380000,37900
2020-08-07,9.330000,9.540000,9.210000,9.210000,9.210000,49200
2020-08-10,9.260000,9.500000,9.170000,9.170000,9.170000,39400
2020-08-11,9.220000,9.360000,9.220000,9.360000,9.360000,23900
2020-08-12,9.300000,9.440000,9.240000,9.350000,9.350000,18100
2020-08-13,9.350000,9.350000,9.200000,9.300000,9.300000,11800
2020-08-14,9.310000,9.350000,9.230000,9.260000,9.260000,19300
2020-08-17,9.260000,9.280000,9.150000,9.200000,9.200000,21300
2020-08-18,9.200000,9.310000,9.180000,9.200000,9.200000,17100
2020-08-19,9.210000,9.310000,9.200000,9.200000,9.200000,5700
2020-08-20,9.150000,9.310000,9.150000,9.310000,9.310000,21900
2020-08-21,9.310000,9.460000,9.140000,9.400000,9.400000,47900
2020-08-24,9.460000,9.680000,9.430000,9.570000,9.570000,104700
2020-08-25,9.570000,9.670000,9.420000,9.650000,9.650000,41400
2020-08-26,9.600000,9.690000,9.480000,9.690000,9.690000,55100
2020-08-27,9.750000,9.750000,9.240000,9.240000,9.240000,54000
2020-08-28,9.240000,9.650000,9.180000,9.650000,9.650000,94600
2020-08-31,9.600000,9.870000,9.510000,9.800000,9.800000,165500
2020-09-01,9.800000,9.940000,9.790000,9.850000,9.850000,120800
2020-09-02,9.750000,9.990000,9.460000,9.500000,9.500000,2449000
2020-09-03,9.550000,9.630000,9.380000,9.480000,9.480000,33000
2020-09-04,9.680000,9.680000,9.460000,9.460000,9.460000,13500
2020-09-08,9.500000,9.550000,9.300000,9.300000,9.300000,22100
2020-09-09,9.480000,9.610000,9.300000,9.580000,9.580000,24600
2020-09-10,9.630000,9.630000,9.440000,9.480000,9.480000,2600
2020-09-11,9.460000,9.550000,9.340000,9.350000,9.350000,10900
2020-09-14,9.350000,9.390000,9.230000,9.230000,9.230000,35600
2020-09-15,9.280000,9.300000,9.230000,9.250000,9.250000,20800
2020-09-16,9.350000,9.350000,9.330000,9.340000,9.340000,9800
2020-09-17,9.270000,9.390000,9.270000,9.360000,9.360000,6700
2020-09-18,9.360000,9.360000,9.250000,9.320000,9.320000,5500
2020-09-21,9.230000,9.290000,9.200000,9.220000,9.220000,45900
2020-09-22,9.250000,9.340000,9.200000,9.200000,9.200000,12800
2020-09-23,9.200000,9.300000,9.140000,9.170000,9.170000,65200
2020-09-24,9.170000,9.230000,9.130000,9.210000,9.210000,12500
2020-09-25,9.240000,9.290000,9.140000,9.270000,9.270000,12200
2020-09-28,9.280000,9.650000,9.200000,9.550000,9.550000,605700
2020-09-29,9.560000,9.880000,9.560000,9.750000,9.750000,255500
2020-09-30,9.750000,9.880000,9.750000,9.830000,9.830000,46800
2020-10-01,9.850000,10.330000,9.850000,10.090000,10.090000,92500
2020-10-02,10.010000,10.320000,9.940000,10.220000,10.220000,88700
2020-10-05,10.220000,10.500000,9.910000,10.120000,10.120000,87700
2020-10-06,10.370000,10.450000,10.250000,10.390000,10.390000,22600
2020-10-07,10.400000,10.490000,10.390000,10.440000,10.440000,15600
2020-10-08,10.440000,10.480000,10.390000,10.470000,10.470000,20200
2020-10-09,10.470000,10.500000,10.130000,10.250000,10.250000,72300
2020-10-13,10.260000,10.370000,10.220000,10.300000,10.300000,25200
2020-10-14,10.360000,10.500000,10.140000,10.290000,10.290000,53700
2020-10-15,10.290000,10.290000,10.050000,10.050000,10.050000,18600
2020-10-16,10.080000,10.160000,10.050000,10.050000,10.050000,16600
2020-10-19,10.080000,10.160000,9.560000,10.000000,10.000000,35400
2020-10-20,10.000000,10.090000,9.920000,9.940000,9.940000,17400
2020-10-21,9.980000,10.090000,9.960000,10.030000,10.030000,17000
2020-10-22,9.940000,10.000000,9.930000,9.940000,9.940000,16400
2020-10-23,10.000000,10.200000,9.800000,9.940000,9.940000,22000
2020-10-26,10.040000,10.040000,9.860000,9.860000,9.860000,17500
2020-10-27,9.970000,10.020000,9.800000,9.800000,9.800000,16100
2020-10-28,9.790000,10.000000,9.390000,9.450000,9.450000,46600
2020-10-29,9.490000,9.540000,9.340000,9.420000,9.420000,29700
2020-10-30,9.460000,9.750000,9.460000,9.740000,9.740000,20200
