Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,28.830000,28.830000,28.830000,28.830000,28.830000,0
2012-06-19,29.670000,29.719999,28.709999,29.719999,29.719999,313600
2012-06-20,29.379999,29.740000,28.610001,28.780001,28.780001,105900
2012-06-21,28.850000,28.990000,28.070000,28.100000,28.100000,77600
2012-06-22,28.200001,28.799999,28.200001,28.620001,28.620001,74400
2012-06-25,28.650000,28.660000,28.000000,28.299999,28.299999,58700
2012-06-26,28.190001,28.889999,28.100000,28.700001,28.700001,178600
2012-06-27,28.510000,28.889999,28.299999,28.299999,28.299999,96300
2012-06-28,28.299999,29.000000,28.180000,28.510000,28.510000,77000
2012-06-29,28.820000,29.299999,28.100000,29.299999,29.299999,173100
2012-07-02,29.150000,29.150000,28.410000,28.500000,28.500000,61600
2012-07-03,28.510000,29.000000,28.510000,29.000000,29.000000,35900
2012-07-04,28.889999,29.000000,28.389999,28.650000,28.650000,42500
2012-07-05,28.650000,28.820000,28.340000,28.650000,28.650000,130200
2012-07-06,28.330000,28.850000,28.049999,28.850000,28.850000,30000
2012-07-10,28.840000,29.190001,28.559999,28.950001,28.950001,88800
2012-07-11,28.900000,29.000000,28.730000,29.000000,29.000000,13600
2012-07-12,29.010000,29.010000,28.350000,28.350000,28.350000,52000
2012-07-13,28.600000,28.600000,27.370001,28.070000,28.070000,155300
2012-07-16,28.070000,28.070000,28.070000,28.070000,28.070000,0
2012-07-17,28.070000,29.090000,28.070000,28.709999,28.709999,8800
2012-07-18,28.610001,28.610001,27.990000,28.240000,28.240000,59100
2012-07-19,28.240000,28.240000,27.900000,27.900000,27.900000,165300
2012-07-20,27.730000,27.740000,27.299999,27.299999,27.299999,55200
2012-07-23,27.000000,27.200001,26.370001,26.500000,26.500000,358700
2012-07-24,26.500000,26.889999,26.059999,26.889999,26.889999,122900
2012-07-25,27.120001,27.879999,26.570000,27.500000,27.500000,299900
2012-07-26,27.260000,29.080000,27.260000,29.080000,29.080000,30500
2012-07-27,28.750000,29.110001,28.670000,28.799999,28.799999,120200
