Date,Open,High,Low,Close,Adj Close,Volume
2007-10-22,9.363640,9.518180,8.636360,9.318180,8.582131,11383240
2007-10-23,9.472730,10.009100,9.327270,9.727270,8.958908,3520330
2007-10-24,9.909090,9.909090,9.563640,9.727270,8.958908,1890570
2007-10-25,9.727270,9.781820,9.545450,9.772730,9.000776,1589500
2007-10-26,9.636360,9.954550,9.563640,9.954550,9.168234,929170
2007-10-29,9.845450,10.272700,9.818180,10.018200,9.226857,782760
2007-10-30,10.118200,10.372700,10.000000,10.363600,9.544974,560340
2007-10-31,10.418200,11.090900,10.418200,10.818200,9.963662,1034880
2007-11-01,11.009100,11.163600,10.945400,11.000000,10.131104,408980
2007-11-05,10.981800,10.981800,10.636400,10.818200,9.963662,788370
2007-11-06,10.818200,10.909100,10.363600,10.363600,9.544974,289740
2007-11-07,10.272700,10.318200,9.818180,9.836360,9.059380,447920
2007-11-08,9.872730,10.272700,9.181820,9.736360,8.967279,283910
2007-11-09,9.772730,10.000000,9.318180,9.636360,8.875178,493460
2007-11-12,9.363640,9.636360,9.354550,9.454550,8.707728,94710
2007-11-13,9.390910,10.209100,9.390910,10.100000,9.302195,707410
2007-11-14,10.272700,10.454500,10.090900,10.409100,9.586879,349800
2007-11-16,10.272700,10.454500,10.090900,10.363600,9.544974,1147740
2007-11-19,10.363600,10.363600,9.772730,9.772730,9.000776,66220
2007-11-21,9.818180,9.818180,9.363640,9.363640,8.624000,1198120
2007-11-22,9.545450,9.909090,9.381820,9.436360,8.690977,211860
2007-11-23,9.545450,9.818180,9.545450,9.545450,8.791450,355630
2007-11-26,9.727270,9.727270,9.390910,9.445450,8.699347,197230
2007-11-27,9.336360,9.363640,9.263640,9.272730,8.540271,584430
2007-11-28,9.272730,9.727270,9.227270,9.590910,8.833320,248160
2007-11-29,9.490910,9.590910,9.327270,9.454550,8.707728,336050
2007-11-30,9.409090,9.772730,9.409090,9.745450,8.975651,160160
2007-12-03,9.818180,10.090900,9.554550,10.000000,9.210093,79310
2007-12-04,9.909090,10.090900,9.554550,10.090900,9.293814,249480
2007-12-05,10.009100,10.636400,10.000000,10.636400,9.796225,335720
2007-12-06,10.718200,10.718200,10.154500,10.636400,9.796225,175010
2007-12-07,10.281800,10.490900,10.181800,10.445400,9.620311,170170
2007-12-10,10.227300,10.363600,10.181800,10.272700,9.461253,85580
2007-12-11,10.363600,10.409100,10.000000,10.072700,9.277051,83820
2007-12-12,9.872730,9.872730,8.909090,9.272730,8.540271,812680
2007-12-13,9.272730,9.272730,8.909090,9.000000,8.289084,531850
2007-12-14,9.272730,9.272730,9.045450,9.227270,8.498403,488180
2007-12-17,9.054550,9.054550,8.545450,8.727270,8.037898,819060
2007-12-18,8.818180,8.818180,8.209090,8.500000,7.828579,1616340
2007-12-19,8.636360,8.636360,8.309090,8.409090,7.744851,1687290
2007-12-20,8.636360,8.681820,8.063640,8.081820,7.443431,626010
2007-12-21,7.818180,8.181820,7.772730,7.818180,7.200617,389730
2007-12-26,7.909090,8.181820,7.481820,7.500000,6.907570,524590
2007-12-27,7.554550,7.927270,7.500000,7.545450,6.949430,938190
2007-12-28,7.681820,7.718180,7.090910,7.136360,6.572655,684200
2008-01-02,7.090910,7.272730,6.890910,7.136360,6.572655,158840
2008-01-03,7.054550,7.127270,6.818180,7.036360,6.480554,282810
2008-01-04,7.000000,7.000000,6.636360,6.681820,6.154019,295130
2008-01-07,6.972730,7.309090,6.836360,6.918180,6.371709,469480
2008-01-08,6.972730,7.254550,6.727270,6.909090,6.363337,494450
2008-01-09,6.781820,6.781820,6.500000,6.500000,5.986561,1168860
2008-01-10,6.500000,6.590910,6.200000,6.545450,6.028420,401390
2008-01-11,6.545450,6.545450,6.181820,6.236360,5.743746,873180
2008-01-14,6.545450,6.581820,6.145450,6.545450,6.028420,2152810
2008-01-15,6.509090,6.581820,6.209090,6.281820,5.785615,149380
2008-01-16,6.136360,6.245450,5.945450,5.945450,5.475815,317350
2008-01-17,6.090910,6.090910,5.681820,5.763640,5.308367,1186350
2008-01-18,5.963640,6.181820,5.727270,5.754550,5.299994,716430
2008-01-21,5.454550,5.590910,5.181820,5.590910,5.149281,557150
2008-01-22,5.481820,6.454550,5.363640,5.500000,5.065552,1973840
