Date,Open,High,Low,Close,Adj Close,Volume
2010-11-01,296.730988,329.276001,296.730988,329.276001,322.216431,588175
2010-11-03,329.276001,333.105011,325.446991,325.446991,318.469543,151484
2010-11-04,323.917999,329.273987,308.424011,324.489990,317.533051,92980
2010-11-05,321.618011,323.532990,308.217987,308.217987,301.609924,55892
2010-11-08,306.497009,307.834991,306.303009,306.303009,299.735962,74697
2010-11-09,306.303009,320.087006,306.303009,306.591003,300.017822,12537
2010-11-10,315.779999,331.983002,313.674011,315.875000,309.102783,12014
2010-11-11,310.131989,312.046997,310.131989,310.131989,303.482910,3134
2010-11-12,310.131989,310.131989,310.131989,310.131989,303.482910,2612
2010-11-16,315.875000,320.661011,313.003998,320.661011,313.786163,36565
2010-11-17,328.319000,335.019012,315.872986,335.019012,327.836273,37087
2010-11-18,344.113007,344.113007,310.131989,320.658997,313.784180,32909
2010-11-19,311.091003,319.513000,310.324005,315.875000,309.102783,33431
2010-11-22,310.131989,313.003998,310.131989,313.003998,306.293304,1567
2010-11-23,306.303009,312.048004,306.303009,310.131989,303.482910,8358
2010-11-24,310.131989,315.877014,307.031006,315.877014,309.104675,11492
2010-11-25,315.875000,315.877014,309.748993,312.812012,306.105438,3657
2010-11-26,319.701996,319.701996,313.003998,313.003998,306.293304,2089
2010-11-29,313.003998,313.003998,307.260986,308.217987,301.609924,6268
2010-11-30,306.303009,313.003998,306.303009,313.003998,306.293304,50669
2010-12-01,313.003998,319.605988,312.046997,319.605988,312.753723,10970
2010-12-02,321.618011,326.404999,311.778992,320.256989,313.390839,13581
2010-12-03,313.003998,313.003998,306.303009,313.003998,306.293304,20372
2010-12-06,313.003998,317.407013,311.088989,311.088989,304.419312,38654
2010-12-07,313.960999,324.871002,310.131989,319.704010,312.849670,9402
2010-12-08,316.830994,316.833008,316.830994,316.830994,310.038269,1567
2010-12-09,319.704010,321.618011,316.833008,316.833008,310.040253,66339
2010-12-10,317.790009,320.658997,317.790009,320.658997,313.784180,2089
2010-12-13,320.649994,320.649994,312.048004,312.048004,305.357849,2612
2010-12-14,314.920013,330.615997,314.920013,330.615997,323.527649,25596
2010-12-15,334.253998,352.822998,334.253998,352.248993,344.696930,31864
2010-12-16,352.248993,360.864014,346.506012,360.864014,353.127228,33431
2010-12-17,363.733002,383.835999,363.733002,382.878998,374.670197,69474
2010-12-20,382.878998,383.835999,382.878998,382.878998,374.670197,19850
2010-12-21,382.878998,382.878998,369.477997,377.125000,369.039581,6791
2010-12-22,364.691986,364.691986,359.906006,363.341003,355.551147,10970
2010-12-23,362.778015,363.733002,355.140015,355.140015,347.525970,2612
