Date,Open,High,Low,Close,Adj Close,Volume
2011-05-09,11.900000,12.100000,11.800000,12.070000,8.390885,5065
2011-05-10,null,null,null,null,null,null
2011-05-11,12.070000,12.100000,11.750000,11.800000,8.203188,14752500
2011-05-12,11.700000,11.860000,11.610000,11.700000,8.133668,7371700
2011-05-13,11.630000,11.650000,11.330000,11.540000,8.022439,12827000
2011-05-16,null,null,null,null,null,null
2011-05-17,11.510000,11.610000,11.340000,11.370000,7.904258,12759000
2011-05-18,11.360000,11.390000,11.090000,11.100000,7.716558,12433000
2011-05-19,11.170000,11.330000,11.010000,11.010000,7.653991,8425400
2011-05-20,11.050000,11.240000,11.010000,11.020000,7.660942,12932900
2011-05-23,11.000000,11.110000,10.970000,11.000000,7.647038,7299800
2011-05-24,11.050000,11.190000,11.010000,11.030000,7.667896,10408000
2011-05-25,11.040000,11.170000,11.010000,11.120000,7.730463,9056100
2011-05-26,11.180000,11.180000,11.000000,11.060000,7.688750,13271500
2011-05-27,11.100000,11.190000,11.070000,11.190000,7.779127,5460600
2011-05-30,11.240000,11.290000,11.140000,11.140000,7.744364,2805500
2011-05-31,11.230000,11.330000,11.040000,11.320000,7.869497,6719800
2011-06-01,11.270000,11.640000,11.030000,11.050000,7.681797,17895300
2011-06-02,11.090000,11.240000,11.070000,11.200000,7.786078,8260900
2011-06-03,11.140000,11.380000,11.110000,11.320000,7.869497,9449400
2011-06-06,11.320000,11.370000,11.120000,11.120000,7.730463,7291400
2011-06-07,11.200000,11.220000,11.000000,11.050000,7.681797,9501900
2011-06-08,10.910000,11.140000,10.900000,11.140000,7.744364,11208100
2011-06-09,11.090000,11.460000,11.060000,11.400000,7.925114,13909800
2011-06-10,11.390000,11.400000,11.200000,11.300000,7.855595,7928800
2011-06-13,11.340000,11.450000,11.120000,11.180000,7.772172,6666900
2011-06-14,11.260000,11.310000,11.000000,11.130000,7.737414,12925800
2011-06-15,11.010000,11.110000,10.680000,10.680000,7.424581,23731900
2011-06-16,10.720000,10.850000,10.360000,10.480000,7.285542,13851400
2011-06-17,10.600000,10.900000,10.520000,10.900000,7.577523,9849800
2011-06-20,10.820000,11.020000,10.560000,10.560000,7.341158,18711000
2011-06-21,10.640000,10.720000,10.530000,10.590000,7.362013,7730600
2011-06-22,10.500000,10.610000,10.330000,10.430000,7.274176,12540200
2011-06-24,10.480000,10.550000,10.310000,10.330000,7.204432,7028800
2011-06-27,10.390000,10.450000,10.220000,10.220000,7.127715,9185400
2011-06-28,10.250000,10.630000,10.230000,10.620000,7.406686,13271900
2011-06-29,10.640000,10.680000,10.380000,10.470000,7.302072,10563200
2011-06-30,10.500000,10.520000,10.260000,10.330000,7.204432,17770800
2011-07-01,10.320000,10.870000,10.240000,10.870000,7.581043,19269000
2011-07-04,10.800000,10.950000,10.740000,10.800000,7.532223,3622700
2011-07-05,10.750000,10.790000,10.520000,10.550000,7.357866,9205200
2011-07-06,10.520000,10.520000,10.360000,10.470000,7.302072,10055200
2011-07-07,10.660000,10.710000,10.510000,10.620000,7.406686,11119100
2011-07-08,10.530000,10.610000,10.400000,10.460000,7.295099,6126400
2011-07-11,10.300000,10.380000,10.060000,10.120000,7.057971,10520500
2011-07-12,10.070000,10.170000,9.790000,9.790000,6.827823,10372200
2011-07-13,9.930000,10.100000,9.890000,10.000000,6.974282,16797800
2011-07-14,10.000000,10.050000,9.630000,9.650000,6.730180,9845200
2011-07-15,9.720000,9.810000,9.500000,9.770000,6.813874,12087900
2011-07-18,9.700000,9.850000,9.450000,9.540000,6.653465,9849800
2011-07-19,9.640000,9.690000,9.470000,9.510000,6.632543,8983400
2011-07-20,9.550000,9.790000,9.530000,9.630000,6.716233,8578900
2011-07-21,9.700000,10.030000,9.640000,9.970000,6.953359,8924500
2011-07-22,10.020000,10.040000,9.820000,9.850000,6.869668,7828200
2011-07-25,9.850000,9.920000,9.460000,9.870000,6.883614,3456
2011-07-26,9.820000,9.860000,9.480000,9.550000,6.660440,11643700
2011-07-27,9.280000,9.300000,8.980000,9.030000,6.297775,26583800
2011-07-28,9.030000,9.130000,8.800000,8.890000,6.200136,19637400
2011-07-29,8.830000,9.150000,8.710000,9.040000,6.304750,4531
2011-08-01,9.260000,9.320000,8.920000,8.960000,6.248956,13695900
2011-08-02,8.960000,9.030000,8.550000,8.710000,6.074599,13362300
2011-08-03,8.650000,8.910000,8.370000,8.370000,5.837475,13755800
2011-08-04,8.250000,8.280000,7.560000,7.800000,5.439939,25946500
2011-08-05,7.850000,8.330000,7.500000,8.260000,5.760756,31141500
2011-08-08,7.930000,8.060000,7.550000,7.950000,5.544553,31130600
2011-08-09,8.250000,8.670000,8.000000,8.400000,5.858396,46896000
2011-08-10,8.290000,8.990000,8.290000,8.750000,6.102496,40694700
