Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,4.300000,4.300000,4.300000,4.300000,3.447564,200
2008-01-03,null,null,null,null,null,null
2008-01-04,null,null,null,null,null,null
2008-01-07,4.300000,5.500000,4.300000,5.450000,4.369586,52700
2008-01-08,5.440000,5.630000,4.200000,4.720000,3.784303,22400
2008-01-09,4.700000,4.700000,4.650000,4.650000,3.728180,1200
2008-01-10,4.650000,4.660000,4.600000,4.600000,3.688091,8100
2008-01-11,4.600000,4.700000,4.600000,4.700000,3.768268,1900
2008-01-14,4.700000,5.880000,4.700000,5.420000,4.345534,35100
2008-01-15,5.350000,8.390000,5.350000,6.850000,5.492049,228300
2008-01-16,7.170000,8.200000,6.100000,6.100000,4.890730,151000
2008-01-17,6.110000,7.940000,6.110000,6.900000,5.532138,35800
2008-01-18,7.640000,11.550000,7.200000,9.100000,7.296008,399600
2008-01-21,9.400000,11.200000,9.280000,10.250000,8.218030,283100
2008-01-22,11.000000,11.920000,9.400000,9.590000,7.688869,176000
2008-01-23,10.330000,10.330000,7.300000,8.050000,6.454161,44300
2008-01-24,8.330000,9.140000,7.910000,8.100000,6.494248,61100
2008-01-28,8.500000,10.250000,8.500000,9.250000,7.416271,44100
2008-01-29,9.820000,10.390000,9.000000,9.310000,7.464377,64800
2008-01-30,9.390000,9.390000,8.810000,8.820000,7.071515,6900
2008-01-31,8.820000,9.190000,8.150000,8.490000,6.806934,12800
2008-02-01,8.210000,9.250000,8.210000,8.900000,7.135654,15200
2008-02-06,8.500000,9.100000,8.500000,8.800000,7.055480,2800
2008-02-07,8.450000,9.000000,8.150000,8.220000,6.590459,5600
2008-02-08,8.410000,8.430000,7.520000,7.520000,6.029228,15300
2008-02-11,8.260000,8.400000,7.320000,7.620000,6.109404,12700
2008-02-12,7.850000,7.850000,7.000000,7.250000,5.812753,9900
2008-02-13,7.250000,7.350000,6.500000,7.150000,5.732577,32900
2008-02-14,7.100000,8.100000,6.800000,7.650000,6.133457,17400
2008-02-15,8.000000,8.000000,7.000000,7.370000,5.908964,3900
