Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,2.600000,2.633330,2.506670,2.630000,1.423212,478800
2000-01-06,2.630000,2.666670,2.600000,2.666670,1.443056,205200
2000-01-07,2.666670,2.666670,2.606670,2.606670,1.410587,394200
2000-01-10,2.730000,2.753330,2.666670,2.750000,1.488149,549000
2000-01-11,2.766670,2.853330,2.676670,2.713330,1.468305,642600
2000-01-12,2.733330,2.766670,2.683330,2.750000,1.488149,584100
2000-01-13,2.800000,2.833330,2.703330,2.703330,1.462894,551700
2000-01-14,2.733330,2.766670,2.700000,2.700000,1.461093,248400
2000-01-17,2.666670,2.733330,2.640000,2.720000,1.471915,149400
2000-01-18,2.666670,2.813330,2.666670,2.793330,1.511597,306000
2000-01-19,2.796670,2.826670,2.733330,2.763330,1.495363,105300
2000-01-20,2.720000,2.806670,2.720000,2.746670,1.486346,344700
2000-01-21,2.733330,2.800000,2.706670,2.770000,1.498972,158400
2000-01-24,2.700000,2.833330,2.700000,2.703330,1.462894,897300
2000-01-25,2.703330,2.703330,2.703330,2.703330,1.462894,0
2000-01-26,2.703330,2.783330,2.703330,2.766670,1.497170,146700
2000-01-27,2.833330,2.833330,2.703330,2.706670,1.464702,202500
2000-01-28,2.800000,2.800000,2.623330,2.636670,1.426821,535500
2000-01-31,2.650000,2.650000,2.600000,2.633330,1.425014,286200
2000-02-01,2.640000,2.640000,2.606670,2.633330,1.425014,277200
2000-02-02,2.633330,2.633330,2.600000,2.606670,1.410587,76500
2000-02-03,2.666670,2.666670,2.606670,2.633330,1.425014,138600
2000-02-04,2.666670,2.716670,2.620000,2.666670,1.443056,254700
2000-02-07,2.670000,2.670000,2.616670,2.623330,1.419602,321300
2000-02-08,2.666670,2.700000,2.636670,2.683330,1.452071,1360800
2000-02-09,2.666670,2.740000,2.666670,2.683330,1.452071,178200
2000-02-10,2.666670,2.666670,2.616670,2.646670,1.432232,907200
2000-02-11,2.646670,2.666670,2.630000,2.633330,1.425014,545400
2000-02-14,2.630000,2.630000,2.526670,2.606670,1.410587,298800
2000-02-15,2.563330,2.563330,2.436670,2.490000,1.347451,390600
2000-02-16,2.490000,2.633330,2.433330,2.546670,1.378118,1227600
2000-02-17,2.500000,2.533330,2.486670,2.496670,1.351061,754200
2000-02-18,2.496670,2.616670,2.483330,2.500000,1.352864,252000
2000-02-21,2.516670,2.766670,2.483330,2.606670,1.410587,937800
2000-02-22,2.700000,2.700000,2.566670,2.570000,1.390743,197100
2000-02-23,2.570000,2.663330,2.540000,2.630000,1.423212,451800
2000-02-24,2.630000,2.733330,2.500000,2.500000,1.352864,598500
2000-02-25,2.500000,2.630000,2.486670,2.516670,1.361884,759600
2000-02-28,2.550000,2.600000,2.486670,2.550000,1.379920,90900
2000-02-29,2.500000,2.503330,2.460000,2.483330,1.343842,1028700
2000-03-01,2.500000,2.500000,2.446670,2.450000,1.325805,879300
2000-03-02,2.533330,2.600000,2.440000,2.450000,1.325805,567900
2000-03-03,2.446670,2.500000,2.446670,2.466670,1.334827,732600
2000-03-06,2.466670,2.466670,2.466670,2.466670,1.334827,0
2000-03-07,2.466670,2.466670,2.466670,2.466670,1.334827,0
2000-03-08,2.533330,2.566670,2.400000,2.566670,1.388941,564300
2000-03-09,2.466670,2.466670,2.416670,2.466670,1.334827,791100
2000-03-10,2.500000,2.563330,2.476670,2.546670,1.378118,81000
2000-03-13,2.546670,2.546670,2.546670,2.546670,1.378118,0
2000-03-14,2.450000,2.450000,2.346670,2.346670,1.269889,711900
2000-03-15,2.433330,2.433330,2.240000,2.316670,1.253655,1014300
2000-03-16,2.393330,2.393330,2.266670,2.333330,1.262671,672300
2000-03-17,2.333330,2.333330,2.266670,2.266670,1.226597,352800
2000-03-20,2.246670,2.246670,2.100000,2.163330,1.170676,305100
2000-03-21,2.166670,2.233330,2.066670,2.150000,1.163462,1593000
2000-03-22,2.163330,2.233330,2.163330,2.166670,1.172483,3384000
2000-03-23,2.183330,2.263330,2.150000,2.150000,1.163462,293400
2000-03-24,2.166670,2.230000,2.166670,2.180000,1.179697,273600
2000-03-27,2.200000,2.200000,2.076670,2.133330,1.154442,333900
2000-03-28,2.163330,2.163330,2.073330,2.073330,1.121973,323100
