Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,2.461760,2.607910,2.387060,2.568930,1.656395,1477966
2000-01-06,2.568930,2.728070,2.559190,2.607910,1.681529,2167684
2000-01-07,2.679360,2.679360,2.594920,2.653370,1.710841,1773560
2000-01-10,2.728070,2.728070,2.656620,2.666360,1.719217,2118419
2000-01-11,2.728070,2.728070,2.510470,2.510470,1.618701,3054464
2000-01-12,2.627390,2.656620,2.559190,2.630640,1.696184,1872091
2000-01-13,2.728070,2.802770,2.656620,2.776790,1.790421,6207460
2000-01-14,2.776790,3.069080,2.776790,3.069080,1.978881,10124072
2000-01-17,3.166510,3.241210,2.948920,3.017120,1.945379,2266215
2000-01-18,3.017120,3.043100,2.900200,3.043100,1.962130,6503053
2000-01-19,2.971650,3.020360,2.900200,2.948920,1.901407,2364746
2000-01-20,2.971650,2.971650,2.812510,2.861230,1.844864,1157740
2000-01-21,2.874220,2.877470,2.728070,2.763800,1.782044,2216950
2000-01-24,2.812510,2.812510,2.705340,2.724820,1.756910,837514
2000-01-25,2.477850,2.477850,2.477850,2.477850,1.597669,0
2000-01-26,2.728070,2.728070,2.656620,2.656620,1.712936,2315481
2000-01-27,2.754050,2.754050,2.679360,2.705340,1.744349,3152995
2000-01-28,2.718330,2.776790,2.718330,2.754050,1.775756,2266215
2000-01-31,2.922930,2.922930,2.718330,2.728070,1.759006,394124
2000-02-01,2.731320,2.731320,2.627390,2.682600,1.729687,1650396
2000-02-02,2.724820,2.776790,2.705340,2.705340,1.744349,270960
2000-02-03,2.825500,2.922930,2.825500,2.838490,1.830202,1231638
2000-02-04,2.822250,2.838490,2.789780,2.802770,1.807171,1428701
2000-02-07,2.728070,2.750810,2.728070,2.728070,1.759006,7069607
2000-02-08,2.754050,2.802770,2.754050,2.754050,1.775756,2660340
2000-02-09,2.754050,2.789780,2.724820,2.754050,1.775756,2290848
2000-02-10,2.728070,2.822250,2.728070,2.822250,1.819731,7710059
2000-02-11,2.825500,2.825500,2.682600,2.728070,1.759006,566553
2000-02-14,2.861230,2.861230,2.656620,2.702090,1.742254,1699661
2000-02-15,2.679360,2.679360,2.559190,2.581920,1.664772,911412
2000-02-16,2.679360,2.679360,2.581920,2.630640,1.696184,2118419
2000-02-17,2.607910,2.630640,2.568930,2.572180,1.658491,1995255
2000-02-18,2.581920,2.581920,2.439030,2.510470,1.618701,1453333
2000-02-21,2.484490,2.559190,2.435780,2.510470,1.618701,468022
2000-02-22,2.510470,2.510470,2.471500,2.487740,1.604045,689717
2000-02-23,2.487740,2.510470,2.448770,2.497480,1.610326,517288
2000-02-24,2.533210,2.568930,2.461760,2.461760,1.587294,3300792
2000-02-25,2.559190,2.559190,2.461760,2.461760,1.587294,1108475
2000-02-28,2.484490,2.484490,2.435780,2.484490,1.601951,270960
2000-02-29,2.533210,2.559190,2.422790,2.422790,1.562167,2364746
