Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,15.410000,16.120001,15.250000,16.000000,13.055974,49278500
2017-12-18,16.150000,16.280001,15.710000,16.049999,13.096775,7464200
2017-12-19,16.049999,16.250000,15.700000,15.950000,13.015175,4742200
2017-12-20,15.960000,16.490000,15.960000,16.350000,13.341577,4956300
2017-12-21,16.320000,17.230000,16.320000,16.600000,13.545575,15236900
2017-12-22,16.549999,17.000000,16.450001,16.700001,13.627174,2934200
2017-12-25,16.700001,16.700001,16.700001,16.700001,13.627174,0
2017-12-26,16.719999,16.900000,16.240000,16.719999,13.643494,1084300
2017-12-27,16.700001,16.750000,16.629999,16.750000,13.667974,553900
2017-12-28,16.750000,17.100000,16.670000,17.100000,13.953575,1838200
2017-12-29,17.100000,17.100000,17.100000,17.100000,13.953575,0
2018-01-02,17.000000,17.440001,16.750000,17.230000,14.059654,3689600
2018-01-03,17.129999,17.450001,17.049999,17.299999,14.116774,7242200
2018-01-04,17.250000,17.430000,17.100000,17.200001,14.035174,1458600
2018-01-05,17.180000,17.500000,17.080000,17.500000,14.279974,3257800
2018-01-08,17.420000,17.459999,17.129999,17.400000,14.198374,3398500
2018-01-09,17.400000,17.400000,17.160000,17.400000,14.198374,3093400
2018-01-10,17.370001,17.450001,17.059999,17.250000,14.075974,5538800
2018-01-11,17.299999,17.379999,17.090000,17.150000,13.994374,1076200
2018-01-12,17.000000,17.240000,16.570000,17.070000,13.929093,2609200
2018-01-15,17.280001,17.570000,17.110001,17.570000,14.337092,608900
2018-01-16,17.629999,17.850000,17.440001,17.580000,14.345253,4828100
2018-01-17,17.580000,17.750000,17.309999,17.750000,14.483972,3530100
2018-01-18,17.750000,17.900000,17.580000,17.900000,14.606371,1925400
2018-01-19,17.799999,17.900000,17.639999,17.900000,14.606371,1528500
2018-01-22,17.799999,17.900000,17.600000,17.629999,14.386052,981600
2018-01-23,18.000000,18.190001,17.879999,18.000000,14.687972,4637700
2018-01-24,18.150000,19.700001,18.100000,19.100000,15.585572,3397300
2018-01-25,19.100000,19.100000,19.100000,19.100000,15.585572,0
2018-01-26,19.299999,19.799999,19.129999,19.650000,16.034369,6020100
2018-01-29,19.600000,20.200001,19.450001,20.100000,16.401571,8861300
2018-01-30,20.160000,20.400000,19.959999,20.100000,16.401571,3436400
2018-01-31,20.270000,21.110001,20.250000,21.000000,17.135969,7566200
2018-02-01,21.299999,22.000000,21.299999,21.650000,17.666363,2905600
2018-02-02,20.930000,21.150000,20.790001,21.000000,17.612068,1789300
2018-02-05,20.950001,20.950001,20.200001,20.200001,16.941132,2430100
2018-02-06,19.750000,20.389999,19.389999,20.320000,17.041767,1824000
