Date,Open,High,Low,Close,Adj Close,Volume
2002-09-04,895312.000000,895312.000000,857812.000000,870312.000000,485107.250000,584
2002-09-05,870312.000000,892188.000000,843750.000000,862500.000000,480752.937500,984
2002-09-06,875000.000000,899844.000000,850000.000000,850000.000000,473785.437500,288
2002-09-09,868719.000000,878438.000000,868719.000000,878125.000000,489462.187500,64
2002-09-10,881250.000000,896875.000000,875000.000000,881219.000000,491186.750000,144
2002-09-11,900000.000000,906250.000000,900000.000000,900000.000000,501655.281250,208
2002-09-12,893750.000000,893750.000000,875000.000000,890531.000000,496377.281250,168
2002-09-13,903094.000000,903125.000000,878125.000000,878125.000000,489462.187500,80
2002-09-16,878156.000000,878188.000000,850000.000000,850156.000000,473872.406250,416
2002-09-17,865625.000000,881219.000000,831250.000000,831250.000000,463334.343750,280
2002-09-18,816688.000000,837500.000000,799062.000000,799062.000000,445392.875000,256
2002-09-19,800000.000000,812500.000000,751969.000000,756250.000000,421529.687500,368
2002-09-20,765625.000000,818750.000000,759375.000000,759375.000000,423271.593750,256
2002-09-23,761344.000000,761344.000000,734375.000000,734375.000000,409336.750000,120
2002-09-24,750000.000000,762469.000000,734406.000000,749000.000000,417488.562500,208
2002-09-25,759375.000000,843750.000000,759375.000000,803125.000000,447657.562500,336
2002-09-26,781250.000000,781250.000000,765625.000000,781250.000000,435464.593750,200
2002-09-27,768750.000000,781219.000000,718781.000000,718781.000000,400644.750000,632
2002-09-30,718750.000000,746875.000000,710938.000000,734344.000000,409319.437500,288
2002-10-01,743750.000000,753125.000000,718750.000000,737500.000000,411078.593750,344
2002-10-02,743719.000000,765625.000000,681250.000000,684562.000000,381571.218750,488
2002-10-03,687594.000000,728125.000000,684406.000000,718750.000000,400627.468750,240
2002-10-04,743750.000000,780938.000000,737500.000000,756562.000000,421703.593750,312
2002-10-07,756250.000000,762500.000000,734375.000000,750000.000000,418046.062500,88
2002-10-08,714062.000000,765594.000000,714062.000000,734375.000000,409336.750000,2048
2002-10-09,706281.000000,768750.000000,706281.000000,737500.000000,411078.593750,208
2002-10-10,759344.000000,759344.000000,737469.000000,737469.000000,411061.343750,536
2002-10-11,759375.000000,759375.000000,656250.000000,703125.000000,391918.125000,1272
2002-10-14,691406.000000,695312.000000,671875.000000,671875.000000,374499.562500,168
2002-10-15,687500.000000,703062.000000,682062.000000,682062.000000,380177.718750,224
2002-10-16,671875.000000,684375.000000,634406.000000,648438.000000,361435.906250,1872
2002-10-17,680625.000000,680625.000000,668719.000000,680000.000000,379028.343750,808
2002-10-18,680312.000000,699969.000000,678125.000000,699969.000000,390158.968750,328
2002-10-21,696875.000000,718750.000000,687500.000000,703125.000000,391918.125000,128
2002-10-22,671875.000000,712469.000000,671875.000000,687594.000000,383261.218750,536
2002-10-23,690625.000000,693750.000000,640625.000000,681250.000000,379725.125000,1376
2002-10-24,693750.000000,693750.000000,662812.000000,668750.000000,372757.687500,1592
2002-10-25,687500.000000,699969.000000,662500.000000,690625.000000,384950.656250,560
2002-10-28,690625.000000,696875.000000,664375.000000,681250.000000,379725.125000,464
2002-10-29,650000.000000,674969.000000,650000.000000,659406.000000,367549.406250,496
2002-10-30,671875.000000,721875.000000,671875.000000,721875.000000,402369.312500,872
2002-10-31,687500.000000,721875.000000,687500.000000,693750.000000,386692.562500,456
2002-11-01,718750.000000,725000.000000,703219.000000,725000.000000,404111.125000,472
2002-11-04,737500.000000,777125.000000,703125.000000,703125.000000,391918.125000,504
2002-11-05,706250.000000,737500.000000,706250.000000,725500.000000,404389.781250,240
2002-11-06,707031.000000,721875.000000,687500.000000,688312.000000,383661.406250,368
2002-11-07,703125.000000,726594.000000,703125.000000,726594.000000,404999.687500,320
2002-11-08,734375.000000,767969.000000,733594.000000,746875.000000,416304.156250,264
2002-11-11,765469.000000,774938.000000,759375.000000,765625.000000,426755.312500,200
2002-11-12,740625.000000,758438.000000,709406.000000,721875.000000,402369.312500,320
2002-11-13,734344.000000,750000.000000,734344.000000,734375.000000,409336.750000,120
2002-11-14,703469.000000,703469.000000,678125.000000,685219.000000,381937.406250,928
2002-11-15,null,null,null,null,null,null
2002-11-18,703125.000000,703125.000000,671875.000000,671875.000000,374499.562500,584
2002-11-19,667188.000000,671875.000000,656562.000000,667156.000000,371869.187500,832
2002-11-20,663750.000000,671875.000000,662500.000000,668750.000000,372757.687500,304
2002-11-21,671875.000000,671875.000000,653125.000000,653125.000000,364048.406250,936
2002-11-22,668719.000000,671875.000000,655469.000000,656281.000000,365807.500000,2144
2002-11-25,678125.000000,678125.000000,643781.000000,644719.000000,359362.968750,600
2002-11-26,644875.000000,644875.000000,625000.000000,625000.000000,348371.687500,504
2002-11-27,618750.000000,619094.000000,596875.000000,603125.000000,336178.656250,1152
2002-11-28,600000.000000,603125.000000,597500.000000,600000.000000,334436.812500,624
2002-11-29,603125.000000,623438.000000,596875.000000,612500.000000,341404.187500,576
2002-12-02,624375.000000,650031.000000,624375.000000,650000.000000,362306.468750,736
2002-12-03,653125.000000,665625.000000,648469.000000,659375.000000,367532.125000,736
2002-12-04,659375.000000,671875.000000,640625.000000,643750.000000,358822.750000,1904
2002-12-05,631250.000000,643750.000000,626562.000000,631250.000000,351855.343750,256
2002-12-06,640625.000000,649375.000000,640625.000000,643750.000000,358822.750000,56
2002-12-09,650000.000000,650000.000000,615688.000000,623750.000000,347674.937500,96
2002-12-10,625000.000000,642188.000000,625000.000000,625094.000000,348424.093750,936
2002-12-11,640594.000000,671781.000000,640594.000000,650031.000000,362323.812500,1056
2002-12-12,656250.000000,656250.000000,643750.000000,643750.000000,358822.750000,488
2002-12-13,643750.000000,646875.000000,630656.000000,630656.000000,351524.343750,1336
2002-12-16,646875.000000,646875.000000,637500.000000,637500.000000,355339.093750,928
2002-12-17,646875.000000,664062.000000,643750.000000,664062.000000,370144.593750,552
2002-12-18,664062.000000,686875.000000,656250.000000,678094.000000,377966.000000,1216
2002-12-19,687469.000000,696688.000000,671875.000000,696562.000000,388259.968750,1200
2002-12-20,703094.000000,765250.000000,696875.000000,740625.000000,412820.375000,1760
2002-12-23,750000.000000,765281.000000,690625.000000,734375.000000,409336.750000,360
2002-12-24,null,null,null,null,null,null
2002-12-25,null,null,null,null,null,null
2002-12-26,731250.000000,731250.000000,703125.000000,718719.000000,400610.156250,80
2002-12-27,690625.000000,718750.000000,690625.000000,712500.000000,397143.687500,416
2002-12-30,697500.000000,703125.000000,678125.000000,687500.000000,383208.843750,568
