Date,Open,High,Low,Close,Adj Close,Volume
2007-04-05,5.183950,5.351170,5.086960,5.284280,3.961166,25979213
2007-04-09,5.183950,5.274250,5.083610,5.167220,3.873417,5308147
2007-04-10,5.167220,5.167220,4.956520,5.033440,3.773134,5825417
2007-04-11,4.939800,5.016720,4.762540,4.782610,3.585108,6010498
2007-04-12,4.745820,5.033440,4.732440,4.949830,3.710459,3420261
2007-04-13,5.083610,5.170570,5.016720,5.050170,3.785676,2631798
2007-04-16,5.066890,5.183950,4.956520,4.966560,3.723000,1687257
2007-04-17,5.016720,5.043480,4.936450,5.016720,3.760600,879060
2007-04-18,4.983280,5.133780,4.966560,5.030100,3.770631,1265368
2007-04-19,4.966560,5.053510,4.933110,5.053510,3.788179,1468688
2007-04-20,5.016720,5.103680,5.000000,5.016720,3.760600,2086123
2007-04-23,5.016720,5.043480,5.013380,5.030100,3.770631,1181648
2007-04-24,5.016720,5.080270,5.000000,5.016720,3.760600,1723436
2007-04-25,5.033440,5.183950,5.033440,5.167220,3.873417,1479153
2007-04-26,5.177260,5.270900,4.933110,5.030100,3.770631,2016456
2007-04-27,5.016720,5.033440,4.936450,4.949830,3.710459,1945892
2007-04-30,5.016720,5.026760,4.933110,4.983280,3.735533,538200
2007-05-02,5.016720,5.016720,4.956520,5.013380,3.758097,417703
2007-05-03,5.016720,5.016720,4.949830,4.949830,3.710459,418301
2007-05-04,5.000000,5.086960,4.973240,5.046820,3.783164,2234128
2007-05-07,5.200670,5.451510,5.200670,5.347830,4.008804,1494103
2007-05-08,5.284280,5.451510,5.117060,5.418060,4.061450,856336
2007-05-09,5.284280,5.451510,5.117060,5.411370,4.056435,859027
2007-05-10,5.317730,5.317730,5.170570,5.217390,3.911026,626704
2007-05-11,5.217390,5.347830,5.214050,5.214050,3.908521,2373761
2007-05-14,5.314380,5.314380,5.150500,5.227420,3.918544,413517
2007-05-15,5.317730,5.351170,5.200670,5.334450,3.998775,897897
2007-05-16,5.535120,5.568560,5.314380,5.535120,4.149199,1872039
2007-05-17,5.451510,5.785950,5.391300,5.668900,4.249484,1547325
2007-05-18,5.668900,5.869570,5.668900,5.852840,4.387367,1347294
2007-05-21,5.852840,6.354520,5.852840,6.244150,4.680698,1595165
2007-05-22,6.321070,6.588630,6.254180,6.254180,4.688217,3457935
2007-05-23,6.287630,6.555180,6.287630,6.501670,4.873738,1303640
2007-05-24,6.585280,6.655520,6.488290,6.521740,4.888783,2308878
2007-05-25,6.521740,6.856190,6.521740,6.772580,5.076817,1347892
2007-05-28,6.772580,7.224080,6.772580,7.090300,5.314983,492154
2007-05-29,7.193980,7.424750,7.023410,7.023410,5.264842,3361956
2007-05-30,6.722410,7.190640,6.571910,6.702340,5.024164,2734953
2007-05-31,6.852840,7.183950,6.739130,7.023410,5.264842,992381
2007-06-01,7.157190,7.675590,7.157190,7.675590,5.753725,804011
2007-06-04,7.585280,8.357860,7.585280,7.959870,5.966825,1327261
2007-06-05,8.060200,8.294310,7.742470,7.926420,5.941750,1297660
2007-06-06,7.926420,7.956520,7.625420,7.658860,5.741184,651521
2007-06-08,7.608700,7.842810,7.354520,7.695650,5.768763,1012414
2007-06-11,7.765890,7.892980,7.391300,7.458190,5.590759,1521312
2007-06-12,7.765890,7.892980,7.391300,7.458190,5.590759,1521312
2007-06-13,7.357860,7.391300,7.284280,7.284280,5.460393,858429
2007-06-14,7.357860,7.779260,7.274250,7.779260,5.831437,3912714
2007-06-15,7.832780,8.461540,7.832780,8.160540,6.117249,1222312
2007-06-18,8.304350,8.528430,7.792640,8.026760,6.016967,557635
2007-06-19,8.010030,8.010030,7.879600,7.976590,5.979359,702351
2007-06-20,8.247490,8.247490,7.595320,7.682270,5.758732,967265
2007-06-21,7.775920,8.190640,7.692310,8.127090,6.092175,707434
2007-06-22,8.053510,8.327760,8.053510,8.200670,6.147331,1379287
2007-06-25,8.080270,8.227420,7.993310,8.060200,6.042034,720889
2007-06-26,8.193980,8.224080,8.043480,8.224080,6.164881,220662
2007-06-27,8.076920,8.110370,7.943140,8.026760,6.016967,1078194
2007-06-28,8.193980,8.494980,8.023410,8.361200,6.267668,947531
2007-06-29,8.394650,8.762540,8.294310,8.672240,6.500827,1873833
2007-07-02,8.695650,8.795990,8.652170,8.762540,6.568518,549263
