Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,9.000000,9.000000,8.660000,8.990000,8.289548,20084500
2017-09-29,8.950000,9.090000,8.890000,9.000000,8.298769,4560500
2017-10-02,9.080000,9.080000,8.950000,9.000000,8.298769,1836900
2017-10-03,9.050000,9.050000,8.930000,8.960000,8.261884,5428400
2017-10-04,8.750000,8.780000,8.510000,8.660000,7.985261,6089500
2017-10-05,8.690000,8.800000,8.560000,8.700000,8.022143,1150300
2017-10-06,8.640000,8.740000,8.600000,8.740000,8.059026,1573400
2017-10-09,8.740000,8.740000,8.550000,8.550000,7.883832,1211700
2017-10-10,8.680000,8.730000,8.450000,8.600000,7.929935,2256200
2017-10-11,8.680000,8.680000,8.470000,8.550000,7.883832,1121000
2017-10-12,8.550000,8.550000,8.550000,8.550000,7.883832,0
2017-10-13,8.600000,8.630000,8.500000,8.600000,7.929935,724400
2017-10-16,8.540000,8.740000,8.360000,8.450000,7.791620,2004000
2017-10-17,8.470000,8.480000,8.000000,8.350000,7.699414,7358500
2017-10-18,8.370000,8.440000,8.130000,8.250000,7.607205,1768000
2017-10-19,8.150000,8.340000,8.100000,8.340000,7.690192,958600
2017-10-20,8.340000,8.660000,8.260000,8.650000,7.976039,3731800
2017-10-23,8.700000,8.700000,8.500000,8.600000,7.929935,1063500
2017-10-24,8.550000,8.690000,8.530000,8.620000,7.948377,1889000
2017-10-25,8.620000,8.640000,8.520000,8.600000,7.929935,1226800
2017-10-26,8.580000,8.600000,8.460000,8.500000,7.837726,1531100
2017-10-27,8.460000,8.490000,8.250000,8.400000,7.745517,2095200
2017-10-30,8.400000,8.400000,8.160000,8.160000,7.524216,3144400
2017-10-31,8.200000,8.200000,7.920000,8.060000,7.432010,1907300
2017-11-01,8.060000,8.240000,7.910000,8.240000,7.597984,790100
2017-11-02,8.240000,8.240000,8.240000,8.240000,7.597984,0
2017-11-03,8.120000,8.240000,7.950000,8.000000,7.376684,1312800
2017-11-06,8.130000,8.250000,8.010000,8.060000,7.432010,1847300
2017-11-07,8.160000,8.270000,7.960000,8.000000,7.376684,7753300
2017-11-08,8.050000,8.150000,7.980000,8.040000,7.413567,4595900
2017-11-09,8.070000,8.140000,8.030000,8.050000,7.422787,744900
2017-11-10,8.060000,8.110000,7.980000,8.010000,7.385905,3799100
2017-11-13,8.000000,8.100000,7.950000,8.000000,7.376684,2383700
2017-11-14,7.950000,8.090000,7.940000,8.000000,7.376684,1837200
2017-11-15,8.000000,8.000000,8.000000,8.000000,7.376684,0
2017-11-16,8.080000,8.130000,7.980000,8.000000,7.376684,680500
2017-11-17,8.030000,8.450000,7.980000,8.400000,7.745517,9066000
2017-11-20,8.400000,8.400000,8.400000,8.400000,7.745517,0
2017-11-21,8.450000,8.890000,8.420000,8.850000,8.160457,4925200
2017-11-22,8.870000,8.920000,8.690000,8.690000,8.012922,5706400
2017-11-23,8.690000,8.740000,8.500000,8.670000,7.994479,1348100
2017-11-24,8.760000,8.760000,8.510000,8.520000,7.856169,737200
2017-11-27,8.480000,8.520000,8.300000,8.350000,7.699414,2101000
2017-11-28,8.380000,8.500000,8.300000,8.420000,7.763959,372100
2017-11-29,8.420000,8.470000,8.110000,8.110000,7.478113,815200
2017-11-30,8.150000,8.150000,7.950000,7.970000,7.349020,1738700
2017-12-01,8.000000,8.290000,8.000000,8.290000,7.644089,1626400
2017-12-04,8.270000,8.350000,8.130000,8.200000,7.561100,850900
2017-12-05,8.280000,8.280000,8.010000,8.010000,7.385905,1408300
2017-12-06,8.040000,8.100000,7.950000,7.950000,7.330579,3076000
2017-12-07,7.950000,8.030000,7.360000,7.500000,6.915640,5789700
2017-12-08,7.520000,7.650000,7.290000,7.500000,6.915640,2262800
2017-12-11,7.600000,7.630000,7.380000,7.390000,6.814211,986900
2017-12-12,7.400000,7.450000,7.310000,7.310000,6.740444,924700
2017-12-13,7.480000,7.680000,7.450000,7.640000,7.044733,2653700
2017-12-14,7.640000,7.800000,7.540000,7.700000,7.100058,1056000
2017-12-15,7.770000,7.770000,7.560000,7.630000,7.035511,1652400
2017-12-18,7.580000,7.620000,7.470000,7.550000,7.109447,813100
2017-12-19,7.570000,7.570000,7.400000,7.450000,7.015282,1177800
2017-12-20,7.490000,7.560000,7.410000,7.430000,6.996449,1224700
2017-12-21,7.480000,7.720000,7.430000,7.600000,7.156528,1157600
2017-12-22,7.600000,7.650000,7.500000,7.650000,7.203612,1764900
2017-12-25,7.650000,7.650000,7.650000,7.650000,7.203612,0
2017-12-26,7.700000,7.750000,7.650000,7.720000,7.269526,730000
2017-12-27,7.750000,7.780000,7.620000,7.700000,7.250694,743300
2017-12-28,7.750000,7.830000,7.680000,7.830000,7.373107,1706400
2017-12-29,7.830000,7.830000,7.830000,7.830000,7.373107,0
2018-01-02,7.850000,7.880000,7.740000,7.820000,7.363692,1563100
2018-01-03,7.830000,7.910000,7.770000,7.810000,7.354275,1660300
2018-01-04,7.840000,8.140000,7.840000,8.000000,7.533189,2273600
2018-01-05,8.010000,8.180000,8.010000,8.180000,7.702685,1169100
2018-01-08,8.200000,8.200000,8.000000,8.170000,7.693270,1008900
2018-01-09,8.160000,8.200000,8.020000,8.150000,7.674435,930500
2018-01-10,8.140000,8.350000,8.140000,8.310000,7.825099,1579000
2018-01-11,8.350000,8.520000,8.220000,8.500000,8.004012,2180700
2018-01-12,8.400000,8.400000,8.000000,8.050000,7.580271,4061000
2018-01-15,8.050000,8.150000,8.000000,8.150000,7.674435,976700
2018-01-16,8.150000,8.230000,8.070000,8.110000,7.636770,874400
2018-01-17,8.110000,8.150000,7.850000,7.900000,7.439023,2273300
2018-01-18,7.950000,7.950000,7.770000,7.770000,7.316609,1669700
2018-01-19,7.830000,7.920000,7.760000,7.790000,7.335442,2311700
2018-01-22,7.820000,7.840000,7.650000,7.650000,7.203612,1328200
2018-01-23,7.650000,7.680000,7.480000,7.490000,7.052947,1038600
2018-01-24,7.500000,7.760000,7.490000,7.760000,7.307193,3339200
2018-01-25,7.760000,7.760000,7.760000,7.760000,7.307193,0
2018-01-26,7.770000,8.170000,7.720000,7.760000,7.307193,3024200
2018-01-29,7.820000,7.830000,7.710000,7.710000,7.260111,1341800
2018-01-30,7.770000,7.770000,7.500000,7.500000,7.062363,1512100
2018-01-31,7.550000,7.620000,7.430000,7.430000,6.996449,2309700
2018-02-01,7.440000,7.500000,7.370000,7.500000,7.062363,1439000
2018-02-02,7.500000,7.540000,7.410000,7.500000,7.062363,584800
2018-02-05,7.520000,7.670000,7.390000,7.530000,7.090613,1483000
2018-02-06,7.490000,7.560000,7.410000,7.470000,7.034114,2341100
2018-02-07,7.530000,7.690000,7.450000,7.690000,7.241277,2544000
2018-02-08,7.750000,7.900000,7.700000,7.840000,7.382524,1493000
2018-02-09,7.860000,7.870000,7.700000,7.740000,7.288360,1562900
2018-02-14,null,null,null,null,null,null
2018-02-15,7.830000,7.830000,7.660000,7.660000,7.213027,1166300
