Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,8.200000,8.200000,8.200000,8.200000,4.620868,900
2000-01-06,8.500000,8.500000,8.500000,8.500000,4.789924,56100
2000-01-07,8.910000,8.910000,8.910000,8.910000,5.020967,1200
2000-01-10,10.000000,10.000000,10.000000,10.000000,5.635204,10600
2000-01-11,9.900000,9.900000,9.900000,9.900000,5.578853,2300
2000-01-12,8.500000,8.500000,8.500000,8.500000,4.789924,0
2000-01-13,9.500000,9.500000,9.500000,9.500000,5.353445,6500
2000-01-14,9.060000,9.060000,9.060000,9.060000,5.105496,2500
2000-01-17,9.500000,9.500000,9.500000,9.500000,5.353445,5400
2000-01-18,9.550000,9.550000,9.550000,9.550000,5.381620,200
2000-01-19,9.310000,9.310000,9.310000,9.310000,5.246375,3000
2000-01-20,8.800000,8.800000,8.800000,8.800000,4.958981,0
2000-01-21,9.100000,9.100000,9.100000,9.100000,5.128036,900
2000-01-24,8.500000,8.500000,8.500000,8.500000,4.789924,0
2000-01-25,8.500000,8.500000,8.500000,8.500000,4.789924,0
2000-01-26,8.560000,8.560000,8.560000,8.560000,4.823736,0
2000-01-27,8.650000,8.650000,8.650000,8.650000,4.874452,0
2000-01-28,8.600000,8.600000,8.600000,8.600000,4.846276,100
2000-01-31,8.500000,8.500000,8.500000,8.500000,4.789924,13700
2000-02-01,8.500000,8.500000,8.500000,8.500000,4.789924,86300
2000-02-02,8.350000,8.350000,8.350000,8.350000,4.705396,0
2000-02-03,8.500000,8.500000,8.500000,8.500000,4.789924,6700
2000-02-04,8.500000,8.500000,8.500000,8.500000,4.789924,200
2000-02-07,8.620000,8.620000,8.620000,8.620000,4.857546,4000
2000-02-08,8.600000,8.600000,8.600000,8.600000,4.846276,25900
2000-02-09,8.600000,8.600000,8.600000,8.600000,4.846276,3600
2000-02-10,8.500000,8.500000,8.500000,8.500000,4.789924,6900
2000-02-11,8.500000,8.500000,8.500000,8.500000,4.789924,31500
2000-02-14,8.500000,8.500000,8.500000,8.500000,4.789924,30200
2000-02-15,8.500000,8.500000,8.500000,8.500000,4.789924,34000
2000-02-16,8.600000,8.600000,8.600000,8.600000,4.846276,2800
2000-02-17,8.900000,8.900000,8.900000,8.900000,5.015332,5800
2000-02-18,8.750000,8.750000,8.750000,8.750000,4.930804,500
2000-02-21,8.500000,8.500000,8.500000,8.500000,4.789924,7900
2000-02-22,8.500000,8.500000,8.500000,8.500000,4.789924,3500
2000-02-23,8.700000,8.700000,8.700000,8.700000,4.902628,280000
2000-02-24,6.500000,6.500000,6.500000,6.500000,3.662883,0
2000-02-25,8.200000,8.200000,8.200000,8.200000,4.620868,0
2000-02-28,8.200000,8.200000,8.200000,8.200000,4.620868,1000
2000-02-29,8.200000,8.200000,8.200000,8.200000,4.620868,3500
2000-03-01,8.300000,8.300000,8.300000,8.300000,4.677219,1000
2000-03-02,8.480000,8.480000,8.480000,8.480000,4.778653,3500
2000-03-03,8.500000,8.500000,8.500000,8.500000,4.789924,1200
