Date,Open,High,Low,Close,Adj Close,Volume
2007-04-23,380.000000,396.799988,374.000000,377.000000,307.450867,90115
2007-04-24,377.799988,377.799988,349.000000,354.000000,288.693878,16975
2007-04-25,352.200012,358.000000,342.000000,349.600006,285.105621,7380
2007-04-26,null,null,null,null,null,null
2007-04-27,355.000000,370.000000,350.000000,359.799988,293.423920,11975
2007-04-30,356.000000,358.000000,350.000000,350.000000,285.431854,35
2007-05-02,346.000000,346.000000,339.000000,340.200012,277.439758,390
2007-05-03,346.000000,346.000000,339.000000,340.200012,277.439758,390
2007-05-04,340.000000,349.399994,340.000000,340.000000,277.276642,95
2007-05-07,330.000000,336.000000,330.000000,330.000000,269.121429,90
2007-05-08,324.200012,330.200012,324.000000,330.000000,269.121429,80
2007-05-09,324.200012,330.200012,324.000000,330.000000,269.121429,80
2007-05-10,320.399994,322.000000,320.399994,322.000000,262.597260,65
2007-05-11,322.200012,322.200012,322.000000,322.000000,262.597260,95
2007-05-14,322.000000,322.000000,322.000000,322.000000,262.597260,35
2007-05-15,320.200012,320.200012,310.399994,313.799988,255.910004,175
2007-05-16,328.799988,329.000000,327.799988,327.799988,267.327301,60
2007-05-17,317.000000,317.399994,312.000000,313.200012,255.420731,220
2007-05-18,327.600006,327.600006,314.000000,316.000000,257.704163,50
2007-05-21,315.799988,315.799988,313.200012,313.200012,255.420731,35
2007-05-22,313.200012,314.000000,312.000000,313.000000,255.257629,85
2007-05-23,316.799988,323.600006,313.000000,316.000000,257.704163,100
2007-05-24,315.000000,315.000000,310.399994,311.000000,253.626572,8875
2007-05-25,311.200012,311.600006,310.200012,310.200012,252.974136,55
2007-05-28,312.000000,319.600006,312.000000,319.600006,260.640045,75
2007-05-29,319.000000,319.000000,318.000000,319.000000,260.150696,35
2007-05-30,318.799988,318.799988,300.000000,318.000000,259.335205,70
2007-05-31,310.200012,310.200012,310.000000,310.000000,252.811035,55
2007-06-01,317.799988,317.799988,315.000000,315.000000,256.888611,20
2007-06-04,308.000000,310.000000,308.000000,310.000000,252.811035,85
2007-06-05,300.600006,313.600006,300.600006,313.600006,255.746948,215
2007-06-06,310.000000,332.000000,310.000000,332.000000,270.752472,750
2007-06-08,314.200012,344.200012,314.200012,344.200012,280.701813,125
2007-06-11,344.000000,345.799988,332.000000,342.600006,279.397003,65
2007-06-12,344.000000,345.799988,332.000000,342.600006,279.397003,65
2007-06-13,344.000000,347.000000,344.000000,347.000000,282.985260,85
2007-06-14,346.000000,365.399994,346.000000,365.399994,297.990845,710
2007-06-15,365.000000,365.000000,363.000000,364.000000,296.849091,40
2007-06-18,363.000000,366.000000,362.799988,364.000000,296.849091,550
2007-06-19,365.799988,366.000000,358.000000,364.000000,296.849091,530
2007-06-20,18.150000,18.150000,15.100000,15.100000,12.314344,0
2007-06-21,361.000000,361.000000,361.000000,361.000000,294.402527,50
2007-06-22,360.000000,360.000000,352.000000,359.000000,292.771454,365
2007-06-25,18.000000,18.000000,17.600000,17.950001,14.638576,7300
2007-06-26,359.600006,359.600006,359.399994,359.600006,293.260834,40
2007-06-27,17.969999,17.969999,17.000000,17.000000,13.863832,0
2007-06-28,358.000000,358.000000,358.000000,358.000000,291.955963,50
2007-06-29,359.000000,360.000000,359.000000,360.000000,293.587036,50
2007-07-02,17.950001,18.000000,17.950001,18.000000,14.679352,1000
