Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,1.020000,1.020000,1.020000,1.020000,0.901795,0
2000-01-06,1.020000,1.020000,1.020000,1.020000,0.901795,0
2000-01-07,1.020000,1.020000,1.020000,1.020000,0.901795,0
2000-01-10,1.030000,1.040000,1.030000,1.040000,0.919477,3000
2000-01-11,1.110000,1.110000,1.110000,1.110000,0.981365,9000
2000-01-12,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-13,1.110000,1.110000,1.110000,1.110000,0.981365,1000
2000-01-14,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-17,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-18,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-19,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-20,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-21,1.110000,1.110000,1.110000,1.110000,0.981365,0
2000-01-24,1.050000,1.050000,1.050000,1.050000,0.928318,1000
2000-01-25,1.050000,1.050000,1.050000,1.050000,0.928318,0
2000-01-26,1.000000,1.000000,1.000000,1.000000,0.884113,2000
2000-01-27,1.000000,1.000000,1.000000,1.000000,0.884113,0
2000-01-28,1.070000,1.070000,1.070000,1.070000,0.946001,3000
2000-01-31,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-01,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-02,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-03,1.070000,1.070000,1.070000,1.070000,0.946001,3000
2000-02-04,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-07,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-08,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-09,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-10,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-11,1.070000,1.070000,1.070000,1.070000,0.946001,0
2000-02-14,1.200000,1.200000,1.200000,1.200000,1.060936,3000
2000-02-15,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-16,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-17,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-18,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-21,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-22,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-23,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-24,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-25,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-28,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-02-29,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-03-01,1.200000,1.200000,1.200000,1.200000,1.060936,0
2000-03-02,1.260000,1.260000,1.260000,1.260000,1.113982,3000
2000-03-03,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-06,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-07,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-08,1.260000,1.260000,1.260000,1.260000,1.113982,2000
2000-03-09,1.260000,1.260000,1.260000,1.260000,1.113982,2000
2000-03-10,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-13,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-14,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-15,1.260000,1.260000,1.260000,1.260000,1.113982,3000
2000-03-16,1.260000,1.350000,1.260000,1.350000,1.193552,15000
2000-03-17,1.310000,1.310000,1.310000,1.310000,1.158188,2000
2000-03-20,1.260000,1.260000,1.260000,1.260000,1.113982,2000
2000-03-21,1.260000,1.260000,1.260000,1.260000,1.113982,3000
2000-03-22,1.260000,1.260000,1.260000,1.260000,1.113982,2000
2000-03-23,1.260000,1.260000,1.260000,1.260000,1.113982,0
2000-03-24,1.300000,1.300000,1.300000,1.300000,1.149347,3000
2000-03-27,1.270000,1.270000,1.270000,1.270000,1.122823,1000
2000-03-28,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-03-29,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-03-30,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-03-31,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-04-03,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-04-04,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-04-05,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-04-06,1.270000,1.270000,1.270000,1.270000,1.122823,0
2000-04-07,1.300000,1.300000,1.300000,1.300000,1.149347,1000
2000-04-10,1.300000,1.300000,1.300000,1.300000,1.149347,0
2000-04-11,1.300000,1.300000,1.300000,1.300000,1.149347,0
2000-04-12,1.300000,1.300000,1.300000,1.300000,1.149347,0
2000-04-13,1.280000,1.280000,1.280000,1.280000,1.131665,2000
2000-04-14,1.280000,1.280000,1.280000,1.280000,1.131665,0
2000-04-17,1.350000,1.350000,1.350000,1.350000,1.193552,2000
2000-04-18,1.350000,1.350000,1.350000,1.350000,1.193552,0
2000-04-19,1.350000,1.350000,1.350000,1.350000,1.193552,0
2000-04-20,1.350000,1.350000,1.350000,1.350000,1.193552,0
2000-04-21,1.350000,1.350000,1.350000,1.350000,1.193552,0
2000-04-24,1.390000,1.390000,1.390000,1.390000,1.228917,3000
2000-04-25,1.390000,1.390000,1.390000,1.390000,1.228917,0
2000-04-26,1.390000,1.390000,1.390000,1.390000,1.228917,0
2000-04-27,1.390000,1.390000,1.390000,1.390000,1.228917,0
2000-04-28,1.390000,1.390000,1.390000,1.390000,1.228917,0
