Date,Open,High,Low,Close,Adj Close,Volume
2006-02-08,23.855801,24.268900,23.314699,23.855801,16.909796,5852750
2006-02-09,24.318100,24.967400,23.924601,24.593599,17.432779,1527839
2006-02-10,25.065800,25.380600,24.200100,24.593599,17.432779,713398
2006-02-13,24.593599,24.957600,23.954100,24.593599,17.432779,1488092
2006-02-14,24.485399,25.577299,24.445999,25.577299,18.130053,837211
2006-02-15,25.557600,25.980600,24.790300,24.987101,17.711704,357614
2006-02-16,24.987101,25.567499,24.790300,25.282200,17.920883,277512
2006-02-17,25.282200,25.478901,24.888700,25.478901,18.060305,97078
2006-02-20,25.439600,25.439600,24.800100,24.888700,17.641958,54079
2006-02-21,24.888700,25.183800,24.839500,24.937901,17.676830,365238
2006-02-22,24.878901,25.429800,24.691900,24.888700,17.641958,326102
2006-02-23,24.731300,24.987101,24.731300,24.977200,17.704683,488746
2006-02-24,25.075600,25.075600,24.396799,24.809999,17.586168,89454
2006-02-27,null,null,null,null,null,null
2006-02-28,null,null,null,null,null,null
2006-03-01,24.829700,25.774099,24.829700,25.085400,17.781382,294996
2006-03-02,25.055901,25.577299,25.036200,25.301901,17.934843,1133325
2006-03-03,25.183800,25.282200,24.888700,25.085400,17.781382,710755
2006-03-06,24.977200,24.977200,24.652599,24.691900,17.502457,270904
2006-03-07,24.682100,24.682100,23.344200,23.708200,16.805176,133572
2006-03-08,23.501600,23.511400,23.019600,23.265499,16.491373,235021
2006-03-09,23.314699,23.413099,22.675301,22.872000,16.212448,219061
2006-03-10,22.754000,23.708200,21.652201,23.413099,16.595993,489559
2006-03-13,23.609800,23.619699,23.314699,23.314699,16.526249,125744
2006-03-14,22.822800,23.363899,22.822800,23.314699,16.526249,134588
2006-03-15,23.118000,23.668800,23.118000,23.659000,16.770298,39543
2006-03-16,23.609800,24.101700,23.314699,23.708200,16.805176,148209
2006-03-17,23.609800,24.082001,23.226200,23.659000,16.770298,34054
2006-03-20,23.895100,23.973801,23.777100,23.904900,16.944609,94232
2006-03-21,23.777100,24.544399,23.708200,24.200100,17.153851,242950
2006-03-22,23.914801,24.632900,23.914801,24.209900,17.160795,56824
2006-03-23,24.849300,24.977200,23.904900,24.101700,17.084099,112834
2006-03-24,24.101700,24.495199,24.101700,24.101700,17.084099,105617
2006-03-27,23.619699,24.003300,23.609800,23.816401,16.881870,27446
2006-03-28,23.600000,23.708200,21.937500,21.937500,15.550045,25616
2006-03-29,22.134199,23.609800,22.134199,22.872000,16.212448,303230
2006-03-30,23.118000,23.206499,22.665400,22.665400,16.066002,219773
2006-03-31,22.872000,23.708200,22.872000,23.708200,16.805176,168540
2006-04-03,23.127800,24.209900,23.127800,23.954100,16.979477,27141
2006-04-04,23.904900,24.347601,23.904900,24.200100,17.153851,172606
2006-04-05,24.200100,24.298401,24.052500,24.101700,17.084099,123610
2006-04-06,24.101700,24.298401,23.708200,23.895100,16.937653,242136
2006-04-07,24.101700,24.593599,23.708200,24.593599,17.432779,99010
2006-04-10,24.200100,24.691900,24.200100,24.209900,17.160795,78882
2006-04-11,24.101700,24.111500,22.940901,23.019600,16.317074,32427
2006-04-12,23.403200,23.413099,22.970400,23.167101,16.421629,22465
2006-04-13,23.019600,23.019600,22.822800,22.822800,16.177574,3151
2006-04-14,null,null,null,null,null,null
2006-04-17,22.635900,22.921200,22.242399,22.380100,15.863771,31004
2006-04-18,23.009701,23.009701,22.134199,22.330999,15.828970,34765
2006-04-19,22.478500,22.724501,21.239000,21.248800,15.061869,396039
2006-04-20,21.258699,21.652201,21.258699,21.258699,15.068886,400105
2006-04-21,null,null,null,null,null,null
2006-04-24,21.248800,21.937500,20.579901,21.632500,15.333845,314615
2006-04-25,21.544001,21.927601,20.953699,21.061899,14.929389,162136
