Date,Open,High,Low,Close,Adj Close,Volume
2004-11-19,5.503770,6.246100,5.503770,5.998660,5.422832,17587139
2004-11-22,5.938670,5.938670,5.628740,5.871180,5.307590,1939634
2004-11-23,5.868690,5.868690,5.798700,5.811200,5.253368,810982
2004-11-24,5.973660,5.973660,5.811200,5.836190,5.275959,975418
2004-11-25,5.968660,5.998660,5.798700,5.898680,5.332451,358480
2004-11-26,5.948670,5.948670,5.761210,5.848690,5.287258,82819
2004-11-29,5.848690,5.848690,5.648730,5.748710,5.196877,1100646
2004-11-30,5.748710,5.748710,5.526260,5.621240,5.081643,1127052
2004-12-01,5.548760,5.848690,5.501270,5.746210,5.194616,3397961
2004-12-02,5.743710,5.948670,5.623740,5.698720,5.151686,650546
2004-12-03,5.573750,5.696220,5.573750,5.636240,5.095203,220449
2004-12-06,5.548760,5.948670,5.548760,5.896180,5.330191,2156483
2004-12-07,5.896180,5.903680,5.826190,5.836190,5.275959,609336
2004-12-08,5.833690,5.873680,5.798700,5.823700,5.264668,173239
2004-12-09,5.773710,5.798700,5.626240,5.748710,5.196877,417694
2004-12-10,5.628740,5.921170,5.628740,5.773710,5.219476,876996
2004-12-13,5.846190,5.873680,5.761210,5.773710,5.219476,218449
2004-12-14,5.861190,5.873680,5.723720,5.748710,5.196877,436098
2004-12-15,5.748710,5.773710,5.676230,5.768710,5.214957,189642
2004-12-16,5.756210,5.773710,5.698720,5.773710,5.219476,768972
2004-12-17,5.873680,5.873680,5.748710,5.798700,5.242068,1097446
2004-12-20,5.823700,5.873680,5.786200,5.786200,5.230768,108024
2004-12-21,5.811200,5.836190,5.768710,5.773710,5.219476,113625
2004-12-22,5.786200,5.848690,5.786200,5.848690,5.287258,71616
2004-12-23,5.798700,5.911180,5.798700,5.911180,5.343750,987021
2004-12-24,null,null,null,null,null,null
2004-12-27,5.896180,5.993660,5.896180,5.948670,5.377642,100422
2004-12-28,5.973660,6.248600,5.948670,5.988660,5.413793,607336
