Date,Open,High,Low,Close,Adj Close,Volume
2002-08-26,10.604000,10.604000,10.604000,10.604000,10.604000,3508
2002-08-27,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-08-28,10.604000,10.604000,10.604000,10.604000,10.604000,1132
2002-08-29,10.604000,10.604000,10.604000,10.604000,10.604000,1132
2002-08-30,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-02,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-03,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-04,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-05,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-06,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-09,10.604000,10.604000,10.604000,10.604000,10.604000,3621
2002-09-10,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-11,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-12,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-13,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-16,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-17,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-18,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-19,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-20,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-23,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-24,11.951700,11.951700,11.951700,11.951700,11.951700,0
2002-09-25,null,null,null,null,null,null
2002-09-26,null,null,null,null,null,null
2002-09-27,null,null,null,null,null,null
2002-09-30,null,null,null,null,null,null
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,10.604000,10.604000,10.604000,10.604000,10.604000,113
2002-10-31,null,null,null,null,null,null
2002-11-01,9.959760,9.959760,9.959760,9.959760,9.959760,0
2002-11-04,9.959760,9.959760,9.959760,9.959760,9.959760,0
2002-11-05,9.959760,9.959760,9.959760,9.959760,9.959760,0
2002-11-06,9.959760,9.959760,9.959760,9.959760,9.959760,0
2002-11-07,9.959760,9.959760,9.959760,9.959760,9.959760,0
2002-11-08,9.959760,9.959760,9.959760,9.959760,9.959760,0
