Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,3.100000,3.100000,3.100000,3.100000,1.420892,1
2000-01-06,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-07,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-10,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-11,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-12,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-13,3.100000,3.100000,3.100000,3.100000,1.420892,2
2000-01-14,3.100000,3.100000,3.100000,3.100000,1.420892,2
2000-01-17,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-18,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-19,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-20,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-21,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-01-24,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-25,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-26,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-27,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-28,2.600000,2.600000,2.600000,2.600000,1.191716,0
2000-01-31,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-01,3.820000,3.820000,3.820000,3.820000,1.750906,0
2000-02-02,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-03,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-04,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-07,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-08,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-09,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-10,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-11,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-14,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-15,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-16,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-17,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-18,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-21,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-22,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-23,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-24,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-25,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-28,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-02-29,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-01,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-02,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-03,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-06,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-07,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-08,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-09,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-10,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-13,2.550000,2.550000,2.550000,2.550000,1.168798,0
2000-03-14,2.020000,2.020000,2.020000,2.020000,0.925871,0
2000-03-15,2.040000,2.040000,2.040000,2.040000,0.935039,0
2000-03-16,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-17,1.900000,1.900000,1.900000,1.900000,0.870869,0
2000-03-20,1.900000,1.900000,1.900000,1.900000,0.870869,0
2000-03-21,1.900000,1.900000,1.900000,1.900000,0.870869,0
2000-03-22,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-23,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-24,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-27,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-28,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-29,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-30,2.000000,2.000000,2.000000,2.000000,0.916704,0
2000-03-31,2.530000,2.530000,2.530000,2.530000,1.159631,0
2000-04-03,3.600000,3.600000,3.600000,3.600000,1.650068,0
2000-04-04,3.250000,3.250000,3.250000,3.250000,1.489645,0
2000-04-05,3.530000,3.530000,3.530000,3.530000,1.617983,1
2000-04-06,3.530000,3.530000,3.530000,3.530000,1.617983,0
2000-04-07,3.710000,3.710000,3.710000,3.710000,1.700487,0
2000-04-10,3.800000,3.800000,3.800000,3.800000,1.741739,0
2000-04-11,3.710000,3.710000,3.710000,3.710000,1.700487,0
2000-04-12,4.100000,4.100000,4.100000,4.100000,1.879244,0
2000-04-13,3.800000,3.800000,3.800000,3.800000,1.741739,0
2000-04-14,3.800000,3.800000,3.800000,3.800000,1.741739,0
2000-04-17,1.000000,1.000000,1.000000,1.000000,0.458352,0
2000-04-18,1.000000,1.000000,1.000000,1.000000,0.458352,0
2000-04-19,1.000000,1.000000,1.000000,1.000000,0.458352,0
2000-04-20,3.200000,3.200000,3.200000,3.200000,1.466727,0
2000-04-21,3.200000,3.200000,3.200000,3.200000,1.466727,0
2000-04-24,3.200000,3.200000,3.200000,3.200000,1.466727,0
2000-04-25,4.200000,4.200000,4.200000,4.200000,1.925079,0
2000-04-26,4.500000,4.500000,4.500000,4.500000,2.062585,0
2000-04-27,4.500000,4.500000,4.500000,4.500000,2.062585,0
2000-04-28,4.500000,4.500000,4.500000,4.500000,2.062585,0
2000-05-01,4.500000,4.500000,4.500000,4.500000,2.062585,0
2000-05-02,4.500000,4.500000,4.500000,4.500000,2.062585,0
2000-05-03,4.500000,4.500000,4.500000,4.500000,2.062585,0
2000-05-04,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-05,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-08,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-09,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-10,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-11,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-12,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-15,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-16,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-17,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-18,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-19,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-22,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-23,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-24,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-25,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-26,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-29,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-30,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-05-31,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-01,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-02,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-05,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-06,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-07,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-08,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-09,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-12,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-13,4.700000,4.700000,4.700000,4.700000,2.154255,0
2000-06-14,4.700000,4.700000,4.700000,4.700000,2.154255,0
