Date,Open,High,Low,Close,Adj Close,Volume
2002-03-01,3.200000,3.216000,3.176000,3.200000,1.464523,482
2002-03-04,3.200000,3.200000,3.040000,3.200000,1.464523,158
2002-03-05,3.160000,3.240000,3.072000,3.072000,1.405942,144
2002-03-06,3.136000,3.160000,3.072000,3.080000,1.409603,449
2002-03-07,3.080000,3.224000,3.048000,3.088000,1.413264,148
2002-03-08,3.200000,3.216000,3.096000,3.184000,1.457200,79
2002-03-11,3.184000,3.200000,3.040000,3.040000,1.391297,223
2002-03-12,3.176000,3.192000,3.160000,3.192000,1.460861,218
2002-03-13,3.200000,3.240000,3.160000,3.192000,1.460861,120
2002-03-14,3.224000,3.272000,3.200000,3.232000,1.479168,106
2002-03-15,3.224000,3.280000,3.176000,3.272000,1.497475,254
2002-03-18,3.296000,3.296000,3.240000,3.280000,1.501136,217
2002-03-19,3.280000,3.352000,3.184000,3.352000,1.534088,185
2002-03-20,3.320000,3.424000,3.264000,3.424000,1.567039,890
2002-03-21,3.304000,3.360000,3.280000,3.328000,1.523104,82
2002-03-22,3.272000,3.312000,3.208000,3.248000,1.486490,406
2002-03-25,3.200000,3.256000,3.200000,3.232000,1.479168,72
2002-03-26,3.248000,3.344000,3.240000,3.328000,1.523104,128
2002-03-27,3.264000,3.288000,3.264000,3.280000,1.501136,213
2002-03-28,3.320000,3.512000,3.320000,3.512000,1.607313,214
2002-03-29,4.390000,4.390000,4.390000,4.390000,2.009142,0
2002-04-01,3.512000,3.720000,3.384000,3.568000,1.632943,152
2002-04-02,3.640000,3.640000,3.376000,3.376000,1.545071,312
2002-04-03,3.472000,3.472000,3.280000,3.280000,1.501136,298
2002-04-04,3.280000,3.424000,3.280000,3.424000,1.567039,173
2002-04-05,3.400000,3.512000,3.376000,3.480000,1.592669,330
2002-04-08,3.408000,3.448000,3.352000,3.440000,1.574362,27
2002-04-09,3.456000,3.456000,3.376000,3.376000,1.545071,38
