Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,6.453590,6.593700,6.217160,6.541160,5.775366,1100888
2000-01-06,6.479860,6.479860,6.304730,6.331000,5.589809,523036
2000-01-07,6.558670,6.567430,6.348510,6.523640,5.759897,480782
2000-01-10,6.611210,6.698770,6.584940,6.584940,5.814019,432818
2000-01-11,6.733800,6.733800,6.225920,6.225920,5.497031,268370
2000-01-12,6.322240,6.401050,6.217160,6.260950,5.527961,447664
2000-01-13,6.479860,6.567430,6.129600,6.304730,5.566615,425966
2000-01-14,6.304730,6.479860,6.129600,6.252190,5.520224,422540
2000-01-17,6.129600,6.479860,6.129600,6.392290,5.643923,278648
2000-01-18,6.304730,6.567430,6.304730,6.567430,5.798560,485350
2000-01-19,6.488620,6.795100,6.348510,6.348510,5.605269,847364
2000-01-20,6.523640,6.523640,6.374780,6.436080,5.682588,427108
2000-01-21,6.436080,6.567430,6.129600,6.567430,5.798560,440812
2000-01-24,6.558670,6.830120,6.392290,6.523640,5.759897,532172
2000-01-25,6.523640,6.523640,6.523640,6.523640,5.759897,0
2000-01-26,6.698770,6.742560,6.567430,6.611210,5.837214,440812
2000-01-27,6.873910,6.970230,6.786340,6.838880,6.038229,1030084
2000-01-28,6.961470,7.092820,6.821370,6.873910,6.069159,669212
2000-01-31,7.005250,7.416810,6.830120,7.259190,6.409334,1195674
2000-02-01,7.408060,7.408060,6.830120,7.092820,6.262441,566432
2000-02-02,7.092820,7.267950,7.092820,7.259190,6.409334,540166
2000-02-03,7.259190,7.311730,7.005250,7.005250,6.185122,633810
2000-02-04,7.119090,7.180390,7.005250,7.014010,6.192855,396274
2000-02-07,7.092820,7.250440,7.092820,7.241680,6.393872,770850
2000-02-08,7.311730,7.530650,7.311730,7.399300,6.533040,682916
2000-02-09,7.443080,7.504380,7.355520,7.399300,6.533040,366582
2000-02-10,7.399300,7.837130,7.399300,7.705780,6.803639,855358
2000-02-11,7.749560,7.749560,7.224170,7.224170,6.378413,384854
2000-02-14,7.224170,7.355520,7.180390,7.224170,6.378413,512758
