Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,7.990000,8.000000,7.820000,8.000000,4.427311,354100
2012-06-19,8.070000,8.200000,7.890000,8.070000,4.466050,699100
2012-06-20,8.130000,8.150000,7.780000,7.820000,4.327697,874800
2012-06-21,7.790000,7.820000,7.410000,7.440000,4.117399,1014100
2012-06-22,7.460000,7.510000,7.280000,7.280000,4.028853,1689300
2012-06-25,7.310000,7.330000,6.850000,7.090000,3.923705,536300
2012-06-26,7.100000,7.600000,6.940000,7.250000,4.012251,1443300
2012-06-27,7.250000,7.490000,6.830000,7.400000,4.095263,2360500
2012-06-28,7.300000,7.400000,6.780000,7.150000,3.956910,783700
2012-06-29,7.330000,7.390000,6.940000,7.330000,4.056524,994800
2012-07-02,7.120000,7.750000,7.070000,7.720000,4.272356,821200
2012-07-03,7.760000,8.150000,7.630000,7.990000,4.421777,438400
2012-07-04,7.800000,8.140000,7.750000,7.950000,4.399641,365000
2012-07-05,8.030000,8.540000,8.000000,8.390000,4.643143,1090800
2012-07-06,8.310000,8.420000,8.150000,8.350000,4.621006,403900
2012-07-10,8.350000,8.620000,8.240000,8.330000,4.609939,738400
2012-07-11,8.220000,8.700000,8.220000,8.440000,4.670814,1728500
2012-07-12,8.390000,8.650000,8.300000,8.500000,4.704019,320100
2012-07-13,8.350000,8.790000,8.350000,8.720000,4.825770,388200
2012-07-16,8.720000,8.720000,8.720000,8.720000,4.825770,0
2012-07-17,8.840000,8.940000,8.700000,8.930000,4.941986,196800
2012-07-18,8.990000,9.150000,8.820000,9.120000,5.047135,886500
2012-07-19,9.150000,9.440000,8.900000,9.300000,5.146749,743000
2012-07-20,9.200000,9.250000,9.030000,9.070000,5.019464,459800
2012-07-23,8.890000,8.980000,8.590000,8.950000,4.953055,241300
2012-07-24,8.900000,9.030000,8.650000,8.970000,4.964124,272200
2012-07-25,9.000000,9.000000,8.600000,8.740000,4.836837,362000
2012-07-26,8.700000,8.970000,8.690000,8.890000,4.919850,135700
