Date,Open,High,Low,Close,Adj Close,Volume
2008-01-03,1.895390,2.072960,1.895390,2.072960,1.301925,4010
2008-01-04,2.074950,2.074950,2.009110,2.015100,1.265586,72175
2008-01-07,2.015100,2.015100,1.895390,1.985170,1.246789,8019
2008-01-08,1.913350,1.915340,1.913350,1.915340,1.202932,11528
2008-01-09,1.935290,1.935290,1.915340,1.915340,1.202932,13032
2008-01-10,null,null,null,null,null,null
2008-01-11,1.915340,1.915340,1.815580,1.915340,1.202932,9022
2008-01-14,1.815580,1.993150,1.815580,1.993150,1.251800,12530
2008-01-15,1.993150,2.015100,1.893400,1.893400,1.189153,782398
2008-01-16,1.835540,1.895390,1.835540,1.887410,1.185390,64657
2008-01-17,null,null,null,null,null,null
2008-01-18,1.895390,1.895390,1.875440,1.875440,1.177872,18545
2008-01-21,null,null,null,null,null,null
2008-01-22,1.875440,1.875440,1.875440,1.875440,1.177872,22054
2008-01-23,1.841520,1.841520,1.795630,1.795630,1.127748,6015
2008-01-24,1.943270,1.945270,1.915340,1.915340,1.202932,6516
2008-01-28,null,null,null,null,null,null
2008-01-29,1.973200,1.973200,1.935290,1.935290,1.215461,6015
2008-01-30,1.931300,1.931300,1.931300,1.931300,1.212955,11027
2008-01-31,1.905370,1.923320,1.905370,1.923320,1.207944,5012
2008-02-01,1.915340,1.925320,1.915340,1.925320,1.209200,1002
2008-02-06,1.975200,1.975200,1.975200,1.975200,1.240527,15538
2008-02-07,1.975200,1.975200,1.975200,1.975200,1.240527,6015
2008-02-08,1.955240,1.975200,1.777680,1.955240,1.227991,19547
2008-02-11,null,null,null,null,null,null
2008-02-12,2.003130,2.003130,1.815580,1.815580,1.140277,61148
2008-02-13,1.825560,1.825560,1.825560,1.825560,1.146545,40097
2008-02-14,1.825560,1.833540,1.805610,1.827560,1.147802,28068
2008-02-15,1.827560,1.827560,1.827560,1.827560,1.147802,501
2008-02-18,null,null,null,null,null,null
2008-02-19,1.901380,1.901380,1.825560,1.825560,1.146545,12530
2008-02-20,1.875440,1.875440,1.855490,1.855490,1.165343,27567
2008-02-21,1.807600,1.885410,1.805610,1.885410,1.184134,73178
2008-02-22,1.829550,1.829550,1.815580,1.815580,1.140277,11528
2008-02-25,1.815580,1.815580,1.815580,1.815580,1.140277,83703
2008-02-26,1.805610,1.915340,1.783660,1.783660,1.120230,1039021
2008-02-27,null,null,null,null,null,null
2008-02-28,1.805610,1.805610,1.775680,1.775680,1.115218,16039
2008-02-29,1.775680,1.835540,1.775680,1.835540,1.152813,15036
2008-03-03,1.835540,1.835540,1.835540,1.835540,1.152813,501
2008-03-04,1.757730,1.757730,1.757730,1.757730,1.103945,3509
2008-03-05,1.815580,1.815580,1.815580,1.815580,1.140277,2005
2008-03-06,null,null,null,null,null,null
2008-03-07,1.695880,1.823570,1.695880,1.823570,1.145296,1504
2008-03-10,null,null,null,null,null,null
2008-03-11,1.793640,1.793640,1.793640,1.793640,1.126498,458613
2008-03-12,1.895390,1.985170,1.779670,1.779670,1.117724,139338
2008-03-13,1.831550,1.843520,1.795630,1.843520,1.157825,23056
2008-03-14,null,null,null,null,null,null
2008-03-17,1.685900,1.685900,1.685900,1.685900,1.058832,1002
2008-03-18,1.675920,1.675920,1.655970,1.655970,1.040034,11027
2008-03-19,1.791640,1.791640,1.789650,1.789650,1.123992,3007
2008-03-20,1.735780,1.735780,1.735780,1.735780,1.090159,501
2008-03-24,null,null,null,null,null,null
2008-03-25,1.735780,1.735780,1.675920,1.675920,1.052564,1504
2008-03-26,null,null,null,null,null,null
2008-03-27,null,null,null,null,null,null
2008-03-28,1.675920,1.675920,1.638020,1.638020,1.028761,34083
2008-03-31,1.640010,1.695880,1.640010,1.695880,1.065100,18545
2008-04-01,null,null,null,null,null,null
2008-04-02,null,null,null,null,null,null
2008-04-03,1.695880,1.695880,1.695880,1.695880,1.065100,15538
2008-04-04,null,null,null,null,null,null
2008-04-07,1.667940,1.667940,1.667940,1.667940,1.047552,11528
2008-04-08,null,null,null,null,null,null
2008-04-09,1.715830,1.725800,1.715830,1.725800,1.083891,65158
2008-04-10,1.687900,1.687900,1.657970,1.657970,1.041290,21552
2008-04-11,1.655970,1.655970,1.655970,1.655970,1.040034,11027
2008-04-14,null,null,null,null,null,null
2008-04-15,1.616070,1.616070,1.616070,1.616070,1.014975,14034
2008-04-16,1.626050,1.626050,1.596120,1.596120,1.002445,25061
2008-04-17,1.596120,1.705850,1.596120,1.705850,1.071361,27066
2008-04-18,null,null,null,null,null,null
2008-04-22,1.711840,1.711840,1.711840,1.711840,1.075123,501
2008-04-23,null,null,null,null,null,null
2008-04-24,1.616070,1.616070,1.616070,1.616070,1.014975,5012
2008-04-25,null,null,null,null,null,null
2008-04-28,1.596120,1.596120,1.596120,1.596120,1.002445,1002
2008-04-29,1.675920,1.675920,1.675920,1.675920,1.052564,501
2008-04-30,1.675920,1.695880,1.655970,1.695880,1.065100,62652
2008-05-02,1.715830,1.755730,1.695880,1.755730,1.102688,38594
2008-05-05,1.795630,1.835540,1.715830,1.795630,1.127748,5012
2008-05-06,1.795630,1.835540,1.785660,1.795630,1.127748,13032
2008-05-07,1.795630,1.833540,1.795630,1.833540,1.151557,69669
2008-05-08,1.845510,1.845510,1.735780,1.735780,1.090159,17041
2008-05-09,1.735780,1.735780,1.735780,1.735780,1.090159,501
2008-05-12,1.753730,1.755730,1.735780,1.735780,1.090159,82701
2008-05-13,1.753730,1.755730,1.735780,1.735780,1.090159,82701
2008-05-14,1.755730,1.755730,1.755730,1.755730,1.102688,501
2008-05-15,1.755730,1.755730,1.755730,1.755730,1.102688,20550
2008-05-16,1.795630,1.815580,1.775680,1.815580,1.140277,65158
2008-05-19,1.797630,1.797630,1.797630,1.797630,1.129004,54633
2008-05-20,1.793640,1.793640,1.755730,1.793640,1.126498,1020476
2008-05-21,1.793640,1.795630,1.755730,1.755730,1.102688,10024
2008-05-23,1.755730,1.755730,1.755730,1.755730,1.102688,4511
2008-05-26,1.755730,1.755730,1.735780,1.735780,1.090159,33581
2008-05-27,1.741760,1.741760,1.695880,1.695880,1.065100,46112
2008-05-28,1.735780,1.735780,1.695880,1.695880,1.065100,44608
2008-05-29,1.735780,1.735780,1.695880,1.695880,1.065100,44608
2008-05-30,1.695880,1.795630,1.695880,1.795630,1.127748,20049
2008-06-02,1.695880,1.795630,1.695880,1.795630,1.127748,20049
2008-06-03,1.775680,1.775680,1.697870,1.697870,1.066350,20550
2008-06-04,1.705850,1.753730,1.705850,1.753730,1.101433,52126
2008-06-05,1.775680,1.775680,1.775680,1.775680,1.115218,25061
2008-06-06,1.795630,1.795630,1.793640,1.793640,1.126498,54633
2008-06-09,null,null,null,null,null,null
2008-06-10,1.695880,1.695880,1.695880,1.695880,1.065100,50122
2008-06-11,1.697870,1.697870,1.693880,1.693880,1.063844,366389
2008-06-12,1.675920,1.675920,1.675920,1.675920,1.052564,1002
2008-06-13,1.725800,1.725800,1.675920,1.675920,1.052564,60647
2008-06-16,1.665950,1.665950,1.665950,1.665950,1.046302,5012
2008-06-17,1.636020,1.636020,1.628040,1.628040,1.022493,5012
2008-06-18,1.636020,1.636020,1.636020,1.636020,1.027504,4511
2008-06-19,null,null,null,null,null,null
2008-06-20,1.646000,1.646000,1.646000,1.646000,1.033772,5012
2008-06-23,1.675920,1.675920,1.675920,1.675920,1.052564,501
2008-06-24,1.675920,1.675920,1.675920,1.675920,1.052564,8019
2008-06-25,1.636020,1.636020,1.636020,1.636020,1.027504,13032
2008-06-26,1.636020,1.636020,1.636020,1.636020,1.027504,4010
2008-06-27,1.616070,1.616070,1.616070,1.616070,1.014975,23557
2008-06-30,1.636020,1.636020,1.636020,1.636020,1.027504,5012
2008-07-01,1.636020,1.636020,1.636020,1.636020,1.027504,8521
2008-07-02,1.683900,1.683900,1.616070,1.636020,1.027504,40598
2008-07-03,1.636020,1.636020,1.596120,1.596120,1.002445,25562
2008-07-04,1.596120,1.596120,1.596120,1.596120,1.002445,15036
2008-07-07,1.608090,1.608090,1.608090,1.608090,1.009963,6015
2008-07-08,null,null,null,null,null,null
2008-07-10,1.675920,1.675920,1.675920,1.675920,1.052564,5513
2008-07-11,1.715830,1.715830,1.675920,1.715830,1.077629,18545
2008-07-14,1.695880,1.725800,1.695880,1.725800,1.083891,33581
2008-07-15,1.725800,1.795630,1.721810,1.795630,1.127748,26564
2008-07-16,null,null,null,null,null,null
2008-07-17,1.745750,1.795630,1.735780,1.735780,1.090159,46613
2008-07-18,1.735780,1.775680,1.675920,1.775680,1.115218,19547
2008-07-21,1.795630,1.795630,1.795630,1.795630,1.127748,501
2008-07-22,1.793640,1.793640,1.793640,1.793640,1.126498,5012
2008-07-23,null,null,null,null,null,null
2008-07-24,1.793640,1.793640,1.793640,1.793640,1.126498,15538
2008-07-25,null,null,null,null,null,null
2008-07-28,1.795630,1.833540,1.755730,1.833540,1.151557,31577
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,1.855490,1.855490,1.695880,1.775680,1.115218,8019
2008-08-19,null,null,null,null,null,null
2008-08-20,1.775680,1.775680,1.735780,1.735780,1.090159,1504
2008-08-21,1.775680,1.775680,1.775680,1.775680,1.115218,501
2008-08-22,1.775680,1.795630,1.775680,1.795630,1.127748,1504
2008-08-25,1.813590,1.813590,1.813590,1.813590,1.139027,52126
2008-08-26,1.815580,1.815580,1.815580,1.815580,1.140277,1002
2008-08-27,null,null,null,null,null,null
2008-08-28,1.855490,1.855490,1.765710,1.795630,1.127748,10024
2008-08-29,1.795630,1.795630,1.793640,1.795630,1.127748,59143
2008-09-01,1.847510,1.895390,1.835540,1.895390,1.190402,3007
2008-09-02,1.895390,1.895390,1.895390,1.895390,1.190402,1002
2008-09-03,1.791640,1.795630,1.695880,1.795630,1.127748,24058
2008-09-04,1.653980,1.769700,1.653980,1.769700,1.111462,46613
2008-09-05,1.735780,1.735780,1.735780,1.735780,1.090159,501
2008-09-08,null,null,null,null,null,null
2008-09-09,1.731790,1.731790,1.594120,1.691890,1.062594,24560
2008-09-10,1.735780,1.735780,1.735780,1.735780,1.090159,1002
2008-09-11,1.733780,1.733780,1.556220,1.693880,1.063844,4511
2008-09-12,1.649990,1.649990,1.649990,1.649990,1.036278,64657
2008-09-15,1.612080,1.655970,1.612080,1.655970,1.040034,3007
2008-09-16,1.655970,1.655970,1.655970,1.655970,1.040034,501
2008-09-17,1.496360,1.653980,1.496360,1.649990,1.036278,304238
2008-09-18,1.498360,1.594120,1.496360,1.594120,1.001189,87713
2008-09-19,null,null,null,null,null,null
2008-09-22,1.546240,1.546240,1.546240,1.546240,0.971118,35085
2008-09-23,1.536260,1.596120,1.466430,1.596120,1.002445,27066
2008-09-24,1.556220,1.596120,1.556220,1.596120,1.002445,1002
2008-09-25,1.596120,1.636020,1.596120,1.634030,1.026255,70170
2008-09-26,1.594120,1.594120,1.498360,1.546240,0.971118,17543
2008-09-29,1.496360,1.496360,1.436510,1.496360,0.939791,30073
2008-09-30,1.436510,1.556220,1.436510,1.556220,0.977386,53630
2008-10-01,1.436510,1.596120,1.436510,1.596120,1.002445,5513
2008-10-02,1.436510,1.653980,1.436510,1.653980,1.038784,10526
2008-10-03,1.436510,1.496360,1.396600,1.436510,0.902202,61650
2008-10-06,1.396600,1.436510,1.197090,1.376650,0.864607,218530
2008-10-07,1.197090,1.256940,1.197090,1.236990,0.776893,369396
2008-10-08,1.294850,1.294850,1.197090,1.197090,0.751834,700199
2008-10-09,1.197090,1.197090,1.147210,1.197090,0.751834,128311
2008-10-10,1.057430,1.057430,1.057430,1.057430,0.664120,25061
2008-10-13,1.252950,1.252950,1.197090,1.250960,0.785667,109766
2008-10-14,1.256940,1.296850,1.246970,1.296850,0.814488,187455
2008-10-15,1.292860,1.292860,1.197090,1.197090,0.751834,80195
2008-10-16,1.137230,1.157190,1.097330,1.157190,0.726775,151367
2008-10-17,1.187110,1.286870,1.187110,1.286870,0.808220,82199
2008-10-20,1.282880,1.284880,1.246970,1.246970,0.783161,53630
2008-10-21,1.246970,1.296850,1.246970,1.296850,0.814488,60647
2008-10-22,1.246970,1.246970,1.246970,1.246970,0.783161,28569
2008-10-23,1.217040,1.266920,1.217040,1.266920,0.795691,34083
2008-10-24,1.157190,1.227020,1.157190,1.227020,0.770632,22054
2008-10-27,1.197090,1.197090,1.147210,1.147210,0.720507,66662
2008-10-28,1.157190,1.236990,1.157190,1.236990,0.776893,28569
2008-10-29,1.236990,1.236990,1.236990,1.236990,0.776893,2506
2008-10-30,1.294850,1.354710,1.236990,1.354710,0.850827,69168
2008-10-31,1.276890,1.314800,1.236990,1.310810,0.823256,11528
2008-11-03,1.236990,1.308820,1.236990,1.308820,0.822006,50122
2008-11-04,1.316800,1.316800,1.316800,1.316800,0.827018,1504
2008-11-05,1.246970,1.314800,1.246970,1.304830,0.819500,26564
2008-11-06,1.304830,1.304830,1.304830,1.304830,0.819500,5012
2008-11-07,1.304830,1.304830,1.304830,1.304830,0.819500,2005
2008-11-10,1.326770,1.326770,1.278890,1.278890,0.803209,30574
2008-11-11,1.236990,1.276890,1.197090,1.217040,0.764363,839537
2008-11-12,1.187110,1.187110,1.187110,1.187110,0.745566,1002933
2008-11-13,1.286870,1.296850,1.286870,1.296850,0.814488,4511
2008-11-14,1.296850,1.296850,1.296850,1.296850,0.814488,501
2008-11-17,1.316800,1.316800,1.316800,1.316800,0.827018,52126
2008-11-18,1.326770,1.326770,1.326770,1.326770,0.833279,1002
2008-11-19,1.276890,1.276890,1.236990,1.236990,0.776893,15538
2008-11-21,1.236990,1.256940,1.187110,1.187110,0.745566,13533
2008-11-24,1.276890,1.316800,1.276890,1.316800,0.827018,5012
2008-11-25,null,null,null,null,null,null
2008-11-26,1.227020,1.286870,1.227020,1.286870,0.808220,1002
2008-11-27,1.286870,1.286870,1.286870,1.286870,0.808220,10024
2008-11-28,1.286870,1.286870,1.236990,1.236990,0.776893,33080
2008-12-01,1.236990,1.236990,1.236990,1.236990,0.776893,501
2008-12-02,1.240980,1.266920,1.240980,1.266920,0.795691,13533
2008-12-03,1.246970,1.246970,1.246970,1.246970,0.783161,25061
2008-12-04,1.256940,1.256940,1.256940,1.256940,0.789423,5012
2008-12-05,1.256940,1.256940,1.256940,1.256940,0.789423,1002
2008-12-08,1.246970,1.272900,1.236990,1.272900,0.799446,112272
2008-12-09,1.248960,1.248960,1.248960,1.248960,0.784411,2506
2008-12-10,1.236990,1.286870,1.236990,1.286870,0.808220,51625
2008-12-11,1.294850,1.316800,1.294850,1.316800,0.827018,9523
2008-12-12,1.336750,1.354710,1.336750,1.354710,0.850827,54131
2008-12-15,1.354710,1.354710,1.346720,1.346720,0.845809,1504
2008-12-16,1.316800,1.316800,1.316800,1.316800,0.827018,1504
2008-12-17,1.316800,1.316800,1.266920,1.306820,0.820750,89718
2008-12-18,1.354710,1.354710,1.306820,1.306820,0.820750,7017
2008-12-19,1.276890,1.278890,1.276890,1.278890,0.803209,77688
2008-12-22,null,null,null,null,null,null
2008-12-23,1.296850,1.296850,1.236990,1.236990,0.776893,76185
2008-12-26,null,null,null,null,null,null
2008-12-29,null,null,null,null,null,null
2008-12-30,null,null,null,null,null,null
2009-01-02,null,null,null,null,null,null
2009-01-05,null,null,null,null,null,null
2009-01-06,null,null,null,null,null,null
2009-01-07,null,null,null,null,null,null
2009-01-08,null,null,null,null,null,null
2009-01-09,null,null,null,null,null,null
2009-01-12,null,null,null,null,null,null
2009-01-13,null,null,null,null,null,null
2009-01-14,null,null,null,null,null,null
2009-01-15,null,null,null,null,null,null
2009-01-16,null,null,null,null,null,null
2009-01-19,null,null,null,null,null,null
2009-01-20,null,null,null,null,null,null
2009-01-21,1.197090,1.197090,1.197090,1.197090,0.751834,50122
2009-01-22,null,null,null,null,null,null
2009-01-23,1.199080,1.207060,1.199080,1.207060,0.758096,56136
2009-01-26,1.201080,1.201080,1.201080,1.201080,0.754340,15538
2009-01-27,1.235000,1.235000,1.235000,1.235000,0.775643,1504
2009-01-28,1.233000,1.244970,1.233000,1.244970,0.781905,42102
2009-01-29,null,null,null,null,null,null
2009-01-30,1.217040,1.246970,1.197090,1.197090,0.751834,220535
2009-02-02,1.217040,1.236990,1.207060,1.236990,0.776893,18545
2009-02-03,1.236990,1.236990,1.207060,1.207060,0.758096,70671
2009-02-04,1.236990,1.236990,1.236990,1.236990,0.776893,501
2009-02-05,1.217040,1.242980,1.217040,1.242980,0.780655,11027
2009-02-06,1.244970,1.244970,1.244970,1.244970,0.781905,501
2009-02-09,1.236990,1.236990,1.236990,1.236990,0.776893,12530
2009-02-10,1.236990,1.244970,1.236990,1.244970,0.781905,11027
2009-02-11,1.246970,1.252950,1.246970,1.246970,0.783161,24058
2009-02-12,1.240980,1.246970,1.236990,1.236990,0.776893,165401
2009-02-13,null,null,null,null,null,null
2009-02-16,1.276890,1.286870,1.276890,1.286870,0.808220,5012
2009-02-17,1.256940,1.256940,1.256940,1.256940,0.789423,48618
2009-02-18,1.276890,1.276890,1.276890,1.276890,0.801952,45109
2009-02-19,null,null,null,null,null,null
2009-02-20,1.252950,1.252950,1.246970,1.246970,0.783161,55134
2009-02-25,null,null,null,null,null,null
2009-02-26,1.246970,1.246970,1.246970,1.246970,0.783161,19046
2009-02-27,1.276890,1.276890,1.246970,1.246970,0.783161,65659
