Date,Open,High,Low,Close,Adj Close,Volume
2008-04-07,17.820499,17.820499,17.322701,17.322701,0.631497,0
2008-04-08,3.464550,3.603930,3.464550,3.584020,0.130655,886938
2008-04-09,3.584020,3.584020,3.484460,3.584020,0.130655,805577
2008-04-10,3.584020,3.671620,3.546180,3.671620,0.133849,846258
2008-04-11,3.671620,3.741310,3.653700,3.683570,0.134284,1308309
2008-04-14,3.683570,3.683570,3.464550,3.504370,0.127751,674495
2008-04-15,3.564100,3.643750,3.536230,3.544190,0.129203,324943
2008-04-16,3.641760,3.653700,3.582020,3.621850,0.132034,518804
2008-04-17,3.623840,3.922510,3.617860,3.922510,0.142995,858311
2008-04-18,3.803040,3.818970,3.705470,3.783130,0.205277,964282
2008-04-22,3.522290,3.522290,3.233580,3.325170,0.273428,1096870
2008-04-23,3.384900,3.384900,3.245520,3.245520,0.266878,1533308
2008-04-24,3.285350,3.353050,3.195750,3.195750,0.262786,136607
2008-04-25,3.235570,3.245520,3.165880,3.185790,0.261967,1093857
2008-04-28,3.215660,3.275390,3.169860,3.195750,0.262786,507755
2008-04-29,3.187780,3.237560,3.177830,3.237560,0.266224,1313834
2008-04-30,3.237560,3.464550,3.179820,3.464550,0.284889,1610652
2008-05-02,3.444640,3.472510,3.325170,3.434680,0.282433,1144080
2008-05-05,3.456580,3.584020,3.422730,3.584020,0.294713,1204850
2008-05-06,3.544190,3.544190,3.466540,3.504370,0.288163,795532
2008-05-07,3.544190,3.544190,3.374950,3.374950,0.277521,1780908
2008-05-08,3.442650,3.442650,3.384900,3.404810,0.279977,285769
2008-05-09,3.384900,3.394860,3.359020,3.364990,0.276702,339005
2008-05-12,3.404810,3.404810,3.364990,3.394860,0.279158,211941
2008-05-13,3.404810,3.404810,3.364990,3.394860,0.279158,211941
2008-05-14,3.460570,3.462560,3.349060,3.412780,0.280632,1519748
2008-05-15,3.442650,3.494410,3.384900,3.470520,0.285380,1298265
2008-05-16,3.464550,3.498400,3.416760,3.464550,0.284889,1193298
2008-05-19,3.464550,3.544190,3.400830,3.460570,0.284562,364117
2008-05-20,3.444640,3.444640,3.315210,3.363000,0.276539,686548
2008-05-21,3.374950,3.404810,3.299290,3.325170,0.273428,951726
2008-05-23,3.285350,3.404810,3.185790,3.255480,0.267697,879405
2008-05-26,3.271410,3.275390,3.225610,3.241540,0.266551,366126
2008-05-27,3.241540,3.255480,3.165880,3.187780,0.262130,280747
2008-05-28,3.191760,3.255480,3.167870,3.235570,0.266060,2263551
2008-05-29,3.191760,3.255480,3.167870,3.235570,0.266060,2263551
2008-05-30,3.237560,3.384900,3.235570,3.323180,0.273264,1102395
