Date,Open,High,Low,Close,Adj Close,Volume
2007-04-02,10.490000,11.300000,10.150000,10.900000,7.658106,4253000
2007-04-03,11.250000,11.880000,11.000000,11.500000,8.079654,1011700
2007-04-04,11.500000,11.800000,11.320000,11.570000,8.128834,266800
2007-04-05,11.530000,11.640000,11.330000,11.500000,8.079654,233200
2007-04-09,11.690000,11.690000,11.310000,11.520000,8.093705,639500
2007-04-10,11.450000,11.600000,11.360000,11.400000,8.009397,286800
2007-04-11,11.500000,11.530000,10.810000,11.000000,7.728365,485500
2007-04-12,11.000000,11.450000,11.000000,11.300000,7.939138,201700
2007-04-13,11.400000,11.450000,11.100000,11.370000,7.988318,223300
2007-04-16,11.160000,11.350000,10.900000,10.930000,7.679185,589500
2007-04-17,11.000000,11.100000,10.960000,11.050000,7.763494,54400
2007-04-18,10.800000,11.150000,10.800000,11.100000,7.798624,152300
2007-04-19,10.850000,11.100000,10.850000,10.870000,7.637028,720100
2007-04-20,10.870000,11.220000,10.870000,11.220000,7.882930,386800
2007-04-23,11.240000,11.450000,11.000000,11.450000,8.044525,1224800
2007-04-24,11.340000,11.500000,11.200000,11.500000,8.079654,1383400
2007-04-25,11.400000,11.750000,11.400000,11.740000,8.248272,1828200
2007-04-26,11.800000,12.100000,11.630000,11.930000,8.381763,2029400
2007-04-27,11.990000,12.900000,11.850000,12.780000,8.978952,91600
2007-04-30,12.520000,13.800000,12.520000,13.350000,9.379424,299000
2007-05-02,13.320000,14.170000,13.000000,14.000000,9.836101,467600
2007-05-03,13.320000,14.170000,13.000000,14.010000,9.843127,469300
2007-05-04,13.800000,14.650000,13.700000,14.400000,10.117132,817500
2007-05-07,14.650000,14.980000,14.310000,14.950000,10.503551,431400
2007-05-08,14.510000,15.400000,14.510000,15.250000,10.714323,788800
2007-05-09,14.510000,15.400000,14.510000,15.190000,10.672169,789100
2007-05-10,15.180000,15.500000,14.700000,14.980000,10.524626,45600
2007-05-11,15.100000,16.139999,15.100000,15.450000,10.854839,129900
2007-05-14,15.460000,16.299999,15.100000,15.490000,10.882942,254700
2007-05-15,15.900000,16.000000,15.000000,15.390000,10.812685,396100
2007-05-16,15.870000,15.890000,14.900000,15.250000,10.714323,880500
2007-05-17,15.490000,15.600000,14.800000,15.200000,10.679193,437000
2007-05-18,15.300000,16.090000,15.150000,15.610000,10.967251,569300
2007-05-21,15.980000,17.000000,15.900000,16.200001,11.381774,261400
2007-05-22,16.209999,16.750000,16.200001,16.500000,11.592546,36200
2007-05-23,16.350000,17.299999,16.299999,16.309999,11.459056,211600
2007-05-24,16.500000,16.500000,15.300000,15.300000,10.749453,240300
2007-05-25,15.900000,16.200001,15.700000,16.049999,11.276386,616800
2007-05-28,16.450001,16.500000,16.000000,16.500000,11.592546,26700
2007-05-29,16.500000,16.500000,15.800000,15.800000,11.100742,255000
2007-05-30,15.740000,15.740000,15.300000,15.450000,10.854839,250300
2007-05-31,15.680000,15.680000,14.950000,15.650000,10.995356,179800
2007-06-01,15.600000,15.700000,15.470000,15.470000,10.868891,229800
2007-06-04,15.400000,15.700000,15.310000,15.310000,10.756480,46600
2007-06-05,15.600000,16.100000,15.600000,15.790000,11.093716,94400
2007-06-06,15.400000,15.700000,15.310000,15.500000,10.889969,415700
2007-06-08,15.500000,15.500000,15.100000,15.390000,10.812685,124600
2007-06-11,15.500000,16.200001,15.500000,16.200001,11.381774,800000
2007-06-12,15.500000,16.200001,15.500000,15.960000,11.213155,800500
2007-06-13,16.290001,16.500000,16.200001,16.500000,11.592546,490900
2007-06-14,16.500000,16.700001,16.389999,16.500000,11.592546,503600
2007-06-15,16.700001,16.959999,16.400000,16.889999,11.866553,571800
2007-06-18,16.950001,17.690001,16.799999,17.000000,11.943836,455500
2007-06-19,17.250000,17.350000,16.500000,17.000000,11.943836,860500
2007-06-20,17.000000,17.350000,17.000000,17.250000,12.119481,618800
2007-06-21,17.340000,17.340000,17.000000,17.150000,12.049223,259900
2007-06-22,17.150000,17.150000,16.900000,17.040001,11.971940,135700
2007-06-25,17.000000,17.000000,16.660000,16.799999,11.803321,271500
2007-06-26,17.000000,17.219999,16.850000,17.219999,12.098403,74400
2007-06-27,17.000000,17.200001,16.900000,17.190001,12.077326,164500
2007-06-28,17.200001,17.200001,16.719999,16.900000,11.873577,138600
2007-06-29,16.900000,17.200001,16.480000,17.200001,12.084353,208500
2007-07-02,17.200001,17.799999,17.190001,17.600000,12.365383,652100
2007-07-03,17.400000,18.000000,17.400000,17.500000,12.295126,233300
2007-07-04,18.000000,18.299999,17.500000,17.959999,12.618313,154300
2007-07-05,17.959999,19.000000,17.900000,18.850000,13.243608,677100
2007-07-06,19.100000,19.650000,18.590000,19.490000,13.693256,341400
2007-07-10,19.200001,19.500000,19.200001,19.480000,13.686232,66100
2007-07-11,19.500000,19.600000,19.200001,19.600000,13.770542,291500
2007-07-12,19.500000,20.400000,19.500000,19.700001,13.840801,547400
2007-07-13,19.600000,20.000000,19.200001,19.209999,13.496535,75800
2007-07-16,19.400000,19.400000,18.500000,18.940001,13.306839,299600
2007-07-17,18.940001,18.950001,18.790001,18.799999,13.208476,257800
2007-07-18,18.940001,19.000000,18.799999,19.000000,13.348995,174000
2007-07-19,18.950001,19.250000,18.900000,19.000000,13.348995,399600
2007-07-20,19.000000,19.250000,18.350000,18.400000,12.927448,296800
2007-07-23,18.750000,18.750000,18.209999,18.400000,12.927448,129400
2007-07-24,18.400000,18.400000,17.100000,17.490000,12.288100,186000
2007-07-25,17.490000,17.850000,17.400000,17.400000,12.224869,260300
2007-07-26,17.410000,17.410000,15.990000,16.520000,11.606598,560900
2007-07-27,16.500000,16.980000,16.049999,16.980000,11.929784,319800
2007-07-30,16.980000,17.000000,16.850000,17.000000,11.943836,40100
2007-07-31,17.000000,17.299999,16.549999,16.600000,11.662806,142300
2007-08-01,16.600000,16.600000,16.000000,16.190001,11.374747,115000
2007-08-02,16.500000,16.500000,15.700000,15.720000,11.044536,329100
2007-08-03,16.000000,16.370001,15.500000,15.600000,10.960226,240100
2007-08-06,15.600000,15.620000,14.800000,15.300000,10.749453,677900
2007-08-07,15.300000,16.850000,15.300000,16.450001,11.557420,477500
2007-08-08,16.719999,17.350000,16.559999,17.090000,12.007068,721100
2007-08-09,16.500000,16.850000,16.400000,16.850000,11.838450,486200
2007-08-10,16.389999,16.840000,15.800000,16.840000,11.831424,147400
2007-08-13,16.799999,17.049999,16.700001,16.750000,11.768192,210600
2007-08-14,17.049999,17.200001,16.580000,17.100000,12.014094,55600
2007-08-15,16.850000,16.850000,15.470000,15.620000,10.974277,555200
2007-08-16,15.400000,15.400000,13.400000,14.600000,10.257648,507200
