Date,Open,High,Low,Close,Adj Close,Volume
2007-06-22,8.216550,8.231230,7.372890,7.592980,4.000203,15086811
2007-06-25,7.703020,7.849740,7.556300,7.739700,4.077498,1361875
2007-06-26,7.842410,7.959790,7.717690,7.886420,4.154795,1261006
2007-06-27,8.025810,8.025810,7.703020,7.886420,4.154795,748207
2007-06-28,7.989130,8.216550,7.923110,8.216550,4.328718,1196531
2007-06-29,8.179870,8.399960,8.143190,8.150530,4.293936,402115
2007-07-02,8.253240,8.554020,8.216550,8.473320,4.463991,1867177
2007-07-03,8.568690,8.583360,8.275240,8.421970,4.436938,622938
2007-07-04,8.355940,8.399960,8.253240,8.399960,4.425344,280254
2007-07-05,8.399960,8.546680,8.289920,8.539350,4.498778,812818
2007-07-06,8.451310,8.803450,8.436640,8.774110,4.622456,3052667
2007-07-10,8.774110,9.170260,8.774110,8.950180,4.715216,1321936
2007-07-11,9.023540,9.170260,8.678740,9.170260,4.831160,762110
2007-07-12,9.096900,9.309650,9.096900,9.280300,4.889132,470270
2007-07-13,9.309650,9.683800,9.309650,9.529740,5.020544,700771
2007-07-16,9.573750,9.573750,9.280300,9.463710,4.985758,399798
2007-07-17,9.390350,9.676460,9.250960,9.485720,4.997353,475859
2007-07-18,9.500390,9.683800,9.316990,9.537070,5.024406,459093
2007-07-19,9.683800,9.903880,9.507730,9.705800,5.113298,621302
2007-07-20,9.896550,10.087300,9.361000,10.087300,5.314282,1522176
2007-07-23,9.940560,10.124000,9.852530,10.043300,5.291102,443144
2007-07-24,9.720480,9.977240,9.353670,9.742490,5.132627,754477
2007-07-25,9.537070,9.786500,9.177600,9.537070,5.024406,932634
2007-07-26,9.390350,9.654450,9.060220,9.133580,4.811836,312832
2007-07-27,9.375680,9.375680,8.656730,8.950180,4.715216,319647
2007-07-30,9.383010,9.390350,8.803450,9.390350,4.947110,717400
2007-07-31,9.529740,9.529740,8.957510,9.133580,4.811836,636841
2007-08-01,8.913490,9.060220,8.436640,8.803450,4.637914,642703
2007-08-02,9.023540,9.316990,8.876810,9.023540,4.753863,481448
2007-08-03,9.162930,9.170260,8.715420,8.803450,4.637914,348681
2007-08-06,9.023540,9.060220,8.436640,8.730090,4.599265,696272
2007-08-07,8.840130,9.133580,8.473320,8.957510,4.719076,495624
2007-08-08,9.023540,9.170260,8.950180,9.170260,4.831160,566641
2007-08-09,9.133580,9.162930,8.906160,9.023540,4.753863,238543
2007-08-10,8.803450,9.720480,8.730090,9.720480,5.121031,265260
2007-08-13,9.676460,9.676460,9.060220,9.206940,4.850482,120498
2007-08-14,9.522400,9.529740,8.876810,9.096900,4.792512,78651
2007-08-15,9.133580,9.309650,8.546680,8.803450,4.637914,402797
2007-08-16,8.143190,8.143190,7.116120,8.011140,4.220501,1344155
2007-08-17,8.781440,8.781440,7.130800,8.069830,4.251421,517706
