Date,Open,High,Low,Close,Adj Close,Volume
2007-04-13,621.083008,646.934998,616.354004,643.151978,641.288879,96117
2007-04-16,639.684021,662.067993,635.270020,662.067993,660.150085,6410
2007-04-17,663.645020,673.418030,652.609985,657.338989,655.434753,6011
2007-04-18,654.187012,668.374023,651.033997,662.067993,660.150085,4774
2007-04-19,668.059021,671.526001,646.619995,652.609985,650.719482,2734
2007-04-20,653.870972,671.526001,653.241028,668.374023,666.437866,1925
2007-04-23,668.374023,677.831970,668.374023,669.950012,668.009277,3397
2007-04-24,668.059021,677.831970,658.599976,674.679016,672.724487,3657
2007-04-25,665.536011,693.594971,665.536011,685.713989,683.727539,1234
2007-04-26,687.289978,687.289978,671.526001,685.713989,683.727539,7996
2007-04-27,687.289978,709.359009,671.526001,709.359009,707.304077,1237
2007-04-30,709.359009,709.674011,706.205994,707.151978,705.103455,409
2007-05-02,707.783020,724.807007,707.783020,721.969971,719.878479,2763
2007-05-03,707.783020,724.807007,707.783020,721.969971,719.878479,2763
2007-05-04,725.122009,756.650024,709.359009,742.461975,740.311096,1713
2007-05-07,740.885986,750.343994,737.732971,750.343994,748.170288,285
2007-05-08,740.885986,754.757996,734.580994,754.757996,752.571533,232
2007-05-09,740.885986,754.757996,734.580994,754.757996,752.571533,232
2007-05-10,766.422974,772.728027,756.650024,765.476990,763.259460,384
2007-05-11,761.379028,772.413025,756.650024,772.413025,770.175415,638
2007-05-14,773.674011,773.674011,745.929993,761.062988,758.858276,285
2007-05-15,756.650024,759.487000,750.343994,751.921021,749.742737,812
2007-05-16,756.650024,797.950012,756.650024,797.950012,795.638428,2043
2007-05-17,788.177002,803.625000,788.177002,793.536011,791.237244,1221
2007-05-18,794.481995,799.210999,776.195984,776.195984,773.947388,14017
2007-05-21,803.940002,803.940002,776.195984,787.546021,785.264587,5395
2007-05-22,788.177002,788.177002,762.955017,788.177002,785.893738,7016
2007-05-23,786.599976,787.861023,781.870972,787.861023,785.578674,76
2007-05-24,783.447998,783.447998,756.965027,772.413025,770.175415,1814
2007-05-25,772.413025,788.177002,744.039001,772.413025,770.175415,9398
2007-05-28,786.284973,797.635010,785.023987,797.635010,795.324341,193
2007-05-29,781.870972,781.870972,759.802002,781.870972,779.605957,552
2007-05-30,785.023987,785.023987,762.323975,781.870972,779.605957,393
2007-05-31,781.870972,796.057983,781.870972,796.057983,793.751892,8291
2007-06-01,788.177002,851.231018,788.177002,844.924988,842.477295,1167
2007-06-04,835.466980,843.348999,808.354004,826.008972,823.616089,806
2007-06-05,808.669006,820.018982,788.492004,819.703979,817.329346,1456
2007-06-06,816.551025,819.703979,803.940002,819.703979,817.329346,2595
2007-06-08,816.866028,850.599976,816.866028,848.078003,845.621216,596
2007-06-11,846.502014,848.078003,838.304993,838.304993,835.876526,853
2007-06-12,846.502014,848.078003,838.304993,838.304993,835.876526,939
2007-06-13,850.916016,850.916016,800.786987,818.127014,815.756958,761
2007-06-14,817.812012,848.078003,811.822021,811.822021,809.470276,1611
2007-06-15,832.315002,851.231018,780.294983,797.635010,795.324341,9592
2007-06-18,817.812012,817.812012,781.870972,786.916016,784.636475,1161
2007-06-19,794.481995,803.625000,781.870972,788.177002,785.893738,2258
2007-06-20,794.481995,797.004028,772.413025,788.177002,785.893738,7625
2007-06-21,801.732971,818.127014,778.718994,778.718994,776.463074,4003
2007-06-22,787.861023,787.861023,766.107971,787.231018,784.950500,2623
2007-06-25,799.841980,813.398010,785.023987,788.177002,785.893738,2265
