Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,8.760000,8.760000,8.750000,8.750000,3.902587,44000
2000-01-06,8.750000,8.770000,8.750000,8.760000,3.907045,142600
2000-01-07,8.770000,8.800000,8.770000,8.800000,3.924886,67800
2000-01-10,8.780000,8.780000,8.780000,8.780000,3.915967,21500
2000-01-11,8.800000,8.800000,8.800000,8.800000,3.924886,186100
2000-01-12,8.800000,8.810000,8.790000,8.790000,3.920427,724900
2000-01-13,8.780000,8.790000,8.780000,8.780000,3.915967,7700
2000-01-14,8.780000,8.880000,8.760000,8.880000,3.960567,26200
2000-01-17,8.800000,8.810000,8.790000,8.790000,3.920427,24700
2000-01-18,8.800000,8.800000,8.750000,8.800000,3.924886,47900
2000-01-19,8.800000,8.800000,8.780000,8.800000,3.924886,31400
2000-01-20,8.750000,8.820000,8.750000,8.820000,3.933807,13800
2000-01-21,8.850000,8.850000,8.750000,8.800000,3.924886,25300
2000-01-24,8.500000,8.700000,8.500000,8.600000,3.835684,1900
2000-01-25,8.600000,8.600000,8.600000,8.600000,3.835684,0
2000-01-26,8.500000,8.500000,8.500000,8.500000,3.791084,1100
2000-01-27,7.100000,8.500000,7.100000,8.500000,3.791084,18800
2000-01-28,8.500000,8.500000,8.500000,8.500000,3.791084,0
2000-01-31,8.500000,8.500000,8.500000,8.500000,3.791084,0
2000-02-01,7.750000,7.750000,7.480000,7.490000,3.340613,500
2000-02-02,7.490000,7.490000,7.490000,7.490000,3.340613,0
2000-02-03,7.010000,7.050000,7.000000,7.050000,3.144369,600
2000-02-04,7.050000,7.600000,7.000000,7.600000,3.389674,5700
2000-02-07,7.000000,7.000000,7.000000,7.000000,3.122069,1100
2000-02-08,7.000000,7.000000,7.000000,7.000000,3.122069,1300
2000-02-09,7.000000,7.000000,7.000000,7.000000,3.122069,0
2000-02-10,7.300000,7.300000,7.300000,7.300000,3.255872,100
2000-02-11,7.300000,7.300000,7.300000,7.300000,3.255872,0
2000-02-14,6.600000,6.600000,6.600000,6.600000,2.943665,200
2000-02-15,6.600000,6.600000,6.500000,6.500000,2.899064,700
2000-02-16,6.100000,6.100000,6.100000,6.100000,2.720660,300
2000-02-17,6.200000,6.200000,6.100000,6.100000,2.720660,10000
2000-02-18,6.100000,6.100000,6.100000,6.100000,2.720660,0
2000-02-21,6.500000,7.000000,6.500000,7.000000,3.122069,1400
2000-02-22,6.250000,6.250000,6.250000,6.250000,2.787562,100
2000-02-23,6.250000,6.250000,6.250000,6.250000,2.787562,0
2000-02-24,6.300000,6.300000,6.300000,6.300000,2.809862,500
2000-02-25,6.310000,6.310000,6.300000,6.300000,2.809862,200
2000-02-28,6.300000,6.300000,6.300000,6.300000,2.809862,0
2000-02-29,6.300000,6.300000,6.300000,6.300000,2.809862,0
