Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,9.300000,9.450000,8.780000,8.940000,8.940000,81145800
2020-10-14,8.950000,9.030000,8.850000,8.970000,8.970000,11186900
2020-10-15,8.890000,8.970000,8.620000,8.900000,8.900000,18026000
2020-10-16,8.970000,8.970000,8.660000,8.760000,8.760000,10255200
2020-10-19,8.160000,8.540000,8.080000,8.200000,8.200000,23151900
2020-10-20,8.200000,8.430000,8.200000,8.350000,8.350000,9000800
2020-10-21,8.410000,8.460000,8.200000,8.300000,8.300000,4414000
2020-10-22,8.320000,8.380000,7.920000,8.220000,8.220000,11625300
2020-10-23,8.240000,8.250000,8.010000,8.090000,8.090000,3354900
2020-10-26,7.950000,8.060000,7.870000,7.980000,7.980000,4563300
2020-10-27,8.000000,8.220000,8.000000,8.100000,8.100000,6499800
2020-10-28,8.090000,8.090000,7.710000,7.840000,7.840000,6059000
2020-10-29,7.800000,7.960000,7.670000,7.890000,7.890000,4110700
2020-10-30,7.900000,7.900000,7.500000,7.800000,7.800000,5137800
