Date,Open,High,Low,Close,Adj Close,Volume
2006-06-05,8.575000,8.575000,8.567500,8.567500,8.567500,1250400
2006-06-06,8.567500,8.575000,8.500000,8.565000,8.565000,164000
2006-06-07,8.567500,8.567500,8.525000,8.562500,8.562500,235600
2006-06-08,8.500000,8.567500,8.000000,8.557500,8.557500,117200
2006-06-09,8.567500,8.567500,8.500000,8.562500,8.562500,316800
2006-06-12,8.500000,8.567500,8.500000,8.560000,8.560000,190000
2006-06-13,8.500000,8.500000,8.375000,8.375000,8.375000,260800
2006-06-14,8.547500,8.547500,7.750000,8.232500,8.232500,455600
2006-06-15,null,null,null,null,null,null
2006-06-16,8.250000,8.560000,8.125000,8.250000,8.250000,88400
2006-06-19,8.555000,8.562500,8.247500,8.250000,8.250000,79600
2006-06-20,8.250000,8.525000,8.250000,8.525000,8.525000,800
2006-06-21,8.242500,8.537500,8.242500,8.537500,8.537500,42400
2006-06-22,8.372500,8.375000,8.372500,8.375000,8.375000,8400
2006-06-23,8.250000,8.625000,8.250000,8.625000,8.625000,1623600
2006-06-26,8.567500,8.700000,8.500000,8.700000,8.700000,16400
2006-06-27,8.550000,8.625000,8.550000,8.625000,8.625000,2800
2006-06-28,8.610000,8.710000,8.597500,8.700000,8.700000,234000
2006-06-29,8.575000,8.737500,8.572500,8.737500,8.737500,49600
2006-06-30,8.625000,8.722500,8.500000,8.647500,8.647500,64000
2006-07-03,8.375000,8.500000,8.375000,8.497500,8.497500,19200
2006-07-04,8.562500,8.562500,8.000000,8.497500,8.497500,20800
2006-07-05,8.375000,8.625000,8.375000,8.500000,8.500000,615200
2006-07-06,8.500000,8.600000,8.125000,8.497500,8.497500,100400
2006-07-07,8.562500,8.562500,8.150000,8.547500,8.547500,69600
2006-07-10,8.500000,8.500000,8.000000,8.500000,8.500000,54400
2006-07-11,8.000000,8.497500,8.000000,8.497500,8.497500,82800
2006-07-12,8.500000,8.600000,8.052500,8.350000,8.350000,27200
2006-07-13,8.200000,8.375000,8.002500,8.175000,8.175000,119600
2006-07-14,8.475000,8.475000,8.000000,8.325000,8.325000,53200
2006-07-17,8.375000,8.375000,8.005000,8.350000,8.350000,4800
2006-07-18,8.350000,8.475000,8.002500,8.447500,8.447500,5200
2006-07-19,8.350000,8.470000,8.287500,8.470000,8.470000,31200
2006-07-20,8.500000,8.575000,8.125000,8.375000,8.375000,38000
2006-07-21,8.495000,8.497500,8.125000,8.497500,8.497500,421200
2006-07-24,8.472500,8.750000,8.372500,8.750000,8.750000,134000
2006-07-25,8.697500,8.725000,8.250000,8.687500,8.687500,16400
2006-07-26,8.450000,8.750000,8.450000,8.750000,8.750000,53600
2006-07-27,8.745000,8.745000,8.525000,8.740000,8.740000,27600
2006-07-28,8.575000,8.750000,8.575000,8.750000,8.750000,191200
2006-07-31,8.602500,9.125000,8.602500,9.125000,9.125000,253600
2006-08-01,9.100000,9.225000,9.000000,9.125000,9.125000,112800
2006-08-02,9.147500,9.197500,8.750000,9.125000,9.125000,66000
2006-08-03,9.000000,9.250000,9.000000,9.250000,9.250000,9200
2006-08-04,9.500000,9.622500,9.165000,9.370000,9.370000,55600
2006-08-07,9.497500,9.497500,9.025000,9.247500,9.247500,7600
2006-08-08,8.975000,9.225000,8.975000,9.120000,9.120000,65200
2006-08-09,8.920000,9.172500,8.890000,9.120000,9.120000,13200
2006-08-10,9.372500,9.372500,8.875000,9.122500,9.122500,44000
2006-08-11,8.950000,9.112500,8.950000,9.112500,9.112500,17200
2006-08-14,8.950000,9.147500,8.870000,8.997500,8.997500,94800
2006-08-15,9.000000,9.375000,8.782500,9.000000,9.000000,261200
2006-08-16,9.125000,9.125000,9.000000,9.000000,9.000000,17200
2006-08-17,8.997500,9.000000,8.875000,8.875000,8.875000,9600
2006-08-18,8.997500,9.000000,8.875000,8.875000,8.875000,8000
2006-08-21,8.875000,8.875000,8.875000,8.875000,8.875000,22400
2006-08-22,9.250000,9.250000,8.747500,9.000000,9.000000,354400
2006-08-23,9.375000,9.375000,9.000000,9.000000,9.000000,26000
2006-08-24,8.900000,9.350000,8.850000,9.250000,9.250000,29600
2006-08-25,9.000000,9.332500,8.875000,9.250000,9.250000,67600
2006-08-28,9.075000,9.325000,8.950000,9.250000,9.250000,45200
2006-08-29,9.340000,9.340000,8.880000,9.250000,9.250000,80400
2006-08-30,9.000000,9.247500,8.855000,9.247500,9.247500,31200
2006-08-31,9.247500,9.500000,8.977500,9.500000,9.500000,107600
2006-09-01,9.250000,9.490000,9.250000,9.462500,9.462500,45200
2006-09-04,9.485000,9.500000,9.462500,9.500000,9.500000,26800
2006-09-05,9.490000,9.490000,9.277500,9.475000,9.475000,368400
2006-09-06,9.475000,9.500000,9.250000,9.500000,9.500000,17600
2006-09-07,null,null,null,null,null,null
2006-09-08,9.497500,9.500000,9.497500,9.500000,9.500000,22800
2006-09-11,8.970000,9.480000,8.970000,8.970000,8.970000,0
2006-09-12,9.497500,9.500000,9.487500,9.487500,9.487500,15200
2006-09-13,9.500000,9.500000,9.487500,9.500000,9.500000,188800
2006-09-14,9.610000,9.610000,9.497500,9.500000,9.500000,10800
2006-09-15,9.375000,9.500000,9.125000,9.500000,9.500000,12800
2006-09-18,9.497500,9.500000,9.250000,9.475000,9.475000,16800
2006-09-19,9.475000,9.475000,9.475000,9.475000,9.475000,3600
2006-09-20,9.375000,9.375000,9.350000,9.362500,9.362500,20000
2006-09-21,9.472500,9.500000,9.422500,9.422500,9.422500,10400
2006-09-22,9.495000,9.495000,9.225000,9.250000,9.250000,1200
