Date,Open,High,Low,Close,Adj Close,Volume
2020-09-25,7.560000,7.560000,7.030000,7.420000,7.420000,67517400
2020-09-28,7.380000,7.490000,7.120000,7.220000,7.220000,6789100
2020-09-29,7.210000,7.220000,6.890000,7.050000,7.050000,5687500
2020-09-30,7.020000,7.250000,7.020000,7.250000,7.250000,4544900
2020-10-01,7.240000,7.330000,7.050000,7.320000,7.320000,3141300
2020-10-02,7.220000,7.270000,7.140000,7.140000,7.140000,2467600
2020-10-05,7.180000,7.200000,7.010000,7.050000,7.050000,2250800
2020-10-06,7.100000,7.130000,6.910000,6.950000,6.950000,1313300
2020-10-07,7.000000,7.000000,6.630000,6.650000,6.650000,5389600
2020-10-08,6.650000,6.750000,6.530000,6.690000,6.690000,1725900
2020-10-09,6.700000,6.830000,6.600000,6.750000,6.750000,1231200
2020-10-13,6.760000,6.790000,6.600000,6.610000,6.610000,5017300
2020-10-14,6.660000,6.820000,6.620000,6.800000,6.800000,2034400
2020-10-15,6.830000,6.970000,6.760000,6.910000,6.910000,1392200
2020-10-16,6.900000,6.990000,6.820000,6.890000,6.890000,540800
2020-10-19,6.930000,6.930000,6.750000,6.800000,6.800000,1069200
2020-10-20,6.800000,6.900000,6.610000,6.750000,6.750000,1327000
2020-10-21,6.780000,6.780000,6.570000,6.610000,6.610000,1557200
2020-10-22,6.620000,6.720000,6.550000,6.610000,6.610000,1265200
2020-10-23,6.620000,6.840000,6.480000,6.720000,6.720000,10311000
2020-10-26,6.850000,6.880000,6.610000,6.740000,6.740000,13602100
2020-10-27,6.750000,6.790000,6.560000,6.560000,6.560000,733900
2020-10-28,6.500000,6.550000,6.070000,6.150000,6.150000,1810200
2020-10-29,6.180000,6.260000,6.000000,6.160000,6.160000,2364800
2020-10-30,6.180000,6.240000,5.880000,5.900000,5.900000,3013400
