Date,Open,High,Low,Close,Adj Close,Volume
2007-04-12,8.050000,8.390000,8.010000,8.240000,6.201674,5339100
2007-04-13,8.200000,8.250000,8.010000,8.070000,6.073727,453000
2007-04-16,8.050000,8.160000,8.050000,8.150000,6.133936,109700
2007-04-17,8.150000,8.200000,8.140000,8.150000,6.133936,68700
2007-04-18,8.060000,8.110000,8.010000,8.010000,6.028570,44100
2007-04-19,8.100000,8.190000,8.090000,8.150000,6.133936,66800
2007-04-20,8.100000,8.200000,8.100000,8.150000,6.133936,220200
2007-04-23,8.140000,8.310000,8.000000,8.000000,6.021042,342900
2007-04-24,8.020000,8.350000,8.020000,8.150000,6.133936,201700
2007-04-25,8.200000,8.310000,8.150000,8.310000,6.254358,803200
2007-04-26,8.070000,8.250000,8.050000,8.200000,6.171568,19700
2007-04-27,8.250000,8.300000,8.250000,8.300000,6.246832,22500
2007-04-30,8.250000,8.300000,8.250000,8.300000,6.246832,6300
2007-05-02,8.300000,8.500000,8.300000,8.500000,6.397357,158700
2007-05-03,8.300000,8.500000,8.300000,8.490000,6.389832,158800
2007-05-04,8.500000,8.800000,8.400000,8.770000,6.600569,392500
2007-05-07,8.650000,8.650000,8.550000,8.550000,6.434988,1500
2007-05-08,8.480000,8.550000,8.400000,8.400000,6.322096,2700
2007-05-09,8.480000,8.550000,8.400000,8.400000,6.322096,2700
2007-05-10,8.300000,8.500000,8.300000,8.300000,6.246832,12100
2007-05-11,8.300000,8.400000,8.150000,8.400000,6.322096,4300
2007-05-14,8.350000,8.420000,8.350000,8.400000,6.322096,3400
2007-05-15,8.260000,8.500000,8.260000,8.400000,6.322096,7600
2007-05-16,8.500000,8.500000,8.150000,8.400000,6.322096,92000
2007-05-17,8.590000,8.590000,8.350000,8.350000,6.284463,44700
2007-05-18,8.500000,8.600000,8.500000,8.600000,6.472621,59200
2007-05-21,8.700000,9.190000,8.600000,9.150000,6.886567,796900
2007-05-22,9.120000,9.800000,9.120000,9.800000,7.375776,757500
2007-05-23,9.750000,10.100000,9.710000,10.100000,7.601566,213900
2007-05-24,10.100000,11.000000,9.800000,11.000000,8.278934,1450600
2007-05-25,11.100000,12.240000,11.000000,12.240000,9.212193,1037600
2007-05-28,12.000000,12.000000,11.200000,11.390000,8.572460,37300
2007-05-29,11.500000,11.500000,10.900000,10.930000,8.226251,35600
2007-05-30,10.900000,11.420000,10.600000,11.200000,8.429461,19000
2007-05-31,11.400000,11.510000,11.400000,11.500000,8.655248,1248700
2007-06-01,11.300000,11.510000,11.000000,11.300000,8.504724,328300
2007-06-04,11.100000,11.200000,11.000000,11.200000,8.429461,14200
2007-06-05,11.200000,11.610000,11.200000,11.510000,8.662775,51800
2007-06-06,11.200000,11.290000,11.000000,11.200000,8.429461,405000
2007-06-08,10.760000,11.200000,10.750000,11.200000,8.429461,8000
2007-06-11,11.200000,11.990000,11.200000,11.800000,8.881039,1310900
2007-06-12,11.200000,11.990000,11.200000,11.800000,8.881039,1310900
2007-06-13,11.800000,12.000000,11.800000,11.900000,8.956300,56200
2007-06-14,11.900000,11.900000,11.850000,11.900000,8.956300,35900
2007-06-15,11.200000,11.890000,11.200000,11.500000,8.655248,172100
2007-06-18,11.500000,11.700000,11.450000,11.450000,8.617618,49300
2007-06-19,11.200000,11.600000,11.200000,11.200000,8.429461,21000
2007-06-20,11.000000,11.200000,11.000000,11.200000,8.429461,254500
2007-06-21,11.200000,11.200000,10.850000,10.900000,8.203671,305600
2007-06-22,11.000000,11.000000,10.750000,10.750000,8.090775,180400
2007-06-25,10.750000,10.770000,10.750000,10.760000,8.098303,800
2007-06-26,10.800000,11.100000,10.750000,10.860000,8.173567,42600
2007-06-27,10.810000,10.810000,10.550000,10.720000,8.068197,108700
2007-06-28,10.750000,11.400000,10.750000,11.400000,8.579985,158700
2007-06-29,11.200000,11.400000,11.200000,11.250000,8.467092,527300
2007-07-02,11.200000,11.890000,11.200000,11.620000,8.745564,26000
2007-07-03,11.800000,12.110000,11.800000,12.000000,9.031565,233600
2007-07-04,11.790000,12.150000,11.790000,12.150000,9.144459,29100
2007-07-05,12.150000,12.200000,11.800000,11.810000,8.888565,1300
2007-07-06,12.150000,12.150000,12.000000,12.000000,9.031565,28900
2007-07-10,12.000000,12.200000,11.950000,12.200000,9.182090,2704600
2007-07-11,12.000000,12.000000,12.000000,12.000000,9.031565,4400
2007-07-12,12.100000,12.100000,11.900000,11.900000,8.956300,1800
2007-07-13,11.700000,11.700000,11.700000,11.700000,8.805776,26400
2007-07-16,11.200000,11.510000,11.200000,11.510000,8.662775,1100
2007-07-17,11.500000,11.980000,11.500000,11.980000,9.016510,530800
2007-07-18,11.500000,11.550000,11.500000,11.550000,8.692880,9000
2007-07-19,11.560000,11.930000,11.500000,11.930000,8.978880,522300
2007-07-20,11.600000,11.990000,11.600000,11.990000,9.024038,84700
2007-07-23,11.970000,12.500000,11.970000,12.300000,9.257353,109400
2007-07-24,12.110000,12.600000,12.110000,12.160000,9.151983,86600
2007-07-25,12.000000,12.150000,12.000000,12.050000,9.069197,155600
2007-07-26,11.970000,11.970000,11.700000,11.790000,8.873512,14900
2007-07-27,11.700000,11.700000,10.750000,11.600000,8.730514,335600
2007-07-30,11.400000,11.400000,11.400000,11.400000,8.579985,7000
2007-07-31,11.500000,11.600000,11.000000,11.450000,8.617618,21500
2007-08-01,11.400000,11.400000,11.000000,11.000000,8.278934,61400
2007-08-02,11.000000,11.000000,10.990000,11.000000,8.278934,99100
2007-08-03,10.750000,11.000000,10.750000,10.800000,8.128408,277000
2007-08-06,10.800000,11.900000,10.800000,11.900000,8.956300,10000
2007-08-07,11.700000,11.900000,11.700000,11.900000,8.956300,4300
2007-08-08,12.000000,12.100000,11.990000,12.000000,9.031565,308700
2007-08-09,12.000000,12.000000,11.600000,11.600000,8.730514,20400
2007-08-10,11.500000,12.550000,11.500000,12.550000,9.445511,136000
2007-08-13,12.500000,12.500000,12.000000,12.000000,9.031565,1026100
2007-08-14,11.750000,11.750000,11.750000,11.750000,8.843408,152700
2007-08-15,11.740000,12.000000,11.740000,11.900000,8.956300,37700
2007-08-16,11.200000,11.200000,10.210000,10.210000,7.684356,0
2007-08-17,11.800000,11.800000,11.040000,11.040000,8.309037,29600
2007-08-20,11.040000,11.040000,9.550000,9.880000,7.435987,53900
2007-08-21,9.750000,9.750000,9.410000,9.450000,7.112356,3000
2007-08-22,10.050000,10.050000,9.400000,9.400000,7.074726,174300
2007-08-23,9.500000,9.500000,9.090000,9.110000,6.856462,705000
2007-08-24,9.200000,9.500000,9.050000,9.250000,6.961831,1389100
2007-08-27,9.250000,9.700000,9.250000,9.700000,7.300514,60400
2007-08-28,9.650000,9.650000,9.240000,9.250000,6.961831,88700
2007-08-29,9.250000,9.250000,9.200000,9.200000,6.924199,165800
2007-08-30,9.190000,9.300000,9.150000,9.150000,6.886567,7600
2007-08-31,9.120000,9.600000,8.780000,9.600000,7.225253,625500
