Date,Open,High,Low,Close,Adj Close,Volume
2012-04-23,2.960000,2.960000,2.803330,2.833330,1.214661,3096000
2012-04-24,2.866670,2.913330,2.833330,2.900000,1.243243,489600
2012-04-25,2.953330,2.956670,2.866670,2.900000,1.243243,451200
2012-04-26,2.896670,2.900000,2.870000,2.900000,1.243243,742800
2012-04-27,2.900000,2.986670,2.900000,2.980000,1.277539,200400
2012-04-30,2.900000,3.073330,2.883330,3.073330,1.317550,305400
2012-05-02,2.900000,3.073330,2.883330,3.073330,1.317550,305400
2012-05-03,3.053330,3.053330,2.983330,3.016670,1.293259,284700
2012-05-04,3.000000,3.000000,2.933330,2.933330,1.257531,492000
2012-05-07,2.943330,2.946670,2.900000,2.933330,1.257531,478200
2012-05-08,2.980000,2.980000,2.900000,2.966670,1.271824,1070400
2012-05-09,2.900000,2.933330,2.886670,2.916670,1.250389,584400
2012-05-10,2.926670,3.000000,2.916670,2.933330,1.257531,831600
2012-05-11,2.903330,2.996670,2.860000,2.996670,1.284685,458100
2012-05-14,2.956670,2.996670,2.860000,2.933330,1.257531,742500
2012-05-15,2.990000,3.000000,2.853330,2.883330,1.236096,543900
2012-05-16,2.883330,2.883330,2.883330,2.883330,1.236096,0
2012-05-17,2.866670,2.940000,2.770000,2.883330,1.236096,1415700
2012-05-18,2.883330,2.883330,2.866670,2.866670,1.228954,318900
2012-05-21,2.866670,2.866670,2.860000,2.866670,1.228954,925800
2012-05-22,2.826670,2.866670,2.803330,2.850000,1.221807,1555500
2012-05-23,2.806670,2.806670,2.653330,2.666670,1.143213,739500
2012-05-24,2.663330,2.666670,2.600000,2.666670,1.143213,11700
2012-05-25,2.660000,2.663330,2.456670,2.566670,1.100342,354600
2012-05-28,2.490000,2.600000,2.470000,2.496670,1.070333,184800
2012-05-29,2.533330,2.533330,2.500000,2.500000,1.071761,1500
2012-05-30,2.426670,2.446670,2.330000,2.330000,0.998881,30300
2012-05-31,2.396670,2.433330,2.203330,2.433330,1.043179,651600
2012-06-01,2.363330,2.363330,2.266670,2.316670,0.993166,137400
2012-06-04,2.253330,2.266670,2.206670,2.206670,0.946009,14100
2012-06-05,2.200000,2.200000,2.166670,2.166670,0.928860,365400
2012-06-06,2.170000,2.330000,2.166670,2.330000,0.998881,33600
2012-06-08,2.290000,2.333330,2.266670,2.266670,0.971731,401700
2012-06-11,2.283330,2.320000,2.266670,2.266670,0.971731,830100
2012-06-12,2.326670,2.333330,2.286670,2.333330,1.000309,230700
2012-06-13,2.330000,2.480000,2.330000,2.336670,1.001740,856800
2012-06-14,2.363330,2.400000,2.350000,2.400000,1.028890,40500
2012-06-15,2.450000,2.533330,2.450000,2.516670,1.078907,63300
2012-06-18,2.516670,2.516670,2.516670,2.516670,1.078907,0
2012-06-19,2.603330,2.663330,2.550000,2.600000,1.114631,368700
2012-06-20,2.600000,2.600000,2.516670,2.600000,1.114631,36900
