Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,3.349000,3.349000,3.349000,3.349000,1.889849,73000
2000-01-06,3.330000,3.330000,3.330000,3.330000,1.879127,233000
2000-01-07,3.300000,3.300000,3.300000,3.300000,1.862198,12000
2000-01-10,3.330000,3.330000,3.330000,3.330000,1.879127,26000
2000-01-11,3.300000,3.300000,3.300000,3.300000,1.862198,16000
2000-01-12,3.298000,3.298000,3.298000,3.298000,1.861069,454000
2000-01-13,3.398000,3.398000,3.398000,3.398000,1.917500,13000
2000-01-14,3.379000,3.379000,3.379000,3.379000,1.906778,25000
2000-01-17,3.298000,3.298000,3.298000,3.298000,1.861069,26000
2000-01-18,3.298000,3.298000,3.298000,3.298000,1.861069,0
2000-01-19,3.440000,3.440000,3.440000,3.440000,1.941201,169000
2000-01-20,3.299000,3.299000,3.299000,3.299000,1.861634,462000
2000-01-21,3.300000,3.300000,3.300000,3.300000,1.862198,22000
2000-01-24,2.800000,2.800000,2.800000,2.800000,1.580047,0
2000-01-25,2.800000,2.800000,2.800000,2.800000,1.580047,0
2000-01-26,3.450000,3.450000,3.450000,3.450000,1.946844,40000
2000-01-27,3.450000,3.450000,3.450000,3.450000,1.946844,540000
2000-01-28,2.001000,2.001000,2.001000,2.001000,1.129169,0
2000-01-31,3.410000,3.410000,3.410000,3.410000,1.924271,138000
2000-02-01,3.400000,3.400000,3.400000,3.400000,1.918628,10000
2000-02-02,3.390000,3.390000,3.390000,3.390000,1.912985,173000
2000-02-03,3.300000,3.300000,3.300000,3.300000,1.862198,423000
2000-02-04,2.001000,2.001000,2.001000,2.001000,1.129169,0
2000-02-07,3.270000,3.270000,3.270000,3.270000,1.845269,2000
2000-02-08,3.220000,3.220000,3.220000,3.220000,1.817054,1000
2000-02-09,3.220000,3.220000,3.220000,3.220000,1.817054,83000
2000-02-10,3.200000,3.200000,3.200000,3.200000,1.805768,21000
2000-02-11,2.500000,2.500000,2.500000,2.500000,1.410756,0
2000-02-14,3.160000,3.160000,3.160000,3.160000,1.783196,1000
2000-02-15,3.150000,3.150000,3.150000,3.150000,1.777553,1000
2000-02-16,3.100000,3.100000,3.100000,3.100000,1.749338,2000
2000-02-17,3.150000,3.150000,3.150000,3.150000,1.777553,35000
2000-02-18,2.503000,2.503000,2.503000,2.503000,1.412449,0
2000-02-21,3.149000,3.149000,3.149000,3.149000,1.776989,14000
2000-02-22,3.000000,3.000000,3.000000,3.000000,1.692907,0
2000-02-23,3.120000,3.120000,3.120000,3.120000,1.760623,9000
2000-02-24,3.140000,3.140000,3.140000,3.140000,1.771910,2000
2000-02-25,2.900000,2.900000,2.900000,2.900000,1.636477,0
