Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,104.400002,104.400002,104.400002,104.400002,53.476250,282
2000-01-06,113.199997,113.199997,113.199997,113.199997,57.983807,170
2000-01-07,109.800003,109.800003,109.800003,109.800003,56.242260,61
2000-01-10,108.199997,108.199997,108.199997,108.199997,55.422699,57
2000-01-11,106.599998,106.599998,106.599998,106.599998,54.603138,34
2000-01-12,108.000000,108.000000,108.000000,108.000000,55.320248,42
2000-01-13,105.300003,105.300003,105.300003,105.300003,53.937248,43
2000-01-14,101.699997,101.699997,101.699997,101.699997,52.093254,42
2000-01-17,105.300003,105.300003,105.300003,105.300003,53.937248,15
2000-01-18,108.900002,108.900002,108.900002,108.900002,55.781269,52
2000-01-19,105.300003,105.300003,105.300003,105.300003,53.937248,39
2000-01-20,102.599998,102.599998,102.599998,102.599998,52.554245,16
2000-01-21,105.699997,105.699997,105.699997,105.699997,54.142143,12
2000-01-24,111.199997,111.199997,111.199997,111.199997,56.959373,22
2000-01-25,111.199997,111.199997,111.199997,111.199997,56.959373,0
2000-01-26,97.599998,97.599998,97.599998,97.599998,49.993114,29
2000-01-27,113.599998,113.599998,113.599998,113.599998,58.188725,105
2000-01-28,108.699997,108.699997,108.699997,108.699997,55.678814,24
2000-01-31,108.900002,108.900002,108.900002,108.900002,55.781269,17
2000-02-01,111.599998,111.599998,111.599998,111.599998,57.164268,64
2000-02-02,113.900002,113.900002,113.900002,113.900002,58.342392,13
2000-02-03,116.599998,116.599998,116.599998,116.599998,59.725391,29
2000-02-04,119.400002,119.400002,119.400002,119.400002,61.159626,34
2000-02-07,118.699997,118.699997,118.699997,118.699997,60.801064,26
2000-02-08,118.000000,118.000000,118.000000,118.000000,60.442497,20
2000-02-09,110.300003,110.300003,110.300003,110.300003,56.498375,20
2000-02-10,111.199997,111.199997,111.199997,111.199997,56.959373,11
2000-02-11,111.599998,111.599998,111.599998,111.599998,57.164268,7
2000-02-14,111.199997,111.199997,111.199997,111.199997,56.959373,16
2000-02-15,106.599998,106.599998,106.599998,106.599998,54.603138,8
2000-02-16,116.900002,116.900002,116.900002,116.900002,59.879051,24
2000-02-17,113.500000,113.500000,113.500000,113.500000,58.137493,11
2000-02-18,111.099998,111.099998,111.099998,111.099998,56.908146,6
2000-02-21,115.699997,115.699997,115.699997,115.699997,59.264389,9
2000-02-22,114.800003,114.800003,114.800003,114.800003,58.803391,13
2000-02-23,114.800003,114.800003,114.800003,114.800003,58.803391,4
2000-02-24,109.800003,109.800003,109.800003,109.800003,56.242260,6
2000-02-25,108.199997,108.199997,108.199997,108.199997,55.422699,7
2000-02-28,107.099998,107.099998,107.099998,107.099998,54.859261,11
2000-02-29,110.300003,110.300003,110.300003,110.300003,56.498375,29
2000-03-01,110.300003,110.300003,110.300003,110.300003,56.498375,8
2000-03-02,110.500000,110.500000,110.500000,110.500000,56.600819,18
2000-03-03,108.900002,108.900002,108.900002,108.900002,55.781269,31
2000-03-06,108.900002,108.900002,108.900002,108.900002,55.781269,0
2000-03-07,108.900002,108.900002,108.900002,108.900002,55.781269,0
2000-03-08,107.599998,107.599998,107.599998,107.599998,55.115368,4
2000-03-09,108.500000,108.500000,108.500000,108.500000,55.576378,8
2000-03-10,108.900002,108.900002,108.900002,108.900002,55.781269,4
2000-03-13,108.900002,108.900002,108.900002,108.900002,55.781269,0
2000-03-14,103.900002,103.900002,103.900002,103.900002,53.220142,6
2000-03-15,105.699997,105.699997,105.699997,105.699997,54.142143,20
2000-03-16,106.599998,106.599998,106.599998,106.599998,54.603138,14
2000-03-17,102.099998,102.099998,102.099998,102.099998,52.298130,8
2000-03-20,104.400002,104.400002,104.400002,104.400002,53.476250,9
2000-03-21,106.000000,106.000000,106.000000,106.000000,54.295811,15
2000-03-22,104.400002,104.400002,104.400002,104.400002,53.476250,15
2000-03-23,105.300003,105.300003,105.300003,105.300003,53.937248,5
2000-03-24,102.099998,102.099998,102.099998,102.099998,52.298130,16
2000-03-27,102.599998,102.599998,102.599998,102.599998,52.554245,13
2000-03-28,100.300003,100.300003,100.300003,100.300003,51.376122,21
2000-03-29,98.800003,98.800003,98.800003,98.800003,50.607792,10
2000-03-30,98.900002,98.900002,98.900002,98.900002,50.659016,10
2000-03-31,99.800003,99.800003,99.800003,99.800003,51.120018,8
2000-04-03,96.199997,96.199997,96.199997,96.199997,49.276012,12
2000-04-04,94.800003,94.800003,94.800003,94.800003,48.558899,26
2000-04-05,99.400002,99.400002,99.400002,99.400002,50.915123,10
2000-04-06,99.800003,99.800003,99.800003,99.800003,51.120018,29
2000-04-07,101.699997,101.699997,101.699997,101.699997,52.093254,13
2000-04-10,95.800003,95.800003,95.800003,95.800003,49.071125,14
2000-04-11,98.500000,98.500000,98.500000,98.500000,50.454124,20
2000-04-12,96.699997,96.699997,96.699997,96.699997,49.532120,20
2000-04-13,96.199997,96.199997,96.199997,96.199997,49.276012,25
