Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,13.200000,13.200000,12.650000,12.790000,12.790000,35705600
2020-08-11,12.800000,13.000000,12.690000,12.750000,12.750000,6649800
2020-08-12,12.860000,12.880000,12.410000,12.650000,12.650000,10679500
2020-08-13,12.650000,13.150000,12.650000,12.900000,12.900000,6026100
2020-08-14,12.810000,13.500000,12.650000,13.500000,13.500000,3144400
2020-08-17,13.500000,13.510000,12.940000,13.300000,13.300000,1773100
2020-08-18,13.300000,13.650000,13.070000,13.650000,13.650000,2136100
2020-08-19,13.650000,13.660000,13.310000,13.650000,13.650000,1717400
2020-08-20,13.400000,13.730000,13.100000,13.500000,13.500000,1935500
2020-08-21,13.500000,13.730000,13.100000,13.500000,13.500000,2036300
2020-08-24,13.600000,13.730000,13.530000,13.640000,13.640000,963800
2020-08-25,13.640000,13.950000,13.350000,13.950000,13.950000,1162400
2020-08-26,13.800000,13.880000,13.560000,13.620000,13.620000,580200
2020-08-27,13.560000,13.640000,12.980000,13.450000,13.450000,1128700
2020-08-28,13.450000,13.720000,13.270000,13.680000,13.680000,844400
2020-08-31,13.720000,13.720000,13.370000,13.650000,13.650000,720200
2020-09-01,13.580000,14.430000,13.580000,14.060000,14.060000,1635900
2020-09-02,14.280000,14.770000,14.010000,14.660000,14.660000,1880200
2020-09-03,14.660000,14.700000,14.420000,14.580000,14.580000,959700
2020-09-04,14.530000,15.060000,14.100000,14.520000,14.520000,1639100
2020-09-08,14.330000,14.650000,14.190000,14.250000,14.250000,628300
2020-09-09,14.370000,14.620000,14.300000,14.500000,14.500000,1017400
2020-09-10,14.680000,14.850000,14.170000,14.400000,14.400000,3015600
2020-09-11,14.420000,14.670000,14.220000,14.650000,14.650000,1040400
2020-09-14,14.670000,14.960000,14.510000,14.700000,14.700000,698400
2020-09-15,14.730000,15.090000,14.440000,15.090000,15.090000,831000
2020-09-16,15.090000,16.000000,14.890000,14.910000,14.910000,2653700
2020-09-17,14.950000,15.490000,14.730000,15.000000,15.000000,1018800
2020-09-18,15.030000,15.150000,14.680000,14.900000,14.900000,575600
2020-09-21,14.790000,15.220000,14.340000,15.000000,15.000000,648200
2020-09-22,14.960000,15.080000,14.700000,15.000000,15.000000,1165800
2020-09-23,15.150000,15.800000,14.850000,14.950000,14.950000,1742800
2020-09-24,14.950000,15.300000,14.610000,15.250000,15.250000,1300700
2020-09-25,15.300000,15.300000,14.820000,14.820000,14.820000,851900
2020-09-28,15.020000,15.050000,14.010000,14.420000,14.420000,608000
2020-09-29,14.450000,14.450000,14.000000,14.000000,14.000000,504400
2020-09-30,14.070000,14.250000,13.850000,13.950000,13.950000,604900
2020-10-01,14.500000,14.990000,14.070000,14.380000,14.380000,1427200
2020-10-02,14.350000,14.760000,14.220000,14.760000,14.760000,1005300
2020-10-05,14.700000,15.360000,14.570000,15.000000,15.000000,1548500
2020-10-06,15.140000,15.420000,15.000000,15.150000,15.150000,1523600
2020-10-07,15.170000,15.510000,14.950000,15.250000,15.250000,1249600
2020-10-08,15.240000,15.480000,15.240000,15.440000,15.440000,530100
2020-10-09,15.400000,15.640000,15.300000,15.380000,15.380000,541200
2020-10-13,15.380000,16.500000,15.310000,16.090000,16.090000,2052600
2020-10-14,16.139999,16.610001,15.550000,16.299999,16.299999,2083400
2020-10-15,16.240000,16.660000,16.030001,16.400000,16.400000,1426500
2020-10-16,16.389999,17.200001,16.209999,16.440001,16.440001,1725000
2020-10-19,16.500000,17.000000,16.049999,16.150000,16.150000,1058900
2020-10-20,16.150000,16.490000,15.940000,16.350000,16.350000,1356700
2020-10-21,16.299999,16.570000,15.650000,15.650000,15.650000,1486000
2020-10-22,15.780000,15.880000,15.110000,15.110000,15.110000,1208600
2020-10-23,15.160000,15.280000,14.650000,14.710000,14.710000,1454300
2020-10-26,14.800000,15.090000,14.250000,14.650000,14.650000,1032500
2020-10-27,14.720000,15.500000,14.680000,15.090000,15.090000,1388600
2020-10-28,14.700000,15.150000,14.440000,14.750000,14.750000,686800
2020-10-29,14.790000,15.400000,14.150000,15.000000,15.000000,1946600
2020-10-30,15.000000,15.140000,14.300000,14.900000,14.900000,1442200
