Date,Open,High,Low,Close,Adj Close,Volume
2006-10-18,7.000000,7.133330,6.836670,7.016670,5.132832,7977600
2006-10-19,7.033330,7.100000,6.943330,7.000000,5.120637,1174800
2006-10-20,7.003330,7.083330,7.000000,7.083330,5.181595,1079700
2006-10-23,7.080000,7.210000,7.016670,7.133330,5.218171,992100
2006-10-24,7.133330,7.166670,7.083330,7.153330,5.232800,287700
2006-10-25,7.083330,7.110000,7.016670,7.020000,5.135267,677100
2006-10-26,7.023330,7.066670,7.023330,7.033330,5.145019,63300
2006-10-27,7.016670,7.046670,6.936670,7.033330,5.145019,197700
2006-10-30,7.000000,7.033330,7.000000,7.000000,5.120637,69600
2006-10-31,7.016670,7.063330,7.000000,7.000000,5.120637,638400
2006-11-01,7.063330,7.063330,7.000000,7.000000,5.120637,170100
2006-11-02,null,null,null,null,null,null
2006-11-03,7.050000,7.130000,7.010000,7.013330,5.130388,16500
2006-11-06,7.000000,7.033330,7.000000,7.013330,5.130388,372600
2006-11-07,6.870000,7.040000,6.870000,7.000000,5.120637,93600
2006-11-08,7.000000,7.076670,7.000000,7.076670,5.176722,763800
2006-11-09,7.033330,7.086670,7.033330,7.046670,5.154778,44100
2006-11-10,7.083330,7.200000,7.033330,7.163330,5.240116,368100
2006-11-13,7.076670,7.230000,7.033330,7.230000,5.288887,222600
2006-11-14,7.266670,7.266670,7.100000,7.233330,5.291322,234300
2006-11-15,null,null,null,null,null,null
2006-11-16,7.266670,7.266670,7.153330,7.166670,5.242559,166200
2006-11-17,7.130000,7.233330,7.033330,7.233330,5.291322,116400
2006-11-20,null,null,null,null,null,null
2006-11-21,7.230000,7.230000,7.036670,7.166670,5.242559,151500
2006-11-22,7.053330,7.500000,7.053330,7.330000,5.362039,999300
2006-11-23,7.330000,7.496670,7.300000,7.400000,5.413246,15600
2006-11-24,7.496670,7.630000,7.293330,7.583330,5.547355,413100
2006-11-27,7.583330,7.796670,7.533330,7.720000,5.647331,507600
2006-11-28,7.700000,7.800000,7.666670,7.800000,5.705853,81900
2006-11-29,7.830000,7.916670,7.666670,7.916670,5.791200,203700
2006-11-30,7.996670,8.100000,7.833330,7.996670,5.849720,82800
2006-12-01,8.166670,8.166670,7.966670,8.126670,5.944819,386700
2006-12-04,8.133330,8.266670,8.100000,8.233330,6.022841,75600
2006-12-05,8.233330,8.766670,8.166670,8.666670,6.339839,963000
2006-12-06,8.666670,8.833330,8.333330,8.500000,6.217916,533100
2006-12-07,8.600000,8.660000,8.133330,8.633330,6.315450,163800
2006-12-08,8.633330,8.633330,8.343330,8.500000,6.217916,237300
2006-12-11,8.566670,8.566670,8.166670,8.203330,6.000897,108300
2006-12-12,8.136670,8.496670,8.063330,8.333330,6.095994,31500
2006-12-13,8.300000,8.483330,8.266670,8.283330,6.059418,273000
2006-12-14,8.430000,8.433330,8.333330,8.433330,6.169145,245100
2006-12-15,8.270000,8.536670,8.266670,8.433330,6.169145,230700
2006-12-18,8.533330,8.533330,8.183330,8.283330,6.059418,615000
2006-12-19,8.283330,8.500000,8.250000,8.500000,6.217916,1439400
2006-12-20,8.283330,8.500000,8.250000,8.500000,6.217916,1439400
2006-12-21,8.600000,8.600000,8.350000,8.350000,6.108189,431100
2006-12-22,8.350000,8.563330,8.200000,8.500000,6.217916,174900
2006-12-26,8.633330,8.633330,8.450000,8.466670,6.193536,355800
2006-12-27,8.630000,8.666670,8.350000,8.416670,6.156958,178200
2006-12-28,8.663330,8.663330,8.333330,8.333330,6.095994,708600
2007-01-02,8.430000,8.466670,8.383330,8.416670,6.156958,160800
2007-01-03,8.400000,8.496670,8.400000,8.466670,6.193536,137400
2007-01-04,8.503330,8.503330,8.236670,8.333330,6.095994,33600
2007-01-05,8.333330,8.333330,8.216670,8.333330,6.095994,215100
2007-01-08,8.400000,8.400000,8.330000,8.333330,6.095994,350700
2007-01-09,8.200000,8.400000,8.200000,8.333330,6.095994,11700
2007-01-10,8.250000,8.250000,8.116670,8.116670,5.937503,18600
2007-01-11,8.133330,8.163330,8.000000,8.106670,5.930188,249000
2007-01-12,8.033330,8.166670,7.966670,8.166670,5.974078,423300
2007-01-15,8.233330,8.493330,8.230000,8.383330,6.132570,364200
2007-01-16,8.366670,8.466670,8.200000,8.266670,6.047231,137700
2007-01-17,8.266670,8.333330,7.666670,8.066670,5.900927,209400
2007-01-18,8.080000,8.233330,8.066670,8.233330,6.022841,457800
2007-01-19,8.166670,8.466670,8.166670,8.466670,6.193536,1638600
2007-01-22,8.483330,8.533330,8.333330,8.333330,6.095994,23400
2007-01-23,8.500000,8.833330,8.463330,8.833330,6.461755,66600
2007-01-24,8.830000,8.830000,8.516670,8.666670,6.339839,382200
2007-01-26,8.666670,8.783330,8.666670,8.700000,6.364220,95400
2007-01-29,8.583330,8.716670,8.583330,8.666670,6.339839,231600
2007-01-30,8.583330,8.716670,8.583330,8.666670,6.339839,231600
2007-01-31,8.500000,8.833330,8.496670,8.586670,6.281317,828000
2007-02-01,8.833330,9.066670,8.603330,9.000000,6.583676,190500
2007-02-02,9.000000,9.033330,8.600000,8.833330,6.461755,177300
2007-02-05,8.833330,8.950000,8.833330,8.940000,6.539784,50400
2007-02-06,9.000000,9.066670,8.700000,8.933330,6.534906,317100
2007-02-07,8.933330,9.033330,8.900000,8.996670,6.581241,231600
2007-02-08,9.050000,9.166670,9.000000,9.100000,6.656828,92100
2007-02-09,9.083330,9.093330,9.000000,9.050000,6.620252,277200
2007-02-12,9.063330,9.233330,9.063330,9.216670,6.742174,85500
2007-02-13,9.333330,9.583330,9.333330,9.566670,6.998208,517500
2007-02-14,9.333330,9.583330,9.333330,9.566670,6.998208,517500
2007-02-15,9.400000,9.566670,9.336670,9.366670,6.851902,99000
2007-02-16,9.400000,9.400000,9.066670,9.300000,6.803133,36300
2007-02-21,9.300000,9.300000,9.033330,9.033330,6.608057,90900
2007-02-22,9.283330,9.283330,8.840000,8.983330,6.571481,67800
2007-02-23,8.983330,9.233330,8.933330,9.233330,6.754361,395400
2007-02-26,9.400000,9.400000,9.200000,9.330000,6.825078,206700
2007-02-27,9.400000,9.400000,9.200000,9.330000,6.825078,206700
2007-02-28,8.830000,9.333330,8.583330,9.333330,6.827512,467100
2007-03-01,8.733330,9.103330,8.666670,9.100000,6.656828,944700
2007-03-02,9.000000,9.200000,8.833330,9.016670,6.595872,402600
