Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,8.400000,8.400000,8.050000,8.200000,8.200000,1090600
2020-09-30,8.090000,8.230000,8.090000,8.200000,8.200000,1255900
2020-10-01,8.220000,8.470000,8.200000,8.450000,8.450000,402700
2020-10-02,8.320000,8.410000,8.210000,8.260000,8.260000,440100
2020-10-05,8.270000,8.350000,8.170000,8.300000,8.300000,109400
2020-10-06,8.380000,8.380000,7.880000,7.940000,7.940000,970900
2020-10-07,7.950000,8.060000,7.750000,7.940000,7.940000,1276800
2020-10-08,8.000000,8.000000,7.860000,7.940000,7.940000,131500
2020-10-09,7.900000,8.030000,7.900000,7.950000,7.950000,241300
2020-10-13,8.000000,8.290000,7.810000,7.860000,7.860000,310600
2020-10-14,7.860000,7.990000,7.810000,7.990000,7.990000,111200
2020-10-15,7.970000,8.050000,7.800000,8.050000,8.050000,118800
2020-10-16,8.090000,8.090000,7.840000,7.890000,7.890000,477300
2020-10-19,7.970000,8.070000,7.760000,7.760000,7.760000,132100
2020-10-20,7.760000,7.900000,7.540000,7.540000,7.540000,447600
2020-10-21,7.520000,7.520000,7.240000,7.500000,7.500000,335500
2020-10-22,7.500000,7.500000,7.300000,7.320000,7.320000,1047000
2020-10-23,7.330000,7.470000,7.260000,7.280000,7.280000,824300
2020-10-26,7.370000,7.480000,7.370000,7.480000,7.480000,296600
2020-10-27,7.500000,7.990000,7.500000,7.750000,7.750000,1213400
2020-10-28,7.700000,7.700000,7.260000,7.290000,7.290000,226800
2020-10-29,7.300000,7.300000,7.070000,7.190000,7.190000,388400
2020-10-30,7.110000,7.400000,6.630000,6.720000,6.720000,1015300
