Date,Open,High,Low,Close,Adj Close,Volume
2007-07-23,9.394050,9.457690,9.136470,9.303140,5.352540,38497345
2007-07-24,9.333440,10.030400,9.121320,9.848600,5.666368,8427440
2007-07-25,9.821330,10.151600,9.530420,9.575870,5.509454,6266296
2007-07-26,9.400110,9.772840,9.091020,9.545570,5.492022,5462425
2007-07-27,9.545570,9.666780,9.275870,9.394050,5.404844,1591571
2007-07-30,9.545570,9.545570,9.091020,9.454660,5.439717,2711248
2007-07-31,9.397080,9.397080,9.121320,9.333440,5.369972,5124509
2007-08-01,9.212230,9.333440,9.094050,9.333440,5.369972,3053454
2007-08-02,9.333440,9.606170,9.212230,9.606170,5.526886,1383344
2007-08-03,9.454660,9.575870,9.245560,9.245560,5.319412,416785
2007-08-06,9.242530,9.275870,9.124350,9.130410,5.253159,1789569
2007-08-07,9.227380,9.242530,9.060710,9.181930,5.282801,981408
2007-08-08,9.287990,9.391020,9.242530,9.287990,5.343822,1128257
2007-08-09,9.181930,9.212230,8.984950,9.091020,5.230496,3252112
2007-08-10,8.821320,9.015260,8.787980,8.787980,5.056143,3096683
2007-08-13,8.818290,9.433440,8.818290,9.106170,5.239213,1613021
2007-08-14,9.121320,9.372840,9.091020,9.091020,5.230496,4164881
2007-08-15,8.833440,9.257690,8.787980,8.787980,5.056143,6315795
2007-08-16,8.245550,8.484950,7.727360,8.030400,4.620271,2294463
2007-08-17,8.451620,8.936470,7.581910,8.487980,4.883538,1484322
2007-08-20,8.787980,9.394050,8.275860,9.357690,5.383924,2217244
2007-08-21,9.242530,9.333440,9.060710,9.333440,5.369972,659002
2007-08-22,9.212230,9.666780,9.151620,9.203140,5.295005,2337362
2007-08-23,9.212230,9.394050,9.106170,9.151620,5.265362,543834
2007-08-24,9.242530,9.394050,9.242530,9.303140,5.352540,676162
2007-08-27,9.303140,9.606170,9.300110,9.394050,5.404844,747111
2007-08-28,9.333440,9.333440,8.745560,8.878890,5.108448,912769
2007-08-29,8.909200,9.087990,8.697070,8.884950,5.111935,781761
2007-08-30,9.087990,9.357690,8.897070,9.091020,5.230496,2453851
2007-08-31,9.318290,9.697080,9.230410,9.697080,5.579191,546804
2007-09-03,9.545570,9.697080,9.394050,9.545570,5.492022,136618
2007-09-04,9.545570,9.697080,9.394050,9.545570,5.492022,136618
2007-09-05,9.333440,9.666780,9.136470,9.242530,5.317667,1245735
2007-09-06,9.515260,9.515260,9.166780,9.242530,5.317667,112529
2007-09-10,9.087990,9.087990,8.760710,8.772830,5.047425,339236
2007-09-11,8.791010,8.806160,8.248580,8.333430,4.794619,2544270
2007-09-12,8.791010,8.806160,8.248580,8.424340,4.846924,2617199
2007-09-13,8.427370,8.630410,8.063730,8.181910,4.707442,1588271
2007-09-14,8.333430,8.636470,8.242520,8.454650,4.864362,1783629
2007-09-17,8.333430,8.333430,8.121310,8.303130,4.777186,337586
2007-09-18,8.303130,8.939500,8.166760,8.484950,4.881795,1554942
2007-09-19,8.303130,8.939500,8.166760,8.481920,4.880052,1555602
2007-09-20,8.515250,8.818290,8.487980,8.666770,4.986404,4086672
2007-09-21,8.787980,9.181930,8.751620,8.763740,5.042197,1951927
2007-09-24,9.242530,9.333440,9.121320,9.212230,5.300235,296007
2007-09-25,9.091020,9.303140,9.087990,9.269810,5.333362,356066
2007-09-26,9.091020,9.303140,9.087990,9.269810,5.333362,356066
2007-09-27,9.087990,9.618300,9.087990,9.603140,5.525144,1229565
2007-09-28,9.603140,10.151600,9.551630,9.927390,5.711700,1861178
2007-10-01,9.851630,10.451600,9.851630,10.303200,5.927920,1234845
2007-10-02,10.303200,10.303200,9.472840,9.848600,5.666368,1482672
2007-10-03,10.303200,10.303200,9.472840,9.845570,5.664625,1483662
2007-10-04,9.951630,9.951630,9.263750,9.333440,5.369972,938509
2007-10-05,9.424350,9.430410,8.897070,9.087990,5.228754,1820588
2007-10-08,9.745570,10.075900,9.421320,9.651630,5.553041,1115057
2007-10-09,9.745570,10.075900,9.421320,9.651630,5.553041,1115057
2007-10-10,9.869810,9.984970,9.724360,9.984970,5.744828,819050
2007-10-11,9.994060,10.203100,9.787990,9.787990,5.631495,1498182
2007-10-15,9.575870,9.848600,9.469810,9.697080,5.579191,781101
2007-10-16,9.575870,9.848600,9.469810,9.697080,5.579191,781101
2007-10-17,10.363800,11.212200,10.363800,10.909200,6.276581,3100643
2007-10-18,10.363800,11.212200,10.363800,10.848600,6.241717,3101633
2007-10-19,10.603200,10.848600,10.454700,10.454700,6.015086,673852
2007-10-22,10.303200,10.606200,10.051600,10.606200,6.102252,459685
2007-10-23,10.303200,10.606200,10.051600,10.606200,6.102252,459685
2007-10-24,10.681900,11.060700,10.606200,10.742500,6.180672,1211746
2007-10-25,10.515300,10.606200,10.166800,10.303200,5.927920,832250
2007-10-26,10.394100,10.572900,9.878900,10.333500,5.945355,828620
2007-10-29,10.575900,10.606200,10.091000,10.424400,5.997653,554723
2007-10-30,10.575900,10.606200,10.091000,10.424400,5.997653,554723
2007-10-31,10.394100,10.606200,10.357700,10.575900,6.084817,938839
2007-11-01,10.575900,11.045600,10.478900,10.909200,6.276581,1071827
2007-11-05,10.454700,11.360700,10.321300,10.909200,6.276581,1395224
2007-11-06,10.454700,11.360700,10.321300,10.909200,6.276581,1395224
