Date,Open,High,Low,Close,Adj Close,Volume
2020-02-11,19.740000,20.240000,18.969999,20.240000,20.240000,2177300
2020-02-12,20.230000,20.230000,19.650000,19.799999,19.799999,997600
2020-02-13,19.450001,19.700001,19.100000,19.250000,19.250000,2249800
2020-02-14,19.250000,19.650000,18.950001,18.980000,18.980000,803900
2020-02-17,19.020000,19.480000,18.559999,18.950001,18.950001,466600
2020-02-18,18.860001,18.980000,18.549999,18.690001,18.690001,834700
2020-02-19,18.719999,19.190001,18.600000,18.969999,18.969999,1366500
2020-02-20,18.959999,19.000000,18.250000,18.500000,18.500000,467600
2020-02-21,18.500000,18.500000,17.840000,17.860001,17.860001,865000
2020-02-26,null,null,null,null,null,null
2020-02-27,15.900000,16.080000,15.140000,15.710000,15.710000,1111600
2020-02-28,16.000000,16.879999,15.160000,16.200001,16.200001,1072800
2020-03-02,16.200001,17.150000,16.010000,16.860001,16.860001,1976500
2020-03-03,16.799999,17.400000,16.459999,17.000000,17.000000,1269000
2020-03-04,17.000000,17.360001,16.309999,16.309999,16.309999,806700
2020-03-05,16.309999,16.400000,15.320000,15.600000,15.600000,1204700
2020-03-06,14.900000,14.900000,13.710000,14.150000,14.150000,1447300
2020-03-09,12.790000,12.790000,11.940000,12.080000,12.080000,2507100
2020-03-10,12.900000,14.450000,12.190000,14.000000,14.000000,1214800
2020-03-11,13.600000,13.950000,11.930000,13.200000,13.200000,819900
2020-03-12,11.000000,11.510000,9.950000,10.500000,10.500000,2076300
2020-03-13,12.050000,12.660000,11.200000,12.400000,12.400000,2990500
2020-03-16,11.490000,11.490000,9.840000,10.000000,10.000000,1528900
2020-03-17,10.800000,11.500000,10.000000,11.010000,11.010000,2554200
2020-03-18,10.100000,10.160000,8.410000,9.950000,9.950000,4107400
2020-03-19,8.500000,9.800000,8.310000,9.800000,9.800000,1648300
2020-03-20,10.490000,11.520000,9.910000,10.800000,10.800000,313500
2020-03-23,10.790000,10.790000,9.500000,9.550000,9.550000,351200
2020-03-24,10.300000,10.910000,10.050000,10.910000,10.910000,307200
2020-03-25,10.700000,11.450000,10.500000,11.320000,11.320000,505800
2020-03-26,10.750000,12.900000,10.750000,12.500000,12.500000,1308000
2020-03-27,12.200000,12.200000,11.030000,11.320000,11.320000,422400
2020-03-30,11.300000,12.040000,11.300000,11.800000,11.800000,179700
2020-03-31,11.990000,12.040000,10.950000,11.000000,11.000000,212500
2020-04-01,10.910000,10.910000,9.680000,9.950000,9.950000,586400
2020-04-02,10.180000,10.180000,9.520000,9.990000,9.990000,849900
2020-04-03,9.500000,10.000000,8.620000,10.000000,10.000000,2229900
2020-04-06,10.110000,10.790000,10.010000,10.300000,10.300000,636000
2020-04-07,10.420000,11.280000,10.350000,10.350000,10.350000,401300
2020-04-08,10.350000,10.550000,9.910000,10.290000,10.290000,462900
2020-04-09,10.350000,10.900000,10.170000,10.900000,10.900000,631100
2020-04-13,10.900000,10.900000,10.300000,10.460000,10.460000,465600
2020-04-14,10.610000,10.750000,10.080000,10.530000,10.530000,912500
2020-04-15,10.480000,10.480000,10.000000,10.100000,10.100000,1204500
2020-04-16,10.240000,10.500000,10.060000,10.460000,10.460000,438400
2020-04-17,10.510000,10.750000,10.110000,10.210000,10.210000,521600
2020-04-20,10.110000,10.200000,9.810000,9.900000,9.900000,755700
2020-04-22,10.000000,11.390000,9.800000,11.090000,11.090000,2150500
2020-04-23,11.020000,11.790000,10.520000,11.100000,11.100000,457500
2020-04-24,11.100000,11.100000,9.950000,10.350000,10.350000,480600
2020-04-27,10.500000,10.860000,10.000000,10.610000,10.610000,298000
2020-04-28,10.910000,11.200000,10.350000,10.700000,10.700000,421000
2020-04-29,10.980000,11.000000,10.520000,10.700000,10.700000,532900
2020-04-30,10.560000,10.710000,10.330000,10.700000,10.700000,209300
2020-05-04,10.300000,10.530000,9.970000,10.290000,10.290000,342000
2020-05-05,10.580000,10.650000,10.060000,10.200000,10.200000,214200
2020-05-06,10.350000,10.850000,9.680000,10.600000,10.600000,273100
2020-05-07,10.600000,10.600000,9.900000,10.000000,10.000000,421200
2020-05-08,10.300000,10.300000,9.740000,10.100000,10.100000,473500
2020-05-11,10.180000,10.180000,9.710000,9.720000,9.720000,431900
2020-05-12,9.900000,10.120000,9.600000,9.930000,9.930000,1090500
2020-05-13,9.860000,9.880000,9.250000,9.600000,9.600000,667100
2020-05-14,9.590000,9.840000,9.000000,9.750000,9.750000,569400
2020-05-15,9.700000,9.780000,9.260000,9.400000,9.400000,775000
2020-05-18,9.540000,9.970000,9.450000,9.900000,9.900000,552800
2020-05-19,9.900000,10.250000,9.700000,9.990000,9.990000,569800
2020-05-20,9.840000,10.070000,9.760000,9.850000,9.850000,304700
2020-05-21,9.800000,10.900000,9.800000,10.890000,10.890000,814900
2020-05-22,11.200000,11.340000,10.700000,11.300000,11.300000,810600
2020-05-25,11.730000,12.350000,11.670000,12.150000,12.150000,962000
2020-05-26,12.400000,12.900000,12.000000,12.350000,12.350000,1067400
2020-05-27,12.330000,13.000000,12.260000,12.790000,12.790000,552000
2020-05-28,12.790000,12.960000,12.060000,12.800000,12.800000,731500
2020-05-29,12.940000,12.940000,12.110000,12.400000,12.400000,876300
2020-06-01,12.400000,12.640000,12.300000,12.300000,12.300000,450000
2020-06-02,12.400000,13.140000,12.310000,12.980000,12.980000,1083000
2020-06-03,13.160000,14.010000,13.160000,14.010000,14.010000,549800
2020-06-04,14.510000,15.410000,14.510000,14.910000,14.910000,1286900
2020-06-05,15.500000,15.740000,14.510000,14.620000,14.620000,776200
2020-06-08,14.900000,15.030000,14.210000,14.600000,14.600000,874600
2020-06-09,14.290000,14.850000,14.060000,14.700000,14.700000,474300
2020-06-10,14.710000,15.100000,13.940000,14.400000,14.400000,393500
2020-06-12,13.950000,14.730000,13.710000,14.000000,14.000000,616400
2020-06-15,13.350000,14.100000,13.210000,13.900000,13.900000,409500
2020-06-16,14.150000,14.840000,13.190000,14.500000,14.500000,1290800
2020-06-17,14.700000,15.480000,14.370000,15.010000,15.010000,1521100
2020-06-18,15.000000,15.180000,14.600000,14.740000,14.740000,999700
2020-06-19,15.000000,15.120000,14.610000,15.000000,15.000000,1346000
