Date,Open,High,Low,Close,Adj Close,Volume
2014-10-21,27.650000,27.650000,27.650000,27.650000,26.579973,1908500
2014-10-22,27.600000,28.770000,27.600000,27.790001,26.714560,290900
2014-10-23,27.940001,27.940001,27.049999,27.799999,26.724169,134200
2014-10-24,27.299999,27.740000,27.150000,27.500000,26.435780,137900
2014-10-27,27.049999,27.559999,26.790001,27.500000,26.435780,135600
2014-10-28,27.490000,28.299999,27.490000,27.799999,26.724169,107200
2014-10-29,27.650000,27.700001,27.500000,27.600000,26.531908,39200
2014-10-30,27.500000,27.700001,27.350000,27.600000,26.531908,94700
2014-10-31,27.510000,29.200001,27.500000,29.200001,28.069992,51000
2014-11-03,28.500000,28.900000,28.150000,28.770000,27.656631,18400
2014-11-04,28.340000,28.700001,28.200001,28.500000,27.397081,12100
2014-11-05,28.010000,28.250000,27.500000,27.500000,26.435780,18200
2014-11-06,27.450001,27.740000,27.350000,27.500000,26.435780,329900
2014-11-07,27.490000,27.700001,27.490000,27.610001,26.541523,48500
2014-11-10,27.620001,28.400000,27.620001,27.700001,26.628040,10300
2014-11-11,27.700001,28.770000,27.700001,28.770000,27.656631,55400
2014-11-12,28.299999,29.000000,28.150000,28.600000,27.493208,44400
2014-11-13,28.700001,28.950001,28.500000,28.500000,27.397081,68500
2014-11-14,28.110001,29.090000,28.110001,29.000000,27.877731,29000
2014-11-17,29.000000,29.700001,28.660000,29.049999,27.925793,113400
2014-11-18,29.150000,29.700001,29.150000,29.549999,28.406448,77000
2014-11-19,29.500000,29.799999,29.040001,29.299999,28.166119,78600
2014-11-21,29.700001,30.500000,29.350000,30.000000,28.839029,65900
2014-11-24,30.100000,31.799999,30.020000,30.879999,29.684975,101500
2014-11-25,31.400000,31.600000,30.629999,31.200001,29.992592,114800
2014-11-26,31.400000,31.549999,31.000000,31.299999,30.088720,45200
2014-11-27,31.690001,32.000000,31.690001,31.799999,30.569366,26400
2014-11-28,31.510000,32.049999,31.299999,31.500000,30.280983,86700
2014-12-01,31.840000,31.840000,30.500000,30.500000,29.319681,3080322
2014-12-02,30.900000,30.900000,30.030001,30.100000,28.935163,239638
2014-12-03,30.100000,30.299999,29.750000,30.299999,29.127419,5700
2014-12-04,30.160000,30.750000,29.650000,30.750000,29.560005,7300
2014-12-05,30.129999,30.750000,30.059999,30.750000,29.560005,2900
2014-12-08,30.129999,30.559999,30.129999,30.400000,29.223551,14400
2014-12-09,30.020000,30.400000,29.760000,30.400000,29.223551,8200
2014-12-10,30.200001,30.500000,30.200001,30.500000,29.319681,2700
2014-12-11,30.309999,30.309999,29.260000,29.799999,28.646770,29400
2014-12-12,29.240000,30.600000,29.100000,29.100000,27.973860,28400
2014-12-15,29.500000,29.799999,29.000000,29.000000,27.877731,105100
2014-12-16,29.000000,29.299999,28.200001,29.299999,28.166119,18600
2014-12-17,29.410000,30.000000,28.730000,30.000000,28.839029,13200
2014-12-18,30.500000,30.799999,29.450001,29.700001,28.550642,6600
2014-12-19,29.700001,30.690001,29.690001,30.690001,29.502327,11100
2014-12-22,30.639999,30.639999,30.000000,30.400000,29.223551,7100
2014-12-23,29.950001,30.350000,29.610001,30.000000,28.839029,27700
2014-12-26,29.990000,30.280001,29.750000,30.280001,29.108196,8500
2014-12-29,30.090000,30.090000,29.700001,30.000000,28.839029,18100
2014-12-30,30.010000,30.680000,29.750000,30.680000,29.492716,54100
2015-01-02,30.680000,30.680000,30.680000,30.680000,29.492716,0
2015-01-05,30.080000,30.080000,29.799999,29.799999,28.709742,4700
2015-01-06,29.059999,29.500000,28.510000,29.000000,27.939011,5900
2015-01-07,28.000000,28.750000,27.500000,27.500000,26.493889,40700
2015-01-08,27.340000,27.350000,26.510000,26.600000,25.626820,260700
2015-01-09,26.520000,28.330000,26.430000,28.330000,27.293524,243000
2015-01-12,28.000000,28.290001,27.000000,27.900000,26.879257,25000
2015-01-13,26.850000,27.879999,26.850000,27.450001,26.445719,22300
2015-01-14,27.900000,27.900000,27.450001,27.450001,26.445719,1100
2015-01-15,26.799999,27.200001,26.600000,27.000000,26.012182,5800
2015-01-16,27.000000,27.969999,27.000000,27.500000,26.493889,27500
2015-01-19,27.969999,28.320000,27.080000,27.750000,26.734743,69800
2015-01-20,27.790001,27.860001,27.750000,27.750000,26.734743,10100
2015-01-21,27.520000,29.590000,27.520000,29.590000,28.507427,17000
2015-01-22,29.549999,29.549999,28.650000,29.000000,27.939011,4600
2015-01-23,28.320000,29.889999,28.320000,29.889999,28.796448,7000
2015-01-26,29.360001,29.360001,28.500000,28.500000,27.457304,3000
2015-01-27,28.500000,28.500000,28.000000,28.000000,26.975595,15300
2015-01-28,28.000000,29.250000,28.000000,28.750000,27.698158,25900
2015-01-29,28.500000,28.510000,28.299999,28.500000,27.457304,24100
2015-01-30,28.500000,29.000000,28.150000,29.000000,27.939011,15300
2015-02-02,28.680000,28.900000,28.500000,28.500000,27.457304,38800
2015-02-03,28.559999,28.879999,28.360001,28.590000,27.544012,19200
2015-02-04,28.250000,29.389999,28.250000,29.200001,28.131695,8600
2015-02-05,29.000000,29.190001,28.680000,29.000000,27.939011,15500
2015-02-06,29.000000,29.500000,28.510000,29.480000,28.401451,805800
2015-02-09,29.120001,29.480000,29.110001,29.110001,28.044987,14200
2015-02-10,29.110001,29.120001,29.110001,29.110001,28.044987,4700
2015-02-11,29.110001,29.600000,29.110001,29.580000,28.497791,7100
2015-02-12,29.730000,29.750000,29.580000,29.750000,28.661570,3200
2015-02-13,29.600000,29.799999,29.600000,29.700001,28.613403,2600
2015-02-18,29.850000,29.850000,29.850000,29.850000,28.757914,600
2015-02-19,29.840000,30.100000,29.000000,29.000000,27.939011,24300
2015-02-20,28.600000,28.600000,28.200001,28.400000,27.360962,12800
2015-02-23,28.400000,28.500000,28.400000,28.500000,27.457304,5300
2015-02-24,28.459999,28.600000,28.459999,28.500000,27.457304,4600
2015-02-25,28.549999,28.750000,28.549999,28.740000,27.688522,1300
2015-02-26,28.559999,28.910000,28.500000,28.500000,27.457304,2800
2015-02-27,28.990000,29.850000,28.620001,29.850000,28.757914,8400
2015-03-02,29.260000,29.520000,28.500000,28.500000,27.457304,119800
2015-03-03,29.000000,29.330000,28.600000,29.299999,28.228035,4200
2015-03-04,28.780001,29.000000,28.680000,29.000000,27.939011,2400
2015-03-05,29.000000,29.000000,29.000000,29.000000,27.939011,0
2015-03-06,28.990000,29.500000,28.990000,29.400000,28.324377,1600
2015-03-09,28.629999,28.629999,28.000000,28.000000,26.975595,7400
2015-03-10,28.010000,28.750000,27.520000,28.750000,27.698158,8500
2015-03-11,33.000000,33.500000,29.200001,29.490000,28.411085,276300
2015-03-12,29.719999,29.850000,29.510000,29.650000,28.565226,3500
2015-03-13,29.680000,29.680000,29.250000,29.250000,28.179865,5100
2015-03-16,29.270000,29.309999,28.900000,28.900000,27.842669,5400
2015-03-17,28.910000,29.139999,28.799999,28.799999,27.746326,1500
2015-03-18,29.420000,29.450001,29.250000,29.350000,28.276207,7200
2015-03-19,29.430000,29.500000,29.330000,29.400000,28.324377,3900
2015-03-20,29.400000,29.400000,29.139999,29.350000,28.276207,2900
2015-03-23,29.110001,29.110001,28.750000,28.750000,27.698158,8600
2015-03-24,28.799999,29.299999,28.500000,29.299999,28.228035,4300
2015-03-25,29.350000,29.990000,29.200001,29.990000,28.892792,12000
2015-03-26,29.610001,29.610001,28.500000,29.490000,28.411085,16900
2015-03-27,29.000000,29.400000,29.000000,29.400000,28.324377,3000
2015-03-30,29.250000,29.580000,29.110001,29.200001,28.131695,11000
2015-03-31,29.150000,29.200001,28.680000,28.680000,27.630718,7100
2015-04-01,28.799999,29.000000,28.500000,28.500000,27.457304,24100
2015-04-02,28.990000,29.299999,28.719999,28.799999,27.746326,6500
2015-04-06,28.799999,29.600000,28.799999,29.500000,28.420719,259500
2015-04-07,29.680000,29.700001,29.270000,29.700001,28.613403,103400
2015-04-08,29.700001,29.700001,29.500000,29.690001,28.603765,4000
2015-04-09,29.700001,29.700001,29.570000,29.570000,28.488155,6600
2015-04-10,29.450001,29.600000,29.379999,29.450001,28.372551,10100
2015-04-13,29.450001,29.450001,29.400000,29.400000,28.324377,2300
2015-04-14,29.340000,29.340000,28.660000,28.660000,27.611448,14700
2015-04-15,29.139999,29.139999,28.600000,28.600000,27.553644,5500
2015-04-16,28.610001,28.700001,28.530001,28.530001,27.486208,6900
2015-04-17,28.750000,28.889999,28.750000,28.889999,27.833035,500
2015-04-20,28.799999,28.799999,28.700001,28.799999,27.746326,800
2015-04-22,28.799999,28.799999,28.600000,28.790001,27.736694,2000
2015-04-23,28.620001,28.790001,28.500000,28.660000,27.611448,10600
2015-04-24,28.559999,28.799999,28.410000,28.799999,27.746326,20600
2015-04-27,28.799999,28.809999,28.500000,28.500000,27.457304,5600
2015-04-28,28.600000,28.700001,28.600000,28.650000,27.601816,4200
2015-04-29,28.549999,28.590000,28.400000,28.500000,27.632008,13500
2015-04-30,28.629999,28.700001,28.620001,28.620001,27.748350,2600
2015-05-04,28.700001,29.450001,28.020000,29.450001,28.553078,9400
2015-05-05,29.049999,29.180000,28.799999,29.020000,28.136169,3300
2015-05-06,29.020000,29.440001,29.000000,29.270000,28.378557,2300
2015-05-07,29.190001,29.290001,29.190001,29.290001,28.397949,1700
2015-05-08,29.280001,29.290001,28.820000,29.160000,28.271910,3600
2015-05-11,29.170000,29.219999,28.760000,29.219999,28.330080,8700
2015-05-12,29.020000,29.100000,29.000000,29.000000,28.116781,600
2015-05-13,28.959999,28.959999,28.230000,28.230000,27.370230,8900
2015-05-14,28.379999,28.490000,28.000000,28.490000,27.622311,5400
2015-05-15,28.490000,29.000000,28.260000,29.000000,28.116781,4100
2015-05-18,28.500000,28.540001,28.030001,28.110001,27.253887,9900
2015-05-19,28.150000,28.150000,28.030001,28.030001,27.176327,1100
2015-05-20,28.150000,28.430000,28.150000,28.430000,27.564138,141300
2015-05-21,28.370001,28.500000,27.389999,27.389999,26.555811,6400
2015-05-22,27.690001,28.000000,27.650000,28.000000,27.147232,3600
2015-05-25,28.000000,28.150000,28.000000,28.150000,27.292664,2900
2015-05-26,28.000000,28.469999,28.000000,28.469999,27.602921,1500
2015-05-27,28.389999,28.600000,28.010000,28.600000,27.728962,4000
2015-05-28,28.549999,29.100000,28.549999,28.990000,28.107082,84700
2015-05-29,28.799999,29.150000,28.610001,29.150000,28.262211,21700
2015-06-01,29.150000,29.200001,28.299999,29.100000,28.213734,45600
2015-06-02,29.129999,29.420000,29.129999,29.360001,28.465816,50500
2015-06-03,29.100000,29.420000,28.980000,29.420000,28.523987,5400
2015-06-05,29.350000,29.400000,29.250000,29.250000,28.359169,29100
