Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,10.780000,11.300000,10.100000,10.400000,10.400000,12416100
2020-09-04,10.700000,10.800000,10.250000,10.400000,10.400000,4048500
2020-09-08,10.400000,10.400000,10.000000,10.350000,10.350000,1459400
2020-09-09,10.350000,10.440000,10.190000,10.290000,10.290000,1223400
2020-09-10,10.250000,10.250000,10.100000,10.100000,10.100000,905400
2020-09-11,10.080000,10.100000,9.670000,9.900000,9.900000,1523800
2020-09-14,9.900000,10.130000,9.770000,9.770000,9.770000,1182400
2020-09-15,9.750000,9.830000,9.500000,9.780000,9.780000,838400
2020-09-16,9.760000,9.870000,9.620000,9.870000,9.870000,252900
2020-09-17,9.860000,9.860000,9.590000,9.600000,9.600000,517300
2020-09-18,9.590000,9.600000,9.380000,9.380000,9.380000,338200
2020-09-21,9.380000,9.380000,9.030000,9.300000,9.300000,359200
2020-09-22,9.380000,9.800000,9.200000,9.800000,9.800000,418000
2020-09-23,9.800000,9.900000,9.560000,9.560000,9.560000,285500
2020-09-24,9.560000,9.700000,9.300000,9.600000,9.600000,400200
2020-09-25,9.590000,9.590000,9.380000,9.480000,9.480000,406700
2020-09-28,9.420000,9.520000,9.250000,9.300000,9.300000,1806300
2020-09-29,9.240000,9.280000,9.010000,9.240000,9.240000,163100
2020-09-30,9.240000,9.330000,9.080000,9.200000,9.200000,937200
2020-10-01,9.300000,9.300000,9.050000,9.260000,9.260000,909400
2020-10-02,9.200000,9.500000,9.080000,9.300000,9.300000,539800
2020-10-05,9.480000,9.480000,9.100000,9.160000,9.160000,656700
2020-10-06,9.170000,9.340000,9.060000,9.060000,9.060000,282500
2020-10-07,9.090000,9.250000,8.950000,9.100000,9.100000,408800
2020-10-08,9.110000,9.160000,8.950000,8.950000,8.950000,496200
2020-10-09,8.940000,9.090000,8.800000,9.070000,9.070000,524000
2020-10-13,9.370000,9.700000,8.880000,9.100000,9.100000,2013400
2020-10-14,9.400000,9.520000,9.240000,9.360000,9.360000,1747800
2020-10-15,9.600000,9.700000,9.430000,9.600000,9.600000,2068000
2020-10-16,9.620000,9.660000,9.420000,9.450000,9.450000,674300
2020-10-19,9.350000,9.440000,9.020000,9.030000,9.030000,2158200
2020-10-20,9.030000,9.150000,9.030000,9.140000,9.140000,340600
2020-10-21,9.140000,9.140000,9.060000,9.090000,9.090000,346500
2020-10-22,9.050000,9.100000,9.000000,9.100000,9.100000,474400
2020-10-23,9.090000,9.090000,8.950000,8.990000,8.990000,250600
2020-10-26,9.020000,9.020000,8.880000,8.990000,8.990000,253800
2020-10-27,9.000000,9.040000,8.860000,9.040000,9.040000,281200
2020-10-28,9.020000,9.020000,8.600000,8.600000,8.600000,526200
2020-10-29,8.610000,8.680000,8.320000,8.510000,8.510000,502300
2020-10-30,8.910000,8.990000,8.080000,8.200000,8.200000,1287900
