Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,9.400000,9.480000,8.600000,9.000000,9.000000,6292000
2020-09-21,8.640000,8.680000,8.300000,8.500000,8.500000,2249700
2020-09-22,8.490000,8.660000,8.220000,8.580000,8.580000,1926100
2020-09-23,8.550000,8.980000,8.520000,8.900000,8.900000,2828200
2020-09-24,8.900000,9.240000,8.720000,9.180000,9.180000,1642100
2020-09-25,9.180000,9.280000,8.950000,9.050000,9.050000,2064400
2020-09-28,9.130000,9.410000,8.690000,9.000000,9.000000,1240300
2020-09-29,9.000000,9.300000,8.710000,8.790000,8.790000,1015700
2020-09-30,8.840000,9.250000,8.640000,9.250000,9.250000,2047100
2020-10-01,9.200000,9.860000,8.960000,9.860000,9.860000,699900
2020-10-02,9.710000,9.800000,9.430000,9.450000,9.450000,730400
2020-10-05,9.450000,9.650000,9.260000,9.650000,9.650000,886900
2020-10-06,9.510000,9.800000,9.510000,9.740000,9.740000,493200
2020-10-07,9.740000,9.740000,9.330000,9.400000,9.400000,867500
2020-10-08,9.550000,9.580000,9.050000,9.290000,9.290000,1335900
2020-10-09,9.120000,9.450000,9.120000,9.350000,9.350000,220100
2020-10-13,9.350000,9.470000,9.350000,9.380000,9.380000,160800
2020-10-14,9.330000,9.540000,9.080000,9.540000,9.540000,639200
2020-10-15,9.390000,9.650000,9.390000,9.500000,9.500000,232400
2020-10-16,9.520000,9.540000,9.190000,9.540000,9.540000,512900
2020-10-19,9.540000,9.600000,9.300000,9.450000,9.450000,222100
2020-10-20,9.450000,9.630000,9.370000,9.630000,9.630000,313400
2020-10-21,9.650000,9.780000,9.510000,9.550000,9.550000,231500
2020-10-22,9.690000,9.800000,9.540000,9.800000,9.800000,150700
2020-10-23,9.700000,9.720000,9.440000,9.570000,9.570000,159400
2020-10-26,9.730000,9.740000,9.500000,9.650000,9.650000,171400
2020-10-27,9.520000,9.750000,9.500000,9.660000,9.660000,255100
2020-10-28,9.350000,9.840000,9.220000,9.600000,9.600000,256800
2020-10-29,9.600000,9.600000,9.300000,9.300000,9.300000,460500
2020-10-30,9.350000,9.590000,8.700000,8.700000,8.700000,444800
