Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,0.254270,0.266670,0.254270,0.266670,0.175670,36281
2000-01-06,0.256750,0.260470,0.255510,0.260470,0.171586,362810
2000-01-07,0.260470,0.260470,0.260470,0.260470,0.171586,403122
2000-01-10,0.260470,0.262950,0.248060,0.260470,0.171586,736101
2000-01-11,0.260470,0.262950,0.254270,0.262950,0.173219,844943
2000-01-12,0.498670,0.518620,0.498670,0.498670,0.328501,0
2000-01-13,0.260470,0.260470,0.254270,0.254270,0.167501,40312
2000-01-14,0.511140,0.528590,0.511140,0.511140,0.336715,0
2000-01-17,0.254270,0.254270,0.254270,0.254270,0.167501,8062
2000-01-18,0.255510,0.255510,0.253030,0.253030,0.166684,237842
2000-01-19,0.253030,0.253030,0.253030,0.253030,0.166684,407153
2000-01-20,0.260470,0.260470,0.253030,0.259230,0.170769,1515738
2000-01-21,0.259230,0.260470,0.259230,0.260470,0.171586,100780
2000-01-24,0.259230,0.260470,0.259230,0.260470,0.171586,569208
2000-01-25,0.523610,0.523610,0.523610,0.523610,0.344930,0
2000-01-26,0.253030,0.253030,0.250540,0.250540,0.165044,249936
2000-01-27,0.249300,0.249300,0.249300,0.249300,0.164227,16125
2000-01-28,0.248060,0.248060,0.245580,0.245580,0.161777,626451
2000-01-31,0.248060,0.248060,0.243100,0.243100,0.160143,835268
2000-02-01,0.246820,0.246820,0.246820,0.246820,0.162594,40312
2000-02-02,0.248060,0.248060,0.248060,0.248060,0.163410,91912
2000-02-03,0.260470,0.266670,0.260470,0.266670,0.175670,350716
2000-02-04,0.266670,0.279070,0.266670,0.279070,0.183839,392641
2000-02-07,0.272870,0.297680,0.272870,0.297680,0.196098,169311
2000-02-08,0.316280,0.316280,0.285270,0.310080,0.204266,121743
2000-02-09,0.310080,0.333650,0.310080,0.310080,0.204266,380547
2000-02-10,0.303880,0.310080,0.303880,0.310080,0.204266,615164
2000-02-11,0.322480,0.322480,0.303880,0.312560,0.205900,297504
2000-02-14,0.322480,0.322480,0.310080,0.321240,0.211618,33056
2000-02-15,0.310080,0.322480,0.310080,0.322480,0.212435,1552825
2000-02-16,0.322480,0.322480,0.320000,0.320000,0.210801,299116
2000-02-17,0.322480,0.323720,0.322480,0.322480,0.212435,159636
2000-02-18,0.322480,0.322480,0.322480,0.322480,0.212435,1612
2000-02-21,0.328680,0.341090,0.328680,0.341090,0.224694,254773
2000-02-22,0.648280,1.009810,0.648280,0.648280,0.427057,0
2000-02-23,0.334890,0.334890,0.334890,0.334890,0.220610,140286
2000-02-24,0.322480,0.341090,0.322480,0.334890,0.220610,198336
2000-02-25,0.334890,0.334890,0.334890,0.334890,0.220610,64499
2000-02-28,0.341090,0.341090,0.341090,0.341090,0.224694,40312
2000-02-29,0.341090,0.347290,0.341090,0.347290,0.228779,262835
2000-03-01,0.347290,0.347290,0.347290,0.347290,0.228779,806244
2000-03-02,0.347290,0.347290,0.347290,0.347290,0.228779,475684
2000-03-03,0.347290,0.347290,0.347290,0.347290,0.228779,1733424
2000-03-06,0.698140,0.698140,0.698140,0.698140,0.459903,0
2000-03-07,0.698140,0.698140,0.698140,0.698140,0.459903,0
2000-03-08,0.347290,0.347290,0.347290,0.347290,0.228779,806244
2000-03-09,0.648280,0.695650,0.648280,0.648280,0.427057,0
2000-03-10,0.336130,0.336130,0.336130,0.336130,0.221427,225748
2000-03-13,0.648280,0.673210,0.648280,0.648280,0.427057,0
2000-03-14,0.334890,0.334890,0.333650,0.333650,0.219793,213655
2000-03-15,0.341090,0.341090,0.341090,0.341090,0.224694,407153
2000-03-16,0.660740,0.670720,0.660740,0.660740,0.435265,0
2000-03-17,0.332410,0.333650,0.322480,0.333650,0.219793,165280
2000-03-20,0.316280,0.328680,0.310080,0.328680,0.216519,1118260
2000-03-21,0.623340,0.698140,0.623340,0.623340,0.410628,0
2000-03-22,0.316280,0.316280,0.303880,0.310080,0.204266,237036
2000-03-23,0.292720,0.297680,0.291480,0.297680,0.196098,565177
2000-03-24,0.303880,0.303880,0.303880,0.303880,0.200182,8062
2000-03-27,0.292720,0.297680,0.291480,0.297680,0.196098,630483
2000-03-28,0.297680,0.297680,0.297680,0.297680,0.196098,48375
2000-03-29,0.287750,0.313800,0.285270,0.291480,0.192014,460365
2000-03-30,0.291480,0.297680,0.291480,0.297680,0.196098,242679
2000-03-31,0.291480,0.291480,0.291480,0.291480,0.192014,403122
2000-04-03,0.292720,0.292720,0.292720,0.292720,0.192830,3225
2000-04-04,0.536070,0.588430,0.536070,0.536070,0.353138,0
2000-04-05,0.292720,0.292720,0.292720,0.292720,0.192830,466815
2000-04-06,0.272870,0.310080,0.272870,0.310080,0.204266,41925
2000-04-07,0.347290,0.347290,0.347290,0.347290,0.228779,806
2000-04-10,0.334890,0.334890,0.334890,0.334890,0.220610,806
2000-04-11,0.316280,0.334890,0.297680,0.334890,0.220610,493421
2000-04-12,0.332410,0.332410,0.310080,0.328680,0.216519,1481070
2000-04-13,0.610880,0.670720,0.610880,0.610880,0.402420,0
2000-04-14,0.303880,0.333650,0.303880,0.333650,0.219793,17737
2000-04-17,0.610880,0.660740,0.610880,0.610880,0.402420,0
2000-04-18,0.332410,0.333650,0.332410,0.333650,0.219793,175761
2000-04-19,0.561010,0.673210,0.561010,0.561010,0.369568,0
2000-04-20,0.610880,0.670720,0.610880,0.610880,0.402420,0
2000-04-21,0.610880,0.610880,0.610880,0.610880,0.402420,0
2000-04-24,0.303880,0.334890,0.303880,0.334890,0.220610,12094
2000-04-25,0.565990,0.673210,0.565990,0.565990,0.372848,0
2000-04-26,0.333650,0.334890,0.307600,0.307600,0.202633,3451529
2000-04-27,0.322480,0.322480,0.322480,0.322480,0.212435,806
2000-04-28,0.334890,0.334890,0.316280,0.322480,0.212435,434565
2000-05-01,0.648280,0.648280,0.648280,0.648280,0.427057,0
2000-05-02,0.322480,0.322480,0.322480,0.322480,0.212435,161249
2000-05-03,0.334890,0.334890,0.310080,0.310080,0.204266,961043
2000-05-04,0.318760,0.322480,0.318760,0.322480,0.212435,162055
2000-05-05,0.316280,0.334890,0.316280,0.332410,0.218976,103199
2000-05-08,0.610880,0.648280,0.610880,0.610880,0.402420,0
2000-05-09,0.568490,0.673210,0.568490,0.568490,0.374495,0
2000-05-10,0.310080,0.333650,0.310080,0.317520,0.209168,418440
2000-05-11,0.317520,0.322480,0.317520,0.322480,0.212435,299923
2000-05-12,0.334890,0.334890,0.334890,0.334890,0.220610,3225
2000-05-15,0.321240,0.334890,0.321240,0.334890,0.220610,1612
2000-05-16,0.322480,0.334890,0.316280,0.316280,0.208351,6450
2000-05-17,0.303880,0.322480,0.310080,0.322480,0.212435,915893
2000-05-18,0.334890,0.334890,0.334890,0.334890,0.220610,806
2000-05-19,0.303880,0.320000,0.303880,0.320000,0.210801,12094
2000-05-22,0.623340,0.648280,0.623340,0.623340,0.410628,0
2000-05-23,0.334890,0.334890,0.334890,0.334890,0.220610,469234
2000-05-24,0.623340,0.660740,0.623340,0.623340,0.410628,0
2000-05-25,0.311320,0.341090,0.311320,0.341090,0.224694,12900
2000-05-26,0.347290,0.347290,0.347290,0.347290,0.228779,8062
2000-05-29,0.623340,0.698140,0.623340,0.623340,0.410628,0
2000-05-30,0.353490,0.353490,0.351010,0.351010,0.231229,1612
2000-05-31,0.351010,0.351010,0.351010,0.351010,0.231229,466815
2000-06-01,0.623340,0.705620,0.623340,0.623340,0.410628,0
2000-06-02,0.351010,0.359690,0.351010,0.359690,0.236947,9675
2000-06-05,0.359690,0.359690,0.359690,0.359690,0.236947,8062
2000-06-06,0.723080,0.723080,0.723080,0.723080,0.476332,0
2000-06-07,0.359690,0.359690,0.359690,0.359690,0.236947,1964010
2000-06-08,0.328680,0.358450,0.328680,0.358450,0.236130,58856
2000-06-09,0.648280,0.713100,0.648280,0.648280,0.427057,0
2000-06-12,0.354730,0.358450,0.347290,0.358450,0.236130,10481
2000-06-13,0.673210,0.735540,0.673210,0.673210,0.443480,0
2000-06-14,0.334890,0.365890,0.334890,0.336130,0.221427,295085
2000-06-15,0.334890,0.334890,0.327440,0.334890,0.220610,148349
2000-06-16,0.323720,0.334890,0.323720,0.334890,0.220610,10481
2000-06-19,0.347290,0.347290,0.347290,0.347290,0.228779,806
2000-06-20,0.359690,0.359690,0.353490,0.353490,0.232863,2546118
2000-06-21,0.359690,0.359690,0.347290,0.347290,0.228779,71756
2000-06-22,0.698140,0.698140,0.698140,0.698140,0.459903,0
2000-06-23,0.347290,0.347290,0.347290,0.347290,0.228779,24187
2000-06-26,0.347290,0.347290,0.347290,0.347290,0.228779,64499
2000-06-27,0.334890,0.334890,0.334890,0.334890,0.220610,80624
2000-06-28,0.347290,0.347290,0.334890,0.347290,0.228779,969105
2000-06-29,0.660740,0.698140,0.660740,0.660740,0.435265,0
2000-06-30,0.660740,0.698140,0.660740,0.660740,0.435265,0
2000-07-03,0.334890,0.341090,0.334890,0.341090,0.224694,28219
2000-07-04,0.337370,0.337370,0.334890,0.334890,0.220610,97555
2000-07-05,0.347290,0.347290,0.334890,0.334890,0.220610,703045
2000-07-06,0.334890,0.334890,0.328680,0.328680,0.216519,131418
2000-07-07,0.648280,0.698140,0.648280,0.648280,0.427057,0
