Date,Open,High,Low,Close,Adj Close,Volume
2006-12-11,24.000000,24.480000,23.010000,23.030001,19.045204,9040500
2006-12-12,23.160000,23.379999,22.799999,23.100000,19.103092,1204200
2006-12-13,23.250000,23.600000,23.000000,23.549999,19.475229,867700
2006-12-14,24.000000,24.000000,23.610001,23.790001,19.673702,274000
2006-12-15,23.709999,23.709999,23.139999,23.260000,19.235405,642000
2006-12-18,23.600000,23.600000,23.250000,23.250000,19.227139,570100
2006-12-19,23.299999,23.299999,22.809999,23.000000,19.020395,340900
2006-12-20,23.299999,23.299999,22.809999,22.959999,18.987312,342500
2006-12-21,22.990000,23.000000,22.490000,22.700001,18.772305,702900
2006-12-22,22.990000,22.990000,22.700001,22.900000,18.937700,225800
2006-12-26,22.900000,23.000000,22.500000,22.700001,18.772305,259800
2006-12-27,22.600000,23.299999,22.600000,22.750000,18.813650,576100
2006-12-28,23.200001,23.500000,22.910000,23.000000,19.020395,309600
2007-01-02,22.920000,23.490000,22.920000,23.080000,19.086552,297400
2007-01-03,23.389999,23.389999,22.799999,22.850000,18.896349,191200
2007-01-04,23.000000,23.200001,22.850000,23.150000,19.144442,295700
2007-01-05,23.200001,23.600000,23.040001,23.299999,19.268484,2331200
2007-01-08,23.549999,23.860001,23.340000,23.600000,19.516579,596600
2007-01-09,23.600000,23.610001,23.000000,23.600000,19.516579,108600
2007-01-10,23.100000,23.590000,22.950001,23.590000,19.508310,241300
2007-01-11,23.559999,23.990000,23.049999,23.520000,19.450422,190600
2007-01-12,23.889999,23.950001,23.150000,23.450001,19.392536,412100
2007-01-15,23.250000,23.549999,23.150000,23.250000,19.227139,67200
2007-01-16,23.110001,23.110001,22.600000,22.950001,18.979048,409900
2007-01-17,22.650000,23.950001,22.650000,23.950001,19.806023,539700
2007-01-18,23.950001,23.950001,23.600000,23.840000,19.715054,309100
2007-01-19,23.500000,24.500000,23.400000,24.490000,20.252584,236200
2007-01-22,24.400000,24.440001,23.850000,23.850000,19.723322,395500
2007-01-23,24.090000,24.809999,24.090000,24.799999,20.508947,510700
2007-01-24,24.790001,26.500000,24.790001,26.500000,21.914804,491000
2007-01-26,26.000000,26.450001,25.500000,26.450001,21.873455,168700
2007-01-29,26.450001,27.150000,26.430000,27.000000,22.328287,479700
2007-01-30,26.450001,27.150000,26.430000,26.549999,21.956152,480100
2007-01-31,28.459999,28.700001,27.799999,28.400000,23.486053,631100
2007-02-01,28.410000,30.000000,28.350000,29.500000,24.395723,554900
2007-02-02,29.600000,29.700001,28.000000,29.150000,24.106283,348900
2007-02-05,29.170000,29.500000,28.299999,28.900000,23.899538,207900
2007-02-06,29.000000,29.379999,28.209999,28.990000,23.973967,174200
2007-02-07,28.799999,29.000000,27.510000,28.700001,23.734144,254200
2007-02-08,28.770000,28.770000,27.500000,27.950001,23.113914,418200
2007-02-09,27.809999,28.180000,26.500000,26.900000,22.245592,416700
2007-02-12,26.900000,27.200001,26.250000,26.620001,22.014042,198400
2007-02-13,26.400000,27.400000,26.400000,27.000000,22.328287,119800
2007-02-14,27.190001,27.400000,26.500000,27.150000,22.452335,251400
2007-02-15,27.150000,28.190001,27.150000,28.100000,23.237963,338600
2007-02-16,28.100000,28.190001,27.299999,28.100000,23.237963,96600
2007-02-21,28.000000,28.200001,27.100000,27.500000,22.741777,115400
2007-02-22,28.000000,28.049999,27.450001,27.950001,23.113914,128900
2007-02-23,27.500000,28.000000,27.150000,27.400000,22.659081,133600
2007-02-26,27.500000,28.000000,27.500000,27.799999,22.989868,328000
2007-02-27,27.500000,28.000000,27.500000,27.809999,22.998138,328200
2007-02-28,26.309999,26.600000,25.010000,26.000000,21.501318,571700
2007-03-01,25.500000,26.799999,24.200001,26.799999,22.162895,641100
2007-03-02,26.740000,26.889999,25.299999,26.790001,22.154625,496200
2007-03-05,25.650000,26.500000,25.500000,26.299999,21.749411,310000
2007-03-06,27.000000,27.740000,26.500000,27.740000,22.940247,442000
2007-03-07,27.770000,28.400000,27.230000,28.400000,23.486053,540600
2007-03-08,27.990000,29.000000,27.799999,28.570000,23.626638,382100
2007-03-09,27.990000,29.000000,27.799999,28.570000,23.626638,382100
2007-03-12,27.700001,27.700001,27.200001,27.450001,22.700430,339000
2007-03-13,27.020000,27.389999,25.500000,26.900000,22.245592,386200
2007-03-14,26.750000,27.600000,25.920000,27.400000,22.659081,279900
2007-03-15,27.610001,27.629999,26.700001,27.150000,22.452335,187600
2007-03-16,27.090000,27.590000,26.000000,27.190001,22.485415,582200
2007-03-19,27.500000,27.799999,27.000000,27.389999,22.650810,166900
2007-03-20,27.990000,27.990000,26.860001,26.860001,22.212513,1068900
2007-03-21,27.240000,28.799999,26.549999,28.799999,23.816839,643000
2007-03-22,28.790001,28.860001,28.000000,28.700001,23.734144,422300
2007-03-23,28.770000,28.799999,28.400000,28.500000,23.568748,190100
2007-03-26,28.400000,29.020000,27.709999,28.500000,23.568748,201100
2007-03-27,28.639999,28.799999,28.129999,28.670000,23.709335,227200
2007-03-28,28.700001,28.700001,27.750000,27.799999,22.989868,165100
2007-03-29,28.690001,28.700001,28.000000,28.500000,23.568748,496900
2007-03-30,28.740000,28.740000,28.160000,28.500000,23.568748,658300
2007-04-02,28.549999,29.200001,28.129999,28.129999,23.262768,1242700
2007-04-03,28.990000,29.500000,28.370001,29.379999,24.296488,425700
2007-04-04,29.290001,30.250000,29.100000,29.799999,24.643814,503200
2007-04-05,29.740000,31.680000,29.350000,31.299999,25.884275,339800
2007-04-09,31.389999,32.389999,30.950001,31.450001,26.008324,374400
2007-04-10,31.600000,31.600000,30.809999,30.809999,25.479061,359500
2007-04-11,30.799999,31.490000,29.910000,30.799999,25.470787,599500
2007-04-12,31.200001,31.200001,30.020000,30.680000,25.371552,920400
2007-04-13,31.000000,32.189999,30.790001,31.740000,26.248146,1079600
2007-04-16,31.750000,32.500000,31.549999,32.049999,26.504507,605000
2007-04-17,32.000000,32.939999,31.510000,31.900000,26.380461,691900
2007-04-18,32.430000,32.790001,31.820000,32.200001,26.628553,407200
2007-04-19,32.000000,33.500000,32.000000,33.500000,27.703619,786200
2007-04-20,33.520000,34.490002,33.200001,33.400002,27.620924,814300
2007-04-23,33.410000,34.299999,32.700001,33.700001,27.869011,411100
2007-04-24,33.700001,34.189999,33.310001,33.599998,27.786312,260200
2007-04-25,33.900002,34.400002,33.820000,33.900002,28.034409,451300
2007-04-26,34.439999,34.439999,32.849998,32.849998,27.166082,340100
2007-04-27,33.000000,33.000000,32.310001,32.580002,26.942804,262800
2007-04-30,32.910000,33.000000,31.590000,31.600000,26.132370,197700
2007-05-02,31.730000,31.809999,30.860001,30.900000,25.553488,521200
2007-05-03,31.730000,31.809999,30.860001,31.000000,25.636185,521300
2007-05-04,31.100000,31.230000,30.500000,31.230000,25.826389,412300
2007-05-07,32.590000,32.590000,31.709999,32.389999,26.785679,535500
2007-05-08,32.000000,32.500000,31.799999,32.250000,26.669901,263500
2007-05-09,32.250000,32.500000,31.799999,32.150002,26.587206,264500
2007-05-10,33.400002,33.939999,31.010000,32.939999,27.240511,466300
2007-05-11,32.959999,33.990002,32.950001,33.980000,28.100561,187100
2007-05-14,33.970001,34.700001,33.509998,34.599998,28.613287,174700
2007-05-15,34.299999,34.599998,33.000000,33.669998,27.844204,262600
2007-05-16,33.939999,34.450001,33.250000,33.799999,27.951710,367800
