Date,Open,High,Low,Close,Adj Close,Volume
2020-02-17,13.380000,13.990000,12.820000,13.400000,13.400000,4011600
2020-02-18,13.620000,16.639999,13.610000,14.720000,14.720000,4449200
2020-02-19,15.300000,15.800000,13.850000,13.900000,13.900000,2000800
2020-02-20,13.990000,14.880000,13.910000,14.600000,14.600000,660000
2020-02-21,14.600000,15.160000,14.600000,14.970000,14.970000,602700
2020-02-26,null,null,null,null,null,null
2020-02-27,13.800000,14.780000,13.250000,14.290000,14.290000,394200
2020-02-28,14.050000,14.080000,13.310000,13.800000,13.800000,247900
2020-03-02,13.900000,14.450000,13.900000,14.170000,14.170000,324300
2020-03-03,14.400000,14.680000,14.080000,14.570000,14.570000,289900
2020-03-04,14.950000,14.950000,14.300000,14.300000,14.300000,173200
2020-03-05,14.350000,14.430000,13.400000,13.400000,13.400000,165800
2020-03-06,13.250000,13.660000,12.950000,13.500000,13.500000,406800
2020-03-09,12.740000,12.790000,11.600000,11.800000,11.800000,229800
2020-03-10,13.000000,13.400000,12.200000,13.400000,13.400000,162400
2020-03-11,13.290000,13.800000,12.500000,13.800000,13.800000,145000
2020-03-12,12.690000,12.690000,11.000000,12.000000,12.000000,184400
2020-03-13,12.200000,13.070000,11.000000,12.500000,12.500000,327700
2020-03-16,10.500000,11.300000,10.290000,10.750000,10.750000,58800
2020-03-17,11.000000,11.000000,10.100000,10.210000,10.210000,150500
2020-03-18,9.990000,9.990000,8.300000,9.010000,9.010000,111300
2020-03-19,8.500000,10.000000,7.200000,10.000000,10.000000,194400
2020-03-20,10.500000,10.500000,9.400000,10.500000,10.500000,142700
2020-03-23,9.020000,10.000000,9.020000,9.150000,9.150000,50500
2020-03-24,9.900000,9.900000,8.640000,8.700000,8.700000,145800
2020-03-25,8.760000,9.250000,8.370000,8.400000,8.400000,255600
2020-03-26,8.440000,9.340000,8.120000,9.340000,9.340000,389400
2020-03-27,8.720000,9.590000,8.310000,9.580000,9.580000,227500
2020-03-30,9.610000,9.610000,8.700000,8.700000,8.700000,149900
2020-03-31,8.880000,8.950000,8.050000,8.050000,8.050000,137200
2020-04-01,8.010000,8.350000,7.600000,7.800000,7.800000,94400
2020-04-02,8.030000,8.350000,7.550000,7.550000,7.550000,92100
2020-04-03,7.660000,7.890000,7.110000,7.890000,7.890000,130100
2020-04-06,7.930000,8.500000,7.780000,8.400000,8.400000,144100
2020-04-07,8.490000,8.900000,8.140000,8.400000,8.400000,181300
2020-04-08,8.080000,8.780000,8.060000,8.360000,8.360000,136000
2020-04-09,8.500000,8.850000,8.150000,8.850000,8.850000,144500
2020-04-13,8.850000,8.850000,8.500000,8.500000,8.500000,69100
2020-04-14,8.800000,8.900000,8.140000,8.140000,8.140000,128000
2020-04-15,8.080000,8.290000,7.950000,8.000000,8.000000,135300
2020-04-16,8.100000,8.230000,7.950000,7.950000,7.950000,116700
2020-04-17,8.110000,8.290000,7.860000,7.870000,7.870000,204200
2020-04-20,7.790000,8.150000,7.630000,8.050000,8.050000,184900
2020-04-22,8.050000,8.460000,8.050000,8.400000,8.400000,181100
2020-04-23,8.520000,8.870000,8.350000,8.790000,8.790000,112000
2020-04-24,8.470000,8.640000,8.100000,8.100000,8.100000,97200
2020-04-27,8.210000,8.380000,7.960000,7.970000,7.970000,137200
2020-04-28,8.100000,8.290000,8.010000,8.040000,8.040000,137300
2020-04-29,8.240000,8.250000,8.050000,8.140000,8.140000,104700
2020-04-30,8.080000,8.300000,8.010000,8.100000,8.100000,149100
2020-05-04,7.990000,7.990000,7.790000,7.990000,7.990000,64200
2020-05-05,8.100000,8.150000,7.900000,7.960000,7.960000,60500
2020-05-06,7.950000,7.950000,7.630000,7.630000,7.630000,126200
2020-05-07,8.060000,8.060000,7.290000,7.500000,7.500000,106700
2020-05-08,7.500000,7.940000,7.500000,7.940000,7.940000,444200
2020-05-11,7.700000,7.820000,7.350000,7.350000,7.350000,142700
2020-05-12,7.400000,7.450000,7.150000,7.150000,7.150000,81200
2020-05-13,7.220000,7.280000,6.640000,6.800000,6.800000,220700
2020-05-14,6.800000,6.800000,6.390000,6.630000,6.630000,171400
2020-05-15,6.630000,7.140000,6.370000,6.580000,6.580000,214500
2020-05-18,6.830000,6.940000,6.710000,6.790000,6.790000,154400
2020-05-19,6.800000,7.250000,6.720000,6.800000,6.800000,240800
2020-05-20,6.990000,7.090000,6.750000,6.750000,6.750000,175400
2020-05-21,6.720000,6.870000,6.650000,6.740000,6.740000,236800
2020-05-22,6.750000,6.920000,6.660000,6.920000,6.920000,158600
2020-05-25,7.100000,7.690000,7.100000,7.660000,7.660000,450000
2020-05-26,7.800000,8.200000,7.710000,7.940000,7.940000,321400
2020-05-27,7.960000,8.100000,7.920000,8.100000,8.100000,196100
2020-05-28,8.340000,8.490000,8.180000,8.340000,8.340000,309900
2020-05-29,8.410000,9.100000,8.360000,9.100000,9.100000,231100
2020-06-01,9.120000,9.150000,8.920000,9.070000,9.070000,312300
2020-06-02,9.200000,9.700000,9.200000,9.700000,9.700000,333100
2020-06-03,9.900000,10.300000,9.500000,9.700000,9.700000,433700
2020-06-04,9.700000,10.000000,9.450000,9.860000,9.860000,177600
2020-06-05,10.090000,10.330000,9.710000,10.320000,10.320000,573600
2020-06-08,10.430000,10.800000,10.120000,10.510000,10.510000,490200
2020-06-09,10.400000,10.800000,10.200000,10.650000,10.650000,326400
2020-06-10,10.740000,10.920000,10.310000,10.920000,10.920000,497800
2020-06-12,10.200000,10.920000,9.900000,10.920000,10.920000,468600
2020-06-15,10.410000,10.500000,9.710000,10.000000,10.000000,753700
2020-06-16,10.330000,10.490000,9.800000,10.060000,10.060000,493300
2020-06-17,9.970000,10.270000,9.920000,10.040000,10.040000,475600
2020-06-18,10.040000,10.180000,9.880000,9.880000,9.880000,269800
2020-06-19,9.990000,10.150000,9.900000,9.910000,9.910000,328300
2020-06-22,10.000000,10.120000,9.850000,9.850000,9.850000,239800
2020-06-23,10.010000,10.120000,9.910000,9.950000,9.950000,345000
2020-06-24,9.960000,10.000000,9.420000,9.480000,9.480000,321000
2020-06-25,9.540000,9.740000,9.400000,9.600000,9.600000,153900
2020-06-26,9.690000,9.790000,9.400000,9.400000,9.400000,145800
2020-06-29,9.510000,9.870000,9.400000,9.830000,9.830000,114500
2020-06-30,9.850000,10.130000,9.700000,9.700000,9.700000,321700
2020-07-01,9.810000,10.050000,9.750000,9.970000,9.970000,144800
2020-07-02,10.050000,10.160000,9.870000,10.050000,10.050000,300300
2020-07-03,10.050000,10.090000,9.810000,10.090000,10.090000,190500
2020-07-06,10.130000,10.850000,10.130000,10.850000,10.850000,719700
2020-07-07,10.860000,10.860000,10.620000,10.660000,10.660000,268200
2020-07-08,10.720000,11.470000,10.720000,11.270000,11.270000,722700
2020-07-09,11.390000,11.390000,10.820000,11.030000,11.030000,442700
2020-07-10,11.100000,11.390000,11.030000,11.220000,11.220000,324300
2020-07-13,11.400000,11.740000,11.000000,11.150000,11.150000,429400
2020-07-14,11.180000,11.690000,11.000000,11.690000,11.690000,401100
2020-07-15,11.800000,12.050000,11.560000,11.600000,11.600000,311100
2020-07-16,11.580000,11.940000,11.340000,11.460000,11.460000,342800
2020-07-17,11.540000,11.650000,11.210000,11.540000,11.540000,428400
2020-07-20,11.580000,11.580000,11.080000,11.200000,11.200000,362000
2020-07-21,11.350000,11.700000,11.110000,11.700000,11.700000,444900
2020-07-22,11.690000,11.890000,11.450000,11.890000,11.890000,435900
2020-07-23,11.800000,11.800000,11.370000,11.400000,11.400000,395200
2020-07-24,11.400000,11.400000,10.520000,10.910000,10.910000,733200
2020-07-27,10.980000,11.140000,10.730000,10.830000,10.830000,212100
2020-07-28,10.850000,10.850000,10.250000,10.550000,10.550000,289600
2020-07-29,10.600000,10.860000,10.550000,10.680000,10.680000,230800
2020-07-30,10.650000,10.710000,10.450000,10.560000,10.560000,139600
2020-07-31,10.570000,10.990000,10.110000,10.990000,10.990000,390300
2020-08-03,10.890000,10.980000,10.590000,10.610000,10.610000,234800
2020-08-04,10.610000,10.610000,10.270000,10.270000,10.270000,227800
2020-08-05,10.380000,11.000000,10.230000,11.000000,11.000000,343200
2020-08-06,10.870000,10.900000,10.640000,10.670000,10.670000,401500
2020-08-07,10.670000,10.670000,10.250000,10.300000,10.300000,414800
2020-08-10,10.320000,10.370000,9.920000,9.960000,9.960000,514600
2020-08-11,10.030000,10.220000,9.990000,10.060000,10.060000,237300
2020-08-12,10.130000,10.150000,9.870000,9.870000,9.870000,412600
2020-08-13,9.900000,9.990000,9.810000,9.810000,9.810000,279300
2020-08-14,9.890000,10.160000,9.820000,9.960000,9.960000,239400
2020-08-17,9.800000,9.920000,9.200000,9.290000,9.290000,439500
2020-08-18,9.420000,9.700000,9.220000,9.500000,9.500000,360500
2020-08-19,9.520000,10.380000,9.140000,9.990000,9.990000,681000
2020-08-20,9.780000,10.200000,9.700000,10.130000,10.130000,334600
2020-08-21,10.180000,10.340000,9.840000,10.190000,10.190000,337400
2020-08-24,10.300000,10.430000,9.980000,10.080000,10.080000,231600
2020-08-25,10.200000,10.200000,9.980000,9.980000,9.980000,134000
2020-08-26,10.020000,10.050000,9.700000,9.950000,9.950000,183300
2020-08-27,9.970000,10.000000,9.650000,9.800000,9.800000,157400
2020-08-28,9.860000,9.860000,9.650000,9.710000,9.710000,131600
2020-08-31,9.700000,9.780000,9.340000,9.350000,9.350000,223000
