Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.987500,3.987500,3.800000,3.850000,1.627120,7200
2008-01-03,3.937500,3.937500,3.762500,3.845000,1.625007,17600
2008-01-04,3.752500,3.787500,3.625000,3.625000,1.532029,66000
2008-01-07,3.750000,3.750000,3.675000,3.675000,1.553160,20000
2008-01-08,3.747500,3.750000,3.745000,3.750000,1.584857,8800
2008-01-09,3.875000,3.875000,3.725000,3.797500,1.604932,12800
2008-01-10,3.785000,3.800000,3.775000,3.800000,1.605989,2400
2008-01-11,3.792500,3.792500,3.750000,3.750000,1.584857,22400
2008-01-14,3.775000,3.800000,3.725000,3.725000,1.574292,3600
2008-01-15,3.797500,3.800000,3.700000,3.700000,1.563726,2000
2008-01-16,3.700000,3.750000,3.625000,3.625000,1.532029,20000
2008-01-17,3.675000,3.675000,3.575000,3.575000,1.510897,35600
2008-01-18,3.625000,3.625000,3.500000,3.575000,1.510897,15600
2008-01-21,3.475000,3.475000,3.250000,3.300000,1.394674,49200
2008-01-22,3.250000,3.250000,3.150000,3.250000,1.373543,50400
2008-01-23,3.275000,3.350000,3.250000,3.250000,1.373543,28000
2008-01-24,3.362500,3.362500,3.362500,3.362500,1.421089,6000
2008-01-28,3.360000,3.375000,3.360000,3.375000,1.426372,2400
2008-01-29,3.375000,3.475000,3.325000,3.375000,1.426372,13600
2008-01-30,3.437500,3.472500,3.437500,3.450000,1.458069,81600
2008-01-31,3.475000,3.650000,3.475000,3.650000,1.542595,7600
2008-02-01,3.550000,3.550000,3.550000,3.550000,1.500332,4400
2008-02-06,3.550000,3.650000,3.550000,3.650000,1.542595,4800
2008-02-07,3.625000,3.625000,3.500000,3.562500,1.505615,12800
2008-02-08,3.587500,3.600000,3.485000,3.485000,1.472861,45200
2008-02-11,3.575000,3.600000,3.550000,3.550000,1.500332,10000
2008-02-12,3.595000,3.625000,3.595000,3.600000,1.521463,6000
2008-02-13,3.597500,3.625000,3.492500,3.625000,1.532029,52000
2008-02-14,3.750000,3.750000,3.750000,3.750000,1.584857,800
2008-02-15,3.700000,3.750000,3.500000,3.625000,1.532029,35600
2008-02-18,3.697500,3.700000,3.500000,3.600000,1.521463,28400
2008-02-19,3.612500,3.625000,3.462500,3.500000,1.479200,46400
2008-02-20,3.600000,3.600000,3.475000,3.537500,1.495049,40400
2008-02-21,3.525000,3.575000,3.500000,3.500000,1.479200,20400
2008-02-22,3.600000,3.600000,3.500000,3.500000,1.479200,26000
2008-02-25,3.550000,3.550000,3.450000,3.450000,1.458069,20800
2008-02-26,3.595000,3.625000,3.500000,3.625000,1.532029,17200
2008-02-27,3.562500,3.575000,3.500000,3.575000,1.510897,44400
2008-02-28,3.625000,3.625000,3.625000,3.625000,1.532029,2000
2008-02-29,3.522500,3.522500,3.450000,3.475000,1.468635,28800
2008-03-03,3.500000,3.500000,3.425000,3.425000,1.447503,26400
2008-03-04,3.375000,3.425000,3.250000,3.325000,1.405240,98800
2008-03-05,3.347500,3.350000,3.300000,3.350000,1.415806,43600
2008-03-06,3.350000,3.500000,3.300000,3.300000,1.394674,20000
2008-03-07,3.450000,3.450000,3.400000,3.422500,1.446446,105600
2008-03-10,3.425000,3.425000,3.422500,3.422500,1.446446,6400
2008-03-11,3.437500,3.437500,3.422500,3.422500,1.446446,1200
2008-03-12,3.425000,3.450000,3.425000,3.450000,1.458069,32000
2008-03-13,3.500000,3.500000,3.400000,3.450000,1.458069,22800
2008-03-14,3.487500,3.597500,3.375000,3.560000,1.504558,20800
2008-03-17,3.547500,3.625000,3.325000,3.625000,1.532029,56400
2008-03-18,3.562500,3.650000,3.425000,3.497500,1.478143,9600
2008-03-19,3.622500,3.622500,3.445000,3.445000,1.455956,5600
2008-03-20,3.497500,3.550000,3.400000,3.500000,1.479200,21200
2008-03-24,3.547500,3.550000,3.450000,3.475000,1.468635,20800
2008-03-25,3.542500,3.550000,3.417500,3.417500,1.444333,50800
2008-03-26,3.497500,3.497500,3.422500,3.422500,1.446446,76400
2008-03-27,3.450000,3.500000,3.445000,3.445000,1.455956,12400
2008-03-28,3.475000,3.500000,3.375000,3.475000,1.468635,10400
2008-03-31,3.500000,3.500000,3.350000,3.490000,1.474974,6000
2008-04-01,3.450000,3.450000,3.345000,3.400000,1.436937,17200
2008-04-02,3.497500,3.497500,3.327500,3.327500,1.406297,7200
2008-04-03,3.437500,3.437500,3.350000,3.350000,1.415806,1600
2008-04-04,3.400000,3.450000,3.327500,3.412500,1.442220,17600
2008-04-07,3.447500,3.497500,3.352500,3.352500,1.416862,3200
2008-04-08,3.447500,3.475000,3.425000,3.425000,1.447503,10000
2008-04-09,3.422500,3.422500,3.305000,3.305000,1.396788,41600
2008-04-10,3.375000,3.410000,3.375000,3.375000,1.426372,6800
2008-04-11,3.370000,3.370000,3.370000,3.370000,1.424258,4400
2008-04-14,3.370000,3.372500,3.250000,3.372500,1.425315,19200
2008-04-15,3.275000,3.425000,3.275000,3.425000,1.447503,18400
2008-04-16,3.422500,3.422500,3.422500,3.422500,1.446446,11600
2008-04-17,3.437500,3.437500,3.437500,3.437500,1.452786,11200
2008-04-18,3.425000,3.437500,3.302500,3.425000,1.447503,10400
2008-04-22,3.400000,3.425000,3.400000,3.425000,1.447503,1200
2008-04-23,3.400000,3.437500,3.400000,3.422500,1.446446,7600
2008-04-24,3.425000,3.425000,3.262500,3.325000,1.405240,20000
2008-04-25,3.420000,3.420000,3.387500,3.387500,1.431654,2000
2008-04-28,3.417500,3.437500,3.300000,3.300000,1.394674,14000
2008-04-29,3.382500,3.382500,3.300000,3.300000,1.394674,36000
2008-04-30,3.412500,3.412500,3.337500,3.410000,1.441164,17200
2008-05-02,3.425000,3.437500,3.312500,3.372500,1.425315,13200
2008-05-05,3.435000,3.435000,3.315000,3.422500,1.446446,9200
2008-05-06,3.425000,3.437500,3.287500,3.420000,1.445390,29600
2008-05-07,3.420000,3.435000,3.420000,3.435000,1.451729,5200
2008-05-08,3.417500,3.437500,3.375000,3.425000,1.447503,9200
2008-05-09,3.425000,3.425000,3.425000,3.425000,1.447503,3200
2008-05-12,3.425000,3.425000,3.305000,3.392500,1.433768,37200
2008-05-13,3.392500,3.435000,3.300000,3.337500,1.410523,37200
2008-05-14,3.422500,3.422500,3.422500,3.422500,1.446446,800
2008-05-15,3.312500,3.372500,3.302500,3.372500,1.425315,6400
2008-05-16,3.347500,3.372500,3.175000,3.262500,1.378826,126400
2008-05-19,3.345000,3.345000,3.202500,3.245000,1.371430,19600
2008-05-20,3.242500,3.242500,3.150000,3.220000,1.360864,84000
2008-05-21,3.125000,3.125000,2.947500,3.120000,1.318601,32000
2008-05-23,3.122500,3.122500,2.992500,2.992500,1.264716,30400
2008-05-26,3.070000,3.075000,2.827500,2.922500,1.235132,71600
2008-05-27,3.010000,3.050000,2.950000,3.000000,1.267886,34800
2008-05-28,3.055000,3.055000,2.985000,3.030000,1.280565,2800
2008-05-29,2.877500,3.112500,2.877500,3.110000,1.314375,2800
2008-05-30,3.025000,3.072500,2.952500,2.997500,1.266829,44800
2008-06-02,2.950000,3.000000,2.907500,2.995000,1.265773,44800
2008-06-03,2.912500,2.997500,2.912500,2.990000,1.263660,20000
2008-06-04,2.992500,2.992500,2.905000,2.975000,1.257320,26800
2008-06-05,2.992500,2.992500,2.905000,2.975000,1.257320,42000
2008-06-06,2.975000,2.975000,2.875000,2.955000,1.248868,6800
2008-06-09,2.950000,2.950000,2.875000,2.922500,1.235132,30800
2008-06-10,2.950000,2.950000,2.842500,2.927500,1.237245,20000
2008-06-11,2.945000,2.947500,2.945000,2.947500,1.245698,3600
2008-06-12,2.725000,2.850000,2.672500,2.850000,1.204492,364800
2008-06-13,2.850000,2.850000,2.850000,2.850000,1.204492,1200
2008-06-16,2.875000,2.875000,2.662500,2.800000,1.183360,52000
2008-06-17,2.860000,2.875000,2.775000,2.875000,1.215058,18400
2008-06-18,null,null,null,null,null,null
2008-06-19,2.872500,2.872500,2.847500,2.872500,1.214001,27200
2008-06-20,2.862500,2.872500,2.825000,2.862500,1.209774,5200
2008-06-23,null,null,null,null,null,null
2008-06-24,null,null,null,null,null,null
2008-06-25,null,null,null,null,null,null
2008-06-26,2.725000,2.825000,2.675000,2.675000,1.130531,6800
2008-06-27,2.625000,2.810000,2.625000,2.807500,1.186530,12000
2008-06-30,2.872500,2.875000,2.797500,2.870000,1.212944,20800
2008-07-01,null,null,null,null,null,null
2008-07-02,null,null,null,null,null,null
2008-07-03,2.692500,2.785000,2.627500,2.785000,1.177021,32400
2008-07-04,2.800000,2.800000,2.800000,2.800000,1.183360,800
2008-07-07,2.725000,2.800000,2.725000,2.800000,1.183360,1600
2008-07-08,null,null,null,null,null,null
2008-07-10,null,null,null,null,null,null
2008-07-11,2.800000,2.875000,2.800000,2.875000,1.215058,2000
2008-07-14,2.800000,2.800000,2.762500,2.762500,1.167512,14400
2008-07-15,2.800000,2.822500,2.800000,2.817500,1.190756,2000
2008-07-16,2.800000,2.872500,2.800000,2.872500,1.214001,75200
2008-07-17,2.775000,2.825000,2.775000,2.825000,1.193926,51600
2008-07-18,null,null,null,null,null,null
2008-07-21,null,null,null,null,null,null
2008-07-22,2.750000,2.825000,2.750000,2.825000,1.193926,15200
2008-07-23,null,null,null,null,null,null
2008-07-24,2.750000,2.800000,2.750000,2.800000,1.183360,20400
2008-07-25,2.725000,2.812500,2.650000,2.675000,1.130531,20400
2008-07-28,2.750000,2.750000,2.750000,2.750000,1.162229,400
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
2008-08-01,null,null,null,null,null,null
2008-08-04,null,null,null,null,null,null
2008-08-05,null,null,null,null,null,null
2008-08-06,null,null,null,null,null,null
2008-08-07,null,null,null,null,null,null
2008-08-08,null,null,null,null,null,null
2008-08-11,null,null,null,null,null,null
2008-08-12,null,null,null,null,null,null
2008-08-13,null,null,null,null,null,null
2008-08-14,null,null,null,null,null,null
2008-08-15,null,null,null,null,null,null
2008-08-18,null,null,null,null,null,null
2008-08-19,null,null,null,null,null,null
2008-08-20,2.570000,2.600000,2.570000,2.600000,1.098834,2400
2008-08-21,2.595000,2.595000,2.475000,2.475000,1.046006,4800
2008-08-22,2.475000,2.585000,2.475000,2.572500,1.087212,9200
2008-08-25,null,null,null,null,null,null
2008-08-26,2.557500,2.557500,2.545000,2.545000,1.075590,18000
2008-08-27,null,null,null,null,null,null
2008-08-28,2.525000,2.587500,2.425000,2.500000,1.056572,84800
2008-08-29,2.497500,2.572500,2.497500,2.572500,1.087212,17200
2008-09-01,2.550000,2.550000,2.547500,2.547500,1.076646,11200
2008-09-02,2.450000,2.535000,2.450000,2.535000,1.071364,17200
2008-09-03,2.550000,2.550000,2.375000,2.537500,1.072420,4800
2008-09-04,2.500000,2.500000,2.500000,2.500000,1.056572,800
2008-09-05,null,null,null,null,null,null
2008-09-08,2.525000,2.525000,2.525000,2.525000,1.067137,8000
2008-09-09,2.495000,2.495000,2.495000,2.495000,1.054458,800
2008-09-10,2.512500,2.512500,2.512500,2.512500,1.061854,72000
2008-09-11,2.340000,2.392500,2.300000,2.300000,0.972046,29600
2008-09-12,2.362500,2.362500,2.300000,2.362500,0.998460,24400
2008-09-15,2.247500,2.247500,2.125000,2.190000,0.925557,136800
2008-09-16,2.160000,2.250000,2.100000,2.235000,0.944575,65200
2008-09-17,2.125000,2.375000,2.112500,2.375000,1.003743,5600
2008-09-18,2.225000,2.457500,2.225000,2.457500,1.038610,469600
2008-09-19,2.460000,2.460000,2.250000,2.460000,1.039666,64000
2008-09-22,2.252500,2.460000,2.252500,2.460000,1.039666,18000
2008-09-23,null,null,null,null,null,null
2008-09-24,2.232500,2.470000,2.232500,2.287500,0.966763,119600
2008-09-25,2.250000,2.297500,2.187500,2.250000,0.950914,41200
2008-09-26,2.370000,2.370000,2.222500,2.247500,0.949858,46800
2008-09-29,2.125000,2.217500,2.000000,2.197500,0.928726,63600
2008-09-30,2.197500,2.222500,2.197500,2.222500,0.939292,15200
2008-10-01,null,null,null,null,null,null
2008-10-02,2.222500,2.250000,2.000000,2.000000,0.845257,64000
2008-10-03,1.962500,2.225000,1.950000,2.225000,0.940349,11600
2008-10-06,2.125000,2.125000,1.877500,2.120000,0.895973,152400
2008-10-07,1.925000,2.122500,1.925000,2.122500,0.897029,44400
2008-10-08,2.000000,2.100000,2.000000,2.100000,0.887520,10000
2008-10-09,2.000000,2.035000,1.975000,2.035000,0.860049,20000
2008-10-10,2.000000,2.075000,1.875000,2.075000,0.876954,86400
2008-10-13,2.125000,2.200000,2.077500,2.175000,0.919217,5200
2008-10-14,2.175000,2.247500,2.125000,2.247500,0.949858,423600
2008-10-15,2.175000,2.250000,2.125000,2.237500,0.945632,278000
2008-10-16,2.125000,2.197500,2.125000,2.197500,0.928726,4400
2008-10-17,2.197500,2.197500,2.075000,2.197500,0.928726,19200
2008-10-20,2.075000,2.250000,2.050000,2.250000,0.950914,13600
2008-10-21,null,null,null,null,null,null
2008-10-22,2.237500,2.247500,2.050000,2.050000,0.866389,20400
2008-10-23,1.752500,2.100000,1.750000,2.100000,0.887520,100800
2008-10-24,2.122500,2.122500,1.750000,1.750000,0.739600,47200
2008-10-27,1.650000,1.737500,1.500000,1.500000,0.633943,31200
2008-10-28,1.500000,1.722500,1.495000,1.625000,0.686772,54800
2008-10-29,1.382500,1.625000,1.375000,1.625000,0.686772,81200
2008-10-30,1.500000,1.622500,1.500000,1.617500,0.683602,3600
2008-10-31,1.515000,1.570000,1.450000,1.570000,0.663527,54800
2008-11-03,1.622500,1.622500,1.622500,1.622500,0.685715,800
2008-11-04,1.625000,1.747500,1.625000,1.747500,0.738544,82000
2008-11-05,1.750000,1.750000,1.750000,1.750000,0.739600,1600
2008-11-06,null,null,null,null,null,null
2008-11-07,1.700000,1.747500,1.700000,1.747500,0.738544,10000
2008-11-10,null,null,null,null,null,null
2008-11-11,1.700000,1.700000,1.700000,1.700000,0.718469,400
2008-11-12,1.550000,1.672500,1.550000,1.672500,0.706846,3600
2008-11-13,1.550000,1.675000,1.525000,1.610000,0.680432,8400
2008-11-14,1.722500,1.725000,1.722500,1.725000,0.729035,1200
2008-11-17,1.747500,1.747500,1.502500,1.510000,0.638169,441200
2008-11-18,1.615000,1.615000,1.615000,1.615000,0.682545,400
2008-11-19,null,null,null,null,null,null
2008-11-21,1.525000,1.647500,1.505000,1.617500,0.683602,7600
2008-11-24,1.500000,1.620000,1.500000,1.620000,0.684658,7200
2008-11-25,null,null,null,null,null,null
2008-11-26,null,null,null,null,null,null
2008-11-27,null,null,null,null,null,null
2008-11-28,1.575000,1.625000,1.575000,1.625000,0.686772,10400
2008-12-01,1.700000,1.700000,1.552500,1.700000,0.718469,2400
2008-12-02,1.550000,1.625000,1.550000,1.625000,0.686772,800
2008-12-03,1.505000,1.650000,1.505000,1.650000,0.697337,1200
2008-12-04,1.650000,1.650000,1.650000,1.650000,0.697337,160000
2008-12-05,1.622500,1.670000,1.622500,1.670000,0.705790,320400
2008-12-08,1.670000,1.690000,1.670000,1.690000,0.714242,520400
2008-12-09,null,null,null,null,null,null
2008-12-10,null,null,null,null,null,null
2008-12-11,null,null,null,null,null,null
2008-12-12,1.500000,1.612500,1.500000,1.612500,0.681489,220400
2008-12-15,1.690000,1.690000,1.690000,1.690000,0.714242,400
2008-12-16,1.690000,1.690000,1.575000,1.650000,0.697337,22000
2008-12-17,1.672500,1.672500,1.672500,1.672500,0.706846,400
2008-12-18,1.512500,1.685000,1.512500,1.685000,0.712129,647600
2008-12-19,1.697500,1.697500,1.595000,1.595000,0.674093,236800
2008-12-22,1.685000,1.685000,1.685000,1.685000,0.712129,400
2008-12-23,1.625000,1.697500,1.625000,1.697500,0.717412,2400
2008-12-26,null,null,null,null,null,null
2008-12-29,null,null,null,null,null,null
2008-12-30,null,null,null,null,null,null
2009-01-02,null,null,null,null,null,null
2009-01-05,null,null,null,null,null,null
2009-01-06,null,null,null,null,null,null
2009-01-07,null,null,null,null,null,null
2009-01-08,null,null,null,null,null,null
2009-01-09,null,null,null,null,null,null
2009-01-12,null,null,null,null,null,null
2009-01-13,null,null,null,null,null,null
2009-01-14,null,null,null,null,null,null
2009-01-15,null,null,null,null,null,null
2009-01-16,null,null,null,null,null,null
2009-01-19,null,null,null,null,null,null
2009-01-20,null,null,null,null,null,null
2009-01-21,1.742500,1.750000,1.742500,1.750000,0.739600,800
2009-01-22,1.782500,1.815000,1.782500,1.815000,0.767071,800
2009-01-23,1.750000,1.750000,1.750000,1.750000,0.739600,2000
2009-01-26,1.750000,1.750000,1.750000,1.750000,0.739600,1200
2009-01-27,1.800000,1.800000,1.800000,1.800000,0.760732,400
2009-01-28,null,null,null,null,null,null
2009-01-29,null,null,null,null,null,null
2009-01-30,null,null,null,null,null,null
2009-02-02,null,null,null,null,null,null
2009-02-03,null,null,null,null,null,null
2009-02-04,null,null,null,null,null,null
2009-02-05,1.745000,1.745000,1.745000,1.745000,0.737487,800
2009-02-06,null,null,null,null,null,null
2009-02-09,1.650000,1.745000,1.650000,1.745000,0.737487,5600
2009-02-10,1.665000,1.747500,1.665000,1.747500,0.738544,4400
2009-02-11,1.747500,1.747500,1.747500,1.747500,0.738544,3200
2009-02-12,null,null,null,null,null,null
2009-02-13,null,null,null,null,null,null
2009-02-16,1.650000,1.697500,1.650000,1.687500,0.713186,22000
2009-02-17,1.625000,1.675000,1.625000,1.675000,0.707903,2400
2009-02-18,1.575000,1.747500,1.550000,1.747500,0.738544,34000
2009-02-19,1.577500,1.712500,1.577500,1.712500,0.723752,14800
2009-02-20,1.627500,1.700000,1.600000,1.687500,0.713186,17600
2009-02-25,1.700000,1.700000,1.600000,1.625000,0.686772,22800
2009-02-26,1.687500,1.697500,1.625000,1.650000,0.697337,12000
2009-02-27,1.710000,1.737500,1.650000,1.737500,0.734317,14000
2009-03-02,1.675000,1.725000,1.675000,1.725000,0.729035,55200
2009-03-03,null,null,null,null,null,null
2009-03-04,1.697500,1.720000,1.697500,1.720000,0.726921,10400
2009-03-05,null,null,null,null,null,null
2009-03-06,1.700000,1.700000,1.700000,1.700000,0.718469,800
2009-03-09,1.672500,1.672500,1.672500,1.672500,0.706846,8400
2009-03-10,null,null,null,null,null,null
2009-03-11,1.697500,1.697500,1.697500,1.697500,0.717412,400
2009-03-12,null,null,null,null,null,null
2009-03-13,null,null,null,null,null,null
2009-03-16,1.675000,1.675000,1.650000,1.675000,0.707903,2800
2009-03-17,1.600000,1.602500,1.500000,1.500000,0.633943,42000
2009-03-18,1.525000,1.550000,1.525000,1.550000,0.655074,40400
2009-03-19,null,null,null,null,null,null
2009-03-20,1.550000,1.550000,1.502500,1.545000,0.652961,3200
2009-03-23,1.525000,1.575000,1.525000,1.575000,0.665640,800
2009-03-24,1.575000,1.575000,1.575000,1.575000,0.665640,800
2009-03-25,1.600000,1.600000,1.600000,1.600000,0.676206,800
2009-03-26,1.597500,1.597500,1.597500,1.597500,0.675149,4000
2009-03-27,null,null,null,null,null,null
2009-03-30,null,null,null,null,null,null
2009-03-31,null,null,null,null,null,null
2009-04-01,1.500000,1.550000,1.500000,1.550000,0.655074,16000
2009-04-02,1.575000,1.600000,1.575000,1.600000,0.676206,39600
2009-04-03,1.500000,1.500000,1.475000,1.475000,0.623377,26000
2009-04-06,1.475000,1.475000,1.387500,1.387500,0.586397,43600
2009-04-07,1.425000,1.425000,1.350000,1.422500,0.601189,9200
2009-04-08,1.425000,1.487500,1.425000,1.487500,0.628660,2000
2009-04-09,1.425000,1.500000,1.425000,1.500000,0.633943,8400
2009-04-13,1.475000,1.500000,1.462500,1.500000,0.633943,29200
2009-04-14,1.500000,1.500000,1.500000,1.500000,0.633943,2400
2009-04-15,1.525000,1.525000,1.525000,1.525000,0.644509,400
2009-04-16,1.527500,1.537500,1.525000,1.525000,0.644509,3600
2009-04-17,1.455000,1.500000,1.437500,1.495000,0.631830,74400
2009-04-20,1.487500,1.487500,1.465000,1.465000,0.619151,1200
2009-04-22,1.440000,1.472500,1.402500,1.425000,0.602246,87200
2009-04-23,1.470000,1.470000,1.400000,1.447500,0.611755,21200
2009-04-24,1.470000,1.470000,1.400000,1.407500,0.594850,68400
2009-04-27,1.447500,1.490000,1.447500,1.487500,0.628660,1600
2009-04-28,1.487500,1.497500,1.487500,1.497500,0.632886,2800
2009-04-29,1.500000,1.500000,1.500000,1.500000,0.633943,4800
2009-04-30,1.500000,1.540000,1.500000,1.540000,0.650848,800
2009-05-04,1.500000,1.525000,1.500000,1.500000,0.633943,80800
2009-05-05,1.512500,1.512500,1.475000,1.500000,0.633943,27600
2009-05-06,1.475000,1.512500,1.427500,1.500000,0.633943,82000
2009-05-07,1.500000,1.500000,1.482500,1.482500,0.626547,53200
