Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,3098.030029,3270.750000,2992.500000,3249.750000,2167.547852,4211428
2000-01-06,3202.500000,3439.280029,3176.250000,3333.750000,2223.574951,4068571
2000-01-07,3427.729980,3465.000000,3360.000000,3412.500000,2276.100342,4112381
2000-01-10,3465.000000,3743.250000,3465.000000,3675.000000,2451.184326,7000000
2000-01-11,3675.530029,3676.050049,3491.250000,3491.250000,2328.625488,3992381
2000-01-12,3596.250000,3596.250000,3407.250000,3407.250000,2272.598145,2253333
2000-01-13,3543.229980,3570.000000,3281.250000,3307.500000,2206.066406,2093333
2000-01-14,3360.000000,3413.550049,3229.280029,3407.250000,2272.598145,3308571
2000-01-17,3465.000000,3465.000000,3307.500000,3360.000000,2241.083252,1457143
2000-01-18,3356.330078,3356.330078,3281.250000,3307.500000,2206.066406,1015238
2000-01-19,3333.750000,3333.750000,3255.530029,3280.199951,2187.857422,1544762
2000-01-20,3313.280029,3354.750000,3202.500000,3234.000000,2157.042236,1695238
2000-01-21,3244.500000,3307.500000,3160.500000,3208.280029,2139.887451,1828571
2000-01-24,3240.300049,3260.250000,3207.750000,3207.750000,2139.533447,2234286
2000-01-25,3207.750000,3207.750000,3207.750000,3207.750000,2139.533447,0
2000-01-26,3207.750000,3207.750000,3150.000000,3150.530029,2101.368652,1318095
2000-01-27,3197.250000,3265.500000,3123.229980,3150.000000,2101.015381,2068571
2000-01-28,3171.000000,3280.199951,3123.750000,3192.000000,2129.028076,1628571
2000-01-31,3202.500000,3254.479980,3096.979980,3200.399902,2134.631348,2087619
2000-02-01,3254.479980,3254.479980,3150.000000,3192.000000,2129.028076,1840000
2000-02-02,3228.750000,3453.449951,3228.750000,3396.750000,2265.594971,2899047
2000-02-03,3470.250000,3570.000000,3412.500000,3538.500000,2360.141113,5146666
2000-02-04,3570.000000,3596.250000,3497.030029,3497.030029,2332.480713,2950476
2000-02-07,3501.750000,3591.000000,3381.000000,3438.229980,2293.261230,1925714
2000-02-08,3518.550049,3614.629883,3501.750000,3581.550049,2388.855225,5260952
2000-02-09,3549.530029,3669.750000,3491.250000,3624.600098,2417.568359,4278095
2000-02-10,3625.129883,3990.000000,3612.000000,3879.750000,2587.751221,5784762
2000-02-11,3990.000000,4042.500000,3727.500000,3753.750000,2503.709961,3121905
2000-02-14,3780.000000,3885.000000,3685.500000,3727.500000,2486.201660,1756190
2000-02-15,3780.000000,3780.000000,3602.030029,3774.229980,2517.370117,3028571
2000-02-16,3779.479980,3795.750000,3675.000000,3753.750000,2503.709961,3737143
2000-02-17,3800.479980,3885.000000,3727.500000,3827.250000,2552.733643,1674286
2000-02-18,3832.500000,3874.500000,3701.250000,3772.129883,2515.968750,1710476
2000-02-21,3759.000000,3885.000000,3727.500000,3858.750000,2573.743652,1880000
2000-02-22,3884.479980,3911.250000,3759.530029,3814.129883,2543.982666,3607619
2000-02-23,3780.000000,3832.500000,3700.729980,3832.500000,2556.234619,1811428
2000-02-24,3837.750000,3910.729980,3753.750000,3770.550049,2514.916016,1826667
2000-02-25,3780.000000,3858.750000,3780.000000,3812.030029,2542.582275,1356190
2000-02-28,3806.250000,3806.250000,3696.000000,3727.500000,2486.201660,1175238
2000-02-29,3879.750000,3879.750000,3701.250000,3740.629883,2494.958984,1293333
2000-03-01,3780.000000,3780.000000,3648.750000,3664.500000,2444.181641,3165714
2000-03-02,3675.000000,3701.250000,3543.750000,3596.250000,2398.659668,3937143
2000-03-03,3622.500000,3727.500000,3622.500000,3675.000000,2451.184326,2838095
2000-03-06,3675.000000,3675.000000,3675.000000,3675.000000,2451.184326,0
2000-03-07,3675.000000,3675.000000,3675.000000,3675.000000,2451.184326,0
2000-03-08,3570.000000,3669.750000,3570.000000,3669.750000,2447.683105,779048
2000-03-09,3659.250000,3816.750000,3648.750000,3780.000000,2521.218994,2179047
2000-03-10,3782.629883,3795.750000,3628.280029,3675.000000,2451.184326,931429
2000-03-13,3675.000000,3675.000000,3675.000000,3675.000000,2451.184326,0
2000-03-14,3570.000000,3570.000000,3412.500000,3459.750000,2307.615234,1935238
2000-03-15,3465.000000,3517.500000,3339.000000,3449.250000,2300.612061,1914286
2000-03-16,3470.250000,3570.000000,3438.750000,3517.500000,2346.134521,1318095
2000-03-17,3517.500000,3517.500000,3396.750000,3411.449951,2275.399902,1167619
2000-03-20,3412.500000,3488.629883,3388.879883,3412.500000,2276.100342,940952
2000-03-21,3412.500000,3701.250000,3412.500000,3648.229980,2433.329346,1356190
2000-03-22,3674.479980,3779.479980,3596.250000,3622.500000,2416.167236,2308571
2000-03-23,3648.750000,3738.000000,3627.750000,3630.899902,2421.769775,946667
2000-03-24,3627.750000,3700.729980,3480.750000,3543.750000,2363.642578,1388571
2000-03-27,3543.750000,3675.000000,3517.500000,3622.500000,2416.167236,1213333
2000-03-28,3659.250000,3727.500000,3580.500000,3649.800049,2434.377197,3967619
2000-03-29,3774.750000,3774.750000,3648.750000,3651.379883,2435.430664,2028571
2000-03-30,3752.699951,3769.500000,3675.000000,3696.000000,2465.191162,1339048
2000-03-31,3769.500000,3806.250000,3675.000000,3690.750000,2461.689697,1487619
2000-04-03,3669.750000,3727.500000,3581.030029,3648.750000,2433.676514,1308571
2000-04-04,3674.479980,3829.879883,3517.500000,3580.500000,2388.153809,2009524
2000-04-05,3717.000000,3717.000000,3438.750000,3569.479980,2380.804443,3558095
2000-04-06,3596.250000,3617.250000,3470.780029,3543.750000,2363.642578,1636190
2000-04-07,3570.000000,3621.979980,3538.500000,3570.000000,2381.150635,1432381
2000-04-10,3621.979980,3621.979980,3412.500000,3460.280029,2307.969971,811429
2000-04-11,3485.479980,3485.479980,3281.250000,3296.479980,2198.715820,2725714
2000-04-12,3386.250000,3386.250000,3297.000000,3349.500000,2234.079590,4156190
2000-04-13,3376.280029,3386.250000,3197.250000,3197.250000,2132.530518,622857
2000-04-14,3155.250000,3228.750000,3008.250000,3039.750000,2027.480225,2693333
2000-04-17,2887.500000,3045.000000,2829.750000,2965.729980,1978.109253,3243809
2000-04-18,3018.750000,3150.000000,2993.030029,3045.000000,2030.981689,4857143
2000-04-19,3150.000000,3150.000000,2966.250000,2992.500000,1995.964844,1409524
2000-04-20,3097.500000,3228.750000,3096.979980,3228.750000,2153.541260,1617143
2000-04-21,3228.750000,3228.750000,3228.750000,3228.750000,2153.541260,0
2000-04-24,3307.500000,3360.000000,3149.479980,3155.250000,2104.517578,1737143
2000-04-25,3255.000000,3386.250000,3176.250000,3360.000000,2241.083252,2792381
2000-04-26,3385.729980,3412.500000,3255.000000,3360.000000,2241.083252,4074285
2000-04-27,3255.530029,3465.000000,3255.000000,3423.000000,2283.104004,1906667
2000-04-28,3423.000000,3622.500000,3423.000000,3516.979980,2345.787109,3638095
2000-05-01,3516.979980,3516.979980,3516.979980,3516.979980,2345.787109,0
2000-05-02,3570.000000,3727.500000,3501.750000,3570.000000,2381.150635,3232381
2000-05-03,3596.250000,3622.500000,3491.250000,3517.500000,2346.134521,735238
2000-05-04,3538.500000,3570.000000,3491.250000,3538.500000,2360.141113,1110476
2000-05-05,3622.500000,3622.500000,3504.379883,3570.000000,2381.150635,1247619
2000-05-08,3673.949951,3673.949951,3507.000000,3517.500000,2346.134521,712381
2000-05-09,3611.479980,3611.479980,3412.500000,3535.879883,2358.393311,902857
2000-05-10,3569.479980,3569.479980,3412.500000,3485.479980,2324.776611,1302857
2000-05-11,3674.479980,3674.479980,3412.500000,3517.500000,2346.134521,775238
2000-05-12,3491.250000,3491.250000,3255.000000,3360.000000,2241.083252,1908571
2000-05-15,3412.500000,3465.000000,3281.250000,3465.000000,2311.117188,1137143
2000-05-16,3543.229980,3543.750000,3454.500000,3465.000000,2311.117188,1573333
2000-05-17,3459.750000,3462.379883,3286.500000,3286.500000,2192.059570,1721905
2000-05-18,3291.750000,3349.500000,3202.500000,3281.250000,2188.557617,1554286
2000-05-19,3412.500000,3333.750000,3123.750000,3307.500000,2206.066406,2942857
2000-05-22,3411.449951,3491.250000,3155.780029,3189.379883,2127.281250,2630476
2000-05-23,3207.750000,3255.000000,3097.500000,3123.750000,2083.506592,2102857
2000-05-24,3150.000000,3202.500000,3045.000000,3197.250000,2132.530518,1247619
2000-05-25,3197.250000,3199.879883,3066.000000,3071.250000,2048.490234,1735238
2000-05-26,3097.500000,3150.000000,3018.750000,3052.350098,2035.884399,1167619
2000-05-29,2997.750000,3018.750000,2913.750000,2956.280029,1971.806152,1620952
2000-05-30,3018.750000,3050.250000,2940.000000,2955.229980,1971.105957,1721905
2000-05-31,3018.229980,3029.250000,2835.530029,2861.250000,1908.422607,4371428
2000-06-01,2887.500000,2913.750000,2846.030029,2887.500000,1925.931030,2095238
2000-06-02,2913.750000,2913.750000,2787.750000,2897.479980,1932.587891,3660952
2000-06-05,3018.750000,3018.750000,2835.530029,2875.949951,1918.227417,2457143
2000-06-06,2875.949951,2875.949951,2875.949951,2875.949951,1918.227417,0
2000-06-07,2809.280029,3044.479980,2808.750000,3029.250000,2020.476196,7925714
2000-06-08,3092.250000,3202.500000,2992.500000,3026.629883,2018.728638,5051428
2000-06-09,3071.250000,3097.500000,2961.000000,2987.250000,1992.462402,1285714
2000-06-12,3097.500000,3097.500000,2925.300049,2940.000000,1960.947510,918095
2000-06-13,2976.229980,2976.229980,2861.250000,2887.500000,1925.931030,2657143
2000-06-14,2940.000000,2991.449951,2836.050049,2887.500000,1925.931030,5285714
2000-06-15,2877.000000,2982.000000,2877.000000,2966.250000,1978.455444,1468571
2000-06-16,2965.729980,2992.500000,2929.500000,2966.250000,1978.455444,2104762
2000-06-19,2940.000000,3081.750000,2887.500000,3071.250000,2048.490234,3346666
2000-06-20,3138.979980,3149.479980,3018.750000,3071.250000,2048.490234,2561905
2000-06-21,3146.850098,3146.850098,3071.250000,3097.500000,2065.998047,5022857
2000-06-22,3097.500000,3097.500000,3097.500000,3097.500000,2065.998047,0
2000-06-23,3097.500000,3097.500000,2940.530029,3045.000000,2030.981689,1992381
2000-06-26,3148.949951,3148.949951,2913.750000,2974.649902,1984.058716,2700952
2000-06-27,3044.479980,3044.479980,2930.030029,2930.030029,1954.298096,2354286
2000-06-28,3018.750000,3018.750000,2940.000000,2955.750000,1971.453247,1030476
2000-06-29,2940.000000,2956.280029,2871.750000,2887.500000,1925.931030,1706667
2000-06-30,2949.979980,2949.979980,2823.979980,2833.949951,1890.213745,1756190
2000-07-03,2929.500000,2929.500000,2729.479980,2798.250000,1866.402466,3857143
2000-07-04,2798.250000,2940.000000,2808.750000,2907.449951,1939.237549,2640000
2000-07-05,2940.000000,2940.000000,2898.000000,2932.129883,1955.698853,3011428
2000-07-06,2934.750000,2992.500000,2934.750000,2982.000000,1988.960571,2634286
2000-07-07,2989.879883,3043.429932,2966.250000,2966.250000,1978.455444,2344762
2000-07-10,2966.250000,2966.250000,2835.000000,2860.729980,1908.075806,2051428
2000-07-11,2835.000000,2835.000000,2661.750000,2703.229980,1803.024780,7011428
2000-07-12,2704.280029,2704.280029,2609.250000,2635.500000,1757.849854,4325714
2000-07-13,2651.250000,2651.250000,2443.879883,2467.500000,1645.795898,16999999
2000-07-14,2415.000000,2572.500000,2362.500000,2567.250000,1712.327393,3236190
2000-07-17,2572.500000,2598.750000,2493.750000,2562.000000,1708.826294,1840000
2000-07-18,2598.229980,2666.479980,2598.229980,2625.000000,1750.846313,3556190
2000-07-19,2651.250000,2651.250000,2541.000000,2559.379883,1707.077881,2801905
2000-07-20,2597.179932,2640.750000,2493.750000,2493.750000,1663.304077,1451428
2000-07-21,2592.979980,2592.979980,2361.979980,2462.250000,1642.293701,3918095
2000-07-24,2493.750000,2640.750000,2467.500000,2613.449951,1743.142578,3815238
2000-07-25,2618.179932,2625.000000,2488.500000,2488.500000,1659.802368,1620952
2000-07-26,2568.830078,2568.830078,2493.750000,2546.250000,1698.321045,4179047
2000-07-27,2608.199951,2671.729980,2567.250000,2625.000000,1750.846313,5659047
2000-07-28,2651.250000,2677.500000,2552.550049,2572.500000,1715.829468,2316190
2000-07-31,2572.500000,2651.250000,2572.500000,2640.750000,1761.351685,3333333
2000-08-01,2625.000000,2667.000000,2521.050049,2598.750000,1733.337524,2167619
2000-08-02,2625.000000,2677.500000,2482.199951,2576.179932,1718.283813,2933333
2000-08-03,2499.000000,2499.000000,2415.000000,2461.729980,1641.946655,2205714
2000-08-04,2491.129883,2504.250000,2436.530029,2466.979980,1645.448608,1740952
2000-08-07,2467.500000,2546.250000,2467.500000,2538.379883,1693.071533,1737143
2000-08-08,2572.500000,2598.750000,2509.500000,2567.250000,1712.327393,1950476
2000-08-09,2592.449951,2624.479980,2520.000000,2520.000000,1680.812256,2521905
2000-08-10,2572.500000,2592.449951,2509.500000,2520.000000,1680.812256,1171429
2000-08-11,2520.000000,2609.250000,2478.000000,2609.250000,1740.341064,1910476
2000-08-14,2572.500000,2607.679932,2551.500000,2593.500000,1729.836548,2735238
2000-08-15,2614.500000,2614.500000,2525.250000,2525.250000,1684.314575,1234286
2000-08-16,2551.500000,2625.000000,2451.750000,2493.750000,1663.304077,4169524
2000-08-17,2533.129883,2651.250000,2530.500000,2651.250000,1768.354614,4260952
2000-08-18,2682.750000,2714.250000,2604.000000,2640.229980,1761.004639,2169524
2000-08-21,2630.250000,2677.500000,2630.250000,2651.250000,1768.354614,1327619
2000-08-22,2703.750000,2766.750000,2652.300049,2667.000000,1778.860107,3641905
2000-08-23,2682.750000,2745.750000,2674.350098,2745.750000,1831.385132,4196190
2000-08-24,2860.199951,2919.000000,2819.250000,2911.129883,1941.691650,6502857
2000-08-25,2934.750000,3060.750000,2934.750000,3047.100098,2032.382813,5354285
