Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,7.259170,7.259170,7.037920,7.147080,3.613634,6676
2000-01-06,7.148330,7.185000,7.000000,7.111250,3.595517,2989
2000-01-07,7.222080,7.222080,7.185000,7.211250,3.646079,2026
2000-01-10,7.333330,7.666670,7.333330,7.666670,3.876343,6138
2000-01-11,7.481670,7.629580,7.425830,7.629580,3.857590,1976
2000-01-12,7.629580,7.629580,7.407500,7.462920,3.773325,2700
2000-01-13,7.629580,7.629580,7.370420,7.407500,3.745305,3477
2000-01-14,7.407500,7.592080,7.407500,7.555420,3.820093,1812
2000-01-17,7.629580,7.666670,7.518330,7.666670,3.876343,2266
2000-01-18,7.611250,7.611250,7.555420,7.592500,3.838842,1809
2000-01-19,7.592500,7.592500,7.425830,7.481670,3.782806,998
2000-01-20,7.481670,7.555420,7.407500,7.555420,3.820093,2769
2000-01-21,7.629580,7.670420,7.592500,7.592500,3.838842,3245
2000-01-24,7.592500,7.629580,7.444580,7.444580,3.764053,4633
2000-01-25,3140620.000000,3140620.000000,3140620.000000,3140620.000000,1587928.375000,0
2000-01-26,7.518330,7.703330,7.500000,7.703330,3.894878,3364
2000-01-27,7.703750,7.703750,7.425830,7.444580,3.764053,1332
2000-01-28,7.444580,7.444580,7.260000,7.333330,3.707804,1630
2000-01-31,7.333330,7.407500,7.111250,7.407500,3.745305,945
2000-02-01,7.407500,7.407500,7.185000,7.222080,3.651555,2857
2000-02-02,7.335000,7.407920,7.333330,7.407500,3.745305,1448
2000-02-03,7.555420,7.666670,7.407500,7.444580,3.764053,1486
2000-02-04,7.518330,7.548330,7.500000,7.518330,3.801341,1597
2000-02-07,7.518330,7.518330,7.407080,7.444580,3.764053,1939
2000-02-08,7.470420,7.629580,7.407500,7.470420,3.777117,2870
2000-02-09,7.406670,7.406670,7.222080,7.222080,3.651555,791
2000-02-10,7.185420,7.185420,7.000000,7.074170,3.576770,2269
2000-02-11,7.111250,7.111250,6.981670,7.000000,3.539268,1559
2000-02-14,6.981670,7.000000,6.851670,6.851670,3.464271,2271
2000-02-15,6.888750,6.888750,6.592500,6.740830,3.408229,2369
2000-02-16,6.740830,6.925830,6.629580,6.815000,3.445730,1453
2000-02-17,6.844580,6.870420,6.483330,6.596250,3.335128,1997
2000-02-18,6.666670,6.703750,6.515000,6.515000,3.294048,4040
2000-02-21,6.555420,6.555420,6.485000,6.518330,3.295731,3444
2000-02-22,6.611250,6.611250,6.444580,6.518330,3.295731,1716
2000-02-23,6.518330,6.518330,6.444580,6.445000,3.258655,1734
2000-02-24,6.611250,6.611250,6.481670,6.507500,3.290256,1588
2000-02-25,6.622080,6.648330,6.555420,6.629580,3.351980,1058
2000-02-28,6.518330,6.555420,6.407500,6.555420,3.314484,588
2000-02-29,6.555420,6.555420,6.481670,6.500000,3.286463,966
2000-03-01,6.481670,6.481670,6.425830,6.444580,3.258443,605
2000-03-02,6.444580,6.481670,6.259170,6.296250,3.183445,2525
2000-03-03,6.481670,6.537080,6.425830,6.537080,3.305212,2175
2000-03-06,2757810.000000,2757810.000000,2757810.000000,2757810.000000,1394375.750000,0
2000-03-07,2757810.000000,2757810.000000,2757810.000000,2757810.000000,1394375.750000,0
2000-03-08,6.518330,6.666670,6.518330,6.666670,3.370733,1306
2000-03-09,6.666670,6.740830,6.481670,6.592080,3.333020,1010
2000-03-10,6.592500,6.592500,6.518330,6.518330,3.295731,948
2000-03-13,2750000.000000,2750000.000000,2750000.000000,2750000.000000,1390426.875000,0
2000-03-14,6.296250,6.296250,6.229580,6.229580,3.149736,317
2000-03-15,6.185000,6.185000,6.037080,6.037080,3.052407,507
2000-03-16,6.166670,6.166670,5.929580,5.962500,3.014698,4153
2000-03-17,6.019170,6.019170,5.888750,5.925830,2.996158,931
2000-03-20,5.925830,5.925830,5.777920,5.851670,2.958661,1524
2000-03-21,5.851670,5.851670,5.611250,5.740830,2.902620,4218
2000-03-22,5.740830,5.962920,5.703750,5.815000,2.940121,4195
2000-03-23,5.851670,6.111250,5.759170,6.074170,3.071160,9594
2000-03-24,6.148330,6.259170,6.111250,6.148330,3.108656,8436
2000-03-27,6.259170,6.296250,6.129580,6.185000,3.127197,2567
2000-03-28,6.148330,6.166670,6.077920,6.092500,3.080428,5105
2000-03-29,6.295420,6.295420,5.740830,5.998750,3.033027,14160
2000-03-30,6.037080,6.259170,6.037080,6.221670,3.145737,10936
2000-03-31,6.258750,6.574170,6.258750,6.537080,3.305212,8774
2000-04-03,6.481670,6.572920,6.296250,6.315000,3.192925,3696
2000-04-04,6.407500,6.518330,6.037080,6.258750,3.164485,6050
2000-04-05,6.111250,6.481670,6.111250,6.332500,3.201774,5382
2000-04-06,6.370420,6.444170,6.296670,6.370420,3.220947,1964
2000-04-07,6.366670,6.510830,6.366670,6.510830,3.291939,1816
2000-04-10,6.537080,6.537080,6.185830,6.295830,3.183233,1394
2000-04-11,6.111250,6.407500,6.111250,6.242920,3.156481,2621
2000-04-12,6.266670,6.555830,6.266670,6.370420,3.220947,5604
2000-04-13,6.381670,6.381670,6.000000,6.000000,3.033659,1907
2000-04-14,5.996250,6.074170,5.796250,5.888750,2.977409,5297
2000-04-17,5.740830,5.851670,5.444170,5.700000,2.881976,2429
2000-04-18,5.759170,5.962920,5.759170,5.888750,2.977409,2963
2000-04-19,5.874170,5.874170,5.555830,5.685000,2.874392,2849
2000-04-20,5.777920,5.925420,5.648330,5.851670,2.958661,2456
2000-04-21,2468750.000000,2468750.000000,2468750.000000,2468750.000000,1248224.250000,0
2000-04-24,5.851670,5.852080,5.592500,5.666250,2.864912,973
2000-04-25,5.741250,5.907500,5.740830,5.872080,2.968981,2928
2000-04-26,5.925830,6.221670,5.925830,6.151250,3.110132,6396
2000-04-27,6.111250,6.295420,5.925830,6.277920,3.174177,3798
2000-04-28,6.296250,6.407500,6.074170,6.315000,3.192925,9074
2000-05-01,2664060.000000,2664060.000000,2664060.000000,2664060.000000,1346974.625000,0
2000-05-02,6.296250,6.296250,6.111250,6.147920,3.108449,3460
2000-05-03,6.111250,6.111250,5.815000,5.815000,2.940121,3802
2000-05-04,5.815000,5.837080,5.740830,5.740830,2.902620,2550
2000-05-05,5.629580,5.851670,5.629580,5.777920,2.921372,2039
2000-05-08,5.740830,5.740830,5.518330,5.555420,2.808875,2849
2000-05-09,5.607500,5.610830,5.370420,5.374170,2.717233,1922
2000-05-10,5.403750,5.407500,5.150420,5.222080,2.640335,3045
2000-05-11,5.333330,5.518330,5.259170,5.259170,2.659088,4236
2000-05-12,5.281670,5.296670,5.111250,5.185000,2.621587,2152
2000-05-15,5.203750,5.481670,5.194580,5.481670,2.771586,424
2000-05-16,5.518330,5.796250,5.296250,5.500000,2.780854,4884
2000-05-17,5.481670,5.522080,5.407500,5.407500,2.734085,3032
2000-05-18,5.518330,5.518330,5.185830,5.294580,2.676991,2266
