Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,3.550000,3.950000,3.550000,3.950000,3.369852,300
2000-01-06,4.000000,4.000000,3.950000,3.950000,3.369852,200
2000-01-07,3.950000,3.950000,3.950000,3.950000,3.369852,0
2000-01-10,3.900000,4.200000,3.900000,3.900000,3.327195,77300
2000-01-11,3.600000,4.000000,3.600000,4.000000,3.412508,800
2000-01-12,4.850000,4.850000,4.000000,4.000000,3.412508,200
2000-01-13,4.000000,4.000000,4.000000,4.000000,3.412508,0
2000-01-14,3.700000,3.700000,3.700000,3.700000,3.156570,500
2000-01-17,3.700000,4.000000,3.700000,4.000000,3.412508,4700
2000-01-18,3.700000,3.700000,3.600000,3.600000,3.071257,1900
2000-01-19,3.600000,3.600000,3.500000,3.500000,2.985945,1700
2000-01-20,4.830000,4.830000,4.830000,4.830000,4.120603,100
2000-01-21,4.830000,4.830000,4.830000,4.830000,4.120603,0
2000-01-24,4.830000,4.830000,4.830000,4.830000,4.120603,0
2000-01-25,4.830000,4.830000,4.830000,4.830000,4.120603,0
2000-01-26,4.830000,4.830000,4.830000,4.830000,4.120603,0
2000-01-27,4.830000,4.850000,4.830000,4.850000,4.137666,200
2000-01-28,4.850000,4.850000,4.850000,4.850000,4.137666,0
2000-01-31,4.850000,4.850000,4.850000,4.850000,4.137666,0
2000-02-01,4.850000,4.850000,4.850000,4.850000,4.137666,0
2000-02-02,4.000000,4.000000,4.000000,4.000000,3.412508,400
2000-02-03,4.000000,4.000000,4.000000,4.000000,3.412508,0
2000-02-04,3.800000,3.800000,3.800000,3.800000,3.241883,100
2000-02-07,3.600000,3.620000,3.600000,3.600000,3.071257,4700
2000-02-08,3.600000,3.780000,3.600000,3.700000,3.156570,4000
2000-02-09,3.700000,3.700000,3.600000,3.600000,3.071257,3800
2000-02-10,3.600000,3.700000,3.600000,3.700000,3.156570,16800
2000-02-11,3.700000,3.700000,3.700000,3.700000,3.156570,200
2000-02-14,3.660000,3.700000,3.660000,3.700000,3.156570,179100
2000-02-15,3.750000,3.750000,3.750000,3.750000,3.199226,430200
2000-02-16,3.700000,4.110000,3.700000,4.000000,3.412508,204700
2000-02-17,4.190000,4.250000,4.190000,4.250000,3.625790,600
2000-02-18,3.720000,4.400000,3.720000,4.400000,3.753759,500
2000-02-21,4.300000,4.300000,4.300000,4.300000,3.668446,100
2000-02-22,4.300000,4.300000,4.300000,4.300000,3.668446,0
2000-02-23,3.850000,3.850000,3.630000,3.630000,3.096851,6100
2000-02-24,3.800000,3.800000,3.800000,3.800000,3.241883,170400
2000-02-25,3.800000,3.800000,3.800000,3.800000,3.241883,0
2000-02-28,3.800000,3.800000,3.800000,3.800000,3.241883,0
2000-02-29,4.150000,4.150000,4.150000,4.150000,3.540477,100
2000-03-01,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-02,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-03,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-06,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-07,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-08,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-09,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-10,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-13,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-14,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-15,4.150000,4.150000,4.150000,4.150000,3.540477,0
2000-03-16,4.040000,4.040000,4.040000,4.040000,3.446633,100
2000-03-17,3.840000,3.840000,3.840000,3.840000,3.276008,95900
2000-03-20,3.700000,3.700000,3.700000,3.700000,3.156570,300
2000-03-21,3.700000,3.700000,3.700000,3.700000,3.156570,0
2000-03-22,3.800000,4.050000,3.800000,4.050000,3.455164,513200
2000-03-23,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-03-24,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-03-27,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-03-28,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-03-29,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-03-30,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-03-31,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-03,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-04,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-05,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-06,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-07,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-10,4.050000,4.050000,4.050000,4.050000,3.455164,0
2000-04-11,3.700000,4.000000,4.000000,4.000000,3.412508,2000
2000-04-12,4.000000,4.000000,4.000000,4.000000,3.412508,0
2000-04-13,4.000000,4.000000,4.000000,4.000000,3.412508,0
2000-04-14,3.600000,3.980000,3.600000,3.980000,3.395445,5200
2000-04-17,3.980000,3.980000,3.980000,3.980000,3.395445,0
2000-04-18,3.980000,3.980000,3.980000,3.980000,3.395445,0
2000-04-19,3.600000,3.600000,3.600000,3.600000,3.071257,7900
2000-04-20,3.660000,3.660000,3.660000,3.660000,3.122445,10600
2000-04-21,3.660000,3.660000,3.660000,3.660000,3.122445,0
2000-04-24,3.660000,3.660000,3.660000,3.660000,3.122445,0
2000-04-25,3.670000,3.980000,3.670000,3.980000,3.395445,300
2000-04-26,3.980000,3.980000,3.980000,3.980000,3.395445,0
2000-04-27,3.950000,3.950000,3.950000,3.950000,3.369852,100
2000-04-28,3.900000,4.000000,3.900000,3.990000,3.403977,16200
2000-05-01,3.990000,3.990000,3.990000,3.990000,3.403977,0
2000-05-02,3.990000,3.990000,3.990000,3.990000,3.403977,0
