Date,Open,High,Low,Close,Adj Close,Volume
2007-06-15,7.065000,7.230000,6.960000,7.100000,3.743095,10164000
2007-06-18,7.100000,7.200000,7.060000,7.070000,3.727280,503000
2007-06-19,7.100000,7.145000,6.960000,6.960000,3.669289,1165400
2007-06-20,7.000000,7.125000,6.960000,7.075000,3.729916,1782200
2007-06-21,6.955000,7.045000,6.955000,7.000000,3.690376,202600
2007-06-22,7.000000,7.015000,6.975000,7.000000,3.690376,1521800
2007-06-25,7.000000,7.005000,6.925000,6.940000,3.658745,2308800
2007-06-26,6.900000,7.145000,6.900000,7.025000,3.703556,156400
2007-06-27,6.905000,7.130000,6.905000,7.050000,3.716737,336000
2007-06-28,7.010000,7.050000,7.000000,7.045000,3.714100,135800
2007-06-29,6.965000,7.085000,6.965000,7.060000,3.722008,118200
2007-07-02,7.070000,7.125000,7.070000,7.100000,3.743095,238800
2007-07-03,7.095000,7.430000,7.095000,7.350000,3.874895,422400
2007-07-04,7.375000,7.375000,7.205000,7.225000,3.808995,355400
2007-07-05,7.185000,7.350000,7.185000,7.310000,3.853807,4878600
2007-07-06,7.350000,7.375000,7.300000,7.340000,3.869623,233600
2007-07-10,7.315000,7.425000,7.150000,7.325000,3.861715,2313800
2007-07-11,7.275000,7.385000,7.225000,7.305000,3.851171,102000
2007-07-12,7.395000,7.395000,7.200000,7.250000,3.822176,1639200
2007-07-13,7.250000,7.370000,7.210000,7.300000,3.848536,476200
2007-07-16,7.300000,7.525000,7.110000,7.525000,3.967155,297600
2007-07-17,7.525000,7.625000,7.450000,7.625000,4.019874,2487200
2007-07-18,7.625000,7.775000,7.550000,7.775000,4.098954,247000
2007-07-19,7.775000,7.975000,7.700000,7.900000,4.164853,1174000
2007-07-20,8.000000,8.170000,7.900000,8.145000,4.294017,559200
2007-07-23,8.100000,8.195000,7.850000,8.065000,4.251840,522000
2007-07-24,8.075000,8.275000,7.900000,8.100000,4.270292,592600
2007-07-25,8.150000,8.275000,8.000000,8.130000,4.286109,312400
2007-07-26,8.080000,8.100000,7.605000,7.750000,4.085774,594800
2007-07-27,7.625000,8.245000,7.600000,8.100000,4.270292,311400
2007-07-30,8.270000,8.270000,7.900000,8.095000,4.267657,500000
2007-07-31,8.050000,8.060000,7.850000,8.050000,4.243933,367000
