Date,Open,High,Low,Close,Adj Close,Volume
2008-01-09,45.880001,45.880001,45.880001,45.880001,9.311412,300
2008-01-10,null,null,null,null,null,null
2008-01-11,null,null,null,null,null,null
2008-01-14,null,null,null,null,null,null
2008-01-15,null,null,null,null,null,null
2008-01-16,null,null,null,null,null,null
2008-01-17,null,null,null,null,null,null
2008-01-18,45.790001,45.790001,45.790001,45.790001,9.293145,100
2008-01-21,null,null,null,null,null,null
2008-01-22,null,null,null,null,null,null
2008-01-23,null,null,null,null,null,null
2008-01-24,null,null,null,null,null,null
2008-01-28,41.880001,45.000000,41.880001,45.000000,9.132815,200
2008-01-29,45.799999,51.980000,45.799999,48.860001,9.916205,2300
2008-01-30,null,null,null,null,null,null
2008-01-31,50.000000,51.759998,50.000000,51.759998,10.504767,500
2008-02-01,51.750000,51.750000,51.750000,51.750000,10.502736,100
2008-02-06,null,null,null,null,null,null
2008-02-07,51.389999,51.389999,51.389999,51.389999,10.429672,100
2008-02-08,null,null,null,null,null,null
2008-02-11,50.490002,50.490002,50.490002,50.490002,10.247017,100
2008-02-12,null,null,null,null,null,null
2008-02-13,null,null,null,null,null,null
2008-02-14,49.500000,49.500000,49.500000,49.500000,10.046096,100
2008-02-15,49.389999,49.389999,48.689999,48.689999,9.881704,500
2008-02-18,null,null,null,null,null,null
2008-02-19,47.290001,48.639999,47.290001,48.639999,9.871556,500
2008-02-20,null,null,null,null,null,null
2008-02-21,null,null,null,null,null,null
2008-02-22,null,null,null,null,null,null
2008-02-25,null,null,null,null,null,null
2008-02-26,null,null,null,null,null,null
2008-02-27,null,null,null,null,null,null
2008-02-28,44.500000,45.000000,44.500000,45.000000,9.132815,900
2008-02-29,45.000000,51.750000,45.000000,51.750000,10.502736,200
2008-03-03,null,null,null,null,null,null
2008-03-04,49.790001,49.790001,45.990002,46.900002,9.518422,300
2008-03-05,null,null,null,null,null,null
2008-03-06,46.689999,46.689999,46.580002,46.580002,9.453478,200
