Date,Open,High,Low,Close,Adj Close,Volume
2013-03-08,2.875000,2.900000,2.400000,2.767500,1.884846,2728000
2013-03-11,2.687500,2.745000,2.600000,2.745000,1.869521,97200
2013-03-12,2.700000,2.850000,2.697500,2.825000,1.924007,125600
2013-03-13,2.800000,2.847500,2.787500,2.832500,1.929114,73600
2013-03-14,2.825000,2.862500,2.765000,2.862500,1.949546,85200
2013-03-15,2.837500,2.837500,2.802500,2.837500,1.932520,73600
2013-03-18,2.837500,2.862500,2.772500,2.850000,1.941033,66000
2013-03-19,2.837500,2.862500,2.772500,2.862500,1.949546,60000
2013-03-20,2.827500,2.875000,2.827500,2.875000,1.958060,83200
2013-03-21,2.875000,2.900000,2.875000,2.875000,1.958060,106000
2013-03-22,2.850000,2.900000,2.850000,2.875000,1.958060,44000
2013-03-25,2.875000,2.875000,2.850000,2.875000,1.958060,58800
2013-03-26,2.850000,2.875000,2.850000,2.875000,1.958060,25600
2013-03-27,2.875000,2.875000,2.875000,2.875000,1.958060,6800
2013-03-28,2.875000,2.875000,2.875000,2.875000,1.958060,0
2013-04-01,2.850000,2.875000,2.850000,2.875000,1.958060,24400
2013-04-02,2.850000,2.892500,2.850000,2.892500,1.969978,28800
2013-04-03,2.855000,2.855000,2.850000,2.850000,1.941033,21200
2013-04-04,2.875000,2.875000,2.875000,2.875000,1.958060,6000
2013-04-05,2.865000,2.920000,2.862500,2.920000,1.988708,64800
2013-04-08,2.850000,2.892500,2.850000,2.892500,1.969978,23600
2013-04-09,2.845000,2.845000,2.775000,2.800000,1.906980,30400
2013-04-10,2.750000,2.790000,2.750000,2.750000,1.872927,84800
2013-04-11,2.750000,2.862500,2.750000,2.862500,1.949546,18000
2013-04-12,2.862500,2.862500,2.862500,2.862500,1.949546,0
2013-04-15,2.845000,2.845000,2.845000,2.845000,1.937628,9200
2013-04-16,2.860000,2.860000,2.800000,2.800000,1.906980,36400
2013-04-17,2.862500,2.862500,2.862500,2.862500,1.949546,4800
2013-04-18,2.762500,2.762500,2.750000,2.750000,1.872927,5600
2013-04-19,2.750000,2.892500,2.750000,2.892500,1.969978,42000
2013-04-22,2.892500,2.895000,2.827500,2.895000,1.971681,21200
2013-04-23,2.887500,2.900000,2.825000,2.825000,1.924007,28800
