Date,Open,High,Low,Close,Adj Close,Volume
2006-03-09,6.587480,6.787100,6.497650,6.787100,3.943202,12788251
2006-03-10,6.759160,7.385970,6.747180,6.986720,4.059180,4016116
2006-03-13,7.086530,7.236250,6.986720,7.066570,4.105572,1147175
2006-03-14,7.026650,7.232260,7.006690,7.086530,4.117169,1506356
2006-03-15,7.084540,7.206310,6.988720,7.186350,4.175162,1324511
2006-03-16,7.086530,7.146420,6.916860,6.916860,4.018593,638210
2006-03-17,6.918850,7.182350,6.747180,7.166380,4.163559,1404663
2006-03-20,7.084540,7.288150,6.908870,7.228270,4.199516,890188
2006-03-21,7.186350,7.425890,7.126460,7.346040,4.267940,2148574
2006-03-22,7.246230,7.385970,7.246230,7.366000,4.279535,603143
2006-03-23,7.346040,7.377980,7.086530,7.346040,4.267940,254482
2006-03-24,7.344050,7.350030,7.086530,7.286160,4.233150,955812
2006-03-27,7.284160,7.286160,7.086530,7.086530,4.117169,1018932
2006-03-28,7.084540,7.084540,6.587480,6.986720,4.059180,3608342
2006-03-29,6.986720,7.166380,6.906880,7.066570,4.105572,1684193
2006-03-30,7.066570,7.184350,6.986720,7.184350,4.174000,582103
2006-03-31,7.006690,7.226270,7.006690,7.186350,4.175162,1416686
2006-04-03,7.186350,7.479790,7.136440,7.385970,4.291138,1070530
2006-04-04,7.385970,7.385970,7.186350,7.326080,4.256343,366194
2006-04-05,7.218290,7.364010,7.186350,7.326080,4.256343,1078044
2006-04-06,7.324080,7.358020,7.246230,7.346040,4.267940,65123
2006-04-07,7.344050,7.346040,7.268190,7.326080,4.256343,93176
2006-04-10,7.246230,7.427890,7.236250,7.415910,4.308533,605648
2006-04-11,7.385970,7.433880,7.346040,7.395950,4.296936,821057
2006-04-12,7.308110,7.465810,7.226270,7.385970,4.291138,1704732
2006-04-13,7.785210,8.394050,7.685400,8.184450,4.755044,1382121
2006-04-14,8.184450,8.184450,8.184450,8.184450,4.755044,0
2006-04-17,8.186450,8.384070,8.180460,8.384070,4.871020,937277
2006-04-18,8.386070,8.483880,8.304220,8.384070,4.871020,407773
2006-04-19,8.286260,8.374090,8.184450,8.184450,4.755044,586612
2006-04-20,8.028740,8.184450,7.895000,8.084640,4.697054,271514
