Date,Open,High,Low,Close,Adj Close,Volume
2007-10-15,5.107250,5.218680,5.102610,5.158320,2.941343,9557918
2007-10-16,5.153680,5.218680,5.060820,5.060820,2.885747,9560718
2007-10-17,5.292970,5.292970,5.107250,5.107250,2.912223,1628488
2007-10-18,5.107250,5.260470,5.107250,5.107250,2.912223,1628488
2007-10-19,5.107250,5.116540,5.107250,5.107250,2.912223,1498614
2007-10-22,5.107250,5.107250,5.107250,5.107250,2.912223,734877
2007-10-23,5.107250,5.107250,5.107250,5.107250,2.912223,734877
2007-10-24,5.107250,5.111900,5.107250,5.107250,2.912223,51476
2007-10-25,5.107250,5.107250,5.107250,5.107250,2.912223,134828
2007-10-26,5.107250,5.130470,5.107250,5.107250,2.912223,45014
2007-10-29,5.153680,5.153680,5.107250,5.107250,2.912223,716138
2007-10-30,5.153680,5.153680,5.107250,5.107250,2.912223,716138
2007-10-31,5.107250,5.111900,5.107250,5.107250,2.912223,735738
2007-11-01,5.107250,5.200110,5.107250,5.200110,2.965172,15938
2007-11-05,5.381190,5.617980,5.381190,5.617980,3.203448,21107
2007-11-06,5.381190,5.664410,5.381190,5.664410,3.229923,25630
2007-11-07,5.803700,5.929060,5.803700,5.929060,3.380830,84429
2007-11-08,5.919770,5.919770,5.859410,5.919770,3.375532,33384
2007-11-09,5.859410,5.896550,5.664410,5.896550,3.362292,31876
2007-11-12,5.850130,5.850130,5.757270,5.761910,3.285519,6461
2007-11-13,5.757270,5.757270,5.757270,5.757270,3.282873,224211
2007-11-14,5.752620,5.803700,5.752620,5.803700,3.309347,97998
2007-11-16,5.757270,5.757270,5.664410,5.664410,3.229923,7754
2007-11-19,5.571550,5.571550,5.571550,5.571550,3.176973,21753
2007-11-21,5.432260,5.432260,5.432260,5.432260,3.097548,3877
2007-11-22,5.432260,5.432260,5.385830,5.385830,3.071073,65476
2007-11-23,5.292970,5.432260,5.246540,5.246540,2.991647,7323
2007-11-26,5.246540,5.339400,5.223330,5.223330,2.978413,144305
2007-11-27,5.107250,5.107250,5.014390,5.107250,2.912223,143443
2007-11-28,5.330110,5.330110,4.875100,5.014390,2.859272,318116
2007-11-29,5.037610,5.107250,5.014390,5.107250,2.912223,74091
2007-11-30,5.316190,5.316190,5.107250,5.316190,3.031363,228949
2007-12-03,5.330110,5.478690,5.330110,5.478690,3.124023,23476
2007-12-04,5.330110,5.478690,5.330110,5.478690,3.124023,23476
2007-12-05,5.525120,5.525120,5.427620,5.427620,3.094902,8400
2007-12-06,5.520480,5.520480,5.153680,5.153680,2.938697,157012
2007-12-07,5.520480,5.520480,5.153680,5.153680,2.938697,157012
2007-12-10,5.223330,5.223330,5.000460,5.000460,2.851329,563649
2007-12-11,5.107250,5.107250,4.995820,4.995820,2.848684,157012
2007-12-12,5.200110,5.200110,4.967960,4.967960,2.832797,19600
2007-12-13,4.944750,5.107250,4.503670,4.638310,2.644826,406207
2007-12-14,4.596530,4.642960,4.410810,4.642960,2.647478,72152
2007-12-17,4.526880,4.540810,4.266880,4.266880,2.433032,174242
2007-12-18,4.271520,4.294730,4.225090,4.294730,2.448913,95413
2007-12-19,4.596530,4.596530,4.596530,4.596530,2.621003,1292
2007-12-20,4.642960,4.782250,4.638310,4.638310,2.644826,91106
2007-12-21,4.596530,4.772960,4.415450,4.772960,2.721606,86367
2007-12-26,4.824030,4.824030,4.642960,4.712600,2.687188,13138
2007-12-27,4.642960,4.642960,4.596530,4.596530,2.621003,83998
2007-12-28,5.339400,5.339400,4.410810,5.014390,2.859272,80552
2008-01-02,5.014390,5.014390,4.619740,4.619740,2.634238,14646
2008-01-03,4.619740,4.642960,4.619740,4.638310,2.644826,44368
2008-01-04,4.875100,4.875100,4.642960,4.642960,2.647478,3661
2008-01-07,4.647600,4.759030,4.647600,4.759030,2.713663,24123
2008-01-08,4.782250,4.851890,4.735820,4.851890,2.766613,68275
2008-01-09,4.824030,4.828670,4.824030,4.828670,2.753373,6031
2008-01-10,4.875100,4.875100,4.828670,4.828670,2.753373,130951
2008-01-11,4.828670,4.870460,4.703320,4.735820,2.700428,248333
2008-01-14,4.735820,4.735820,4.642960,4.731170,2.697776,119751
2008-01-15,4.712600,4.712600,4.642960,4.642960,2.647478,226364
2008-01-16,4.642960,4.642960,4.508310,4.508310,2.570699,1508
2008-01-17,4.550100,4.596530,4.461880,4.596530,2.621003,1316618
2008-01-18,4.526880,4.526880,4.499020,4.499020,2.565402,51907
2008-01-21,9.007340,9.007340,8.682330,8.682330,4.950781,0
2008-01-22,4.875100,4.875100,4.526880,4.642960,2.647478,171873
2008-01-23,4.526880,4.526880,4.044020,4.178660,2.382728,137197
2008-01-24,4.499020,4.503670,4.364380,4.499020,2.565402,53414
2008-01-28,4.503670,4.503670,4.503670,4.503670,2.568053,1508
2008-01-29,4.642960,5.014390,4.642960,5.014390,2.859272,2800
2008-01-30,5.014390,5.014390,5.014390,5.014390,2.859272,1292
2008-01-31,4.865820,5.111900,4.861180,5.111900,2.914874,174458
2008-02-01,5.172250,5.172250,5.107250,5.107250,2.912223,646140
2008-02-06,9.982360,9.982360,9.889500,9.889500,5.639125,0
2008-02-07,4.991180,5.107250,4.991180,5.107250,2.912223,751892
2008-02-08,4.954030,4.954030,4.828670,4.954030,2.824855,13138
2008-02-11,4.954030,4.967960,4.875100,4.967960,2.832797,33169
2008-02-12,5.107250,5.107250,4.967960,4.967960,2.832797,1077
2008-02-13,4.954030,4.954030,4.782250,4.837960,2.758669,412453
2008-02-14,4.898320,4.991180,4.898320,4.991180,2.846038,11631
2008-02-15,4.902960,4.991180,4.902960,4.991180,2.846038,35968
2008-02-18,4.842600,4.967960,4.842600,4.967960,2.832797,47599
2008-02-19,4.958680,4.967960,4.958680,4.967960,2.832797,12923
2008-02-20,4.921530,4.967960,4.921530,4.967960,2.832797,215811
2008-02-21,5.107250,5.107250,4.921530,4.921530,2.806322,643771
2008-02-22,5.102610,5.102610,4.921530,4.967960,2.832797,480082
2008-02-25,4.944750,4.967960,4.837960,4.967960,2.832797,324147
2008-02-26,4.967960,4.967960,4.875100,4.967960,2.832797,320055
2008-02-27,4.967960,4.967960,4.967960,4.967960,2.832797,11200
2008-02-28,4.875100,4.921530,4.875100,4.875100,2.779847,30799
2008-02-29,4.875100,4.991180,4.875100,4.991180,2.846038,54276
2008-03-03,4.842600,4.991180,4.842600,4.949390,2.822208,465005
2008-03-04,4.991180,4.991180,4.986540,4.986540,2.843392,218611
2008-03-05,4.991180,4.991180,4.782250,4.782250,2.726903,137843
2008-03-06,4.782250,4.944750,4.782250,4.944750,2.819563,26707
2008-03-07,4.967960,4.967960,4.944750,4.944750,2.819563,681462
2008-03-10,4.967960,4.967960,4.875100,4.875100,2.779847,49753
2008-03-11,4.967960,4.967960,4.819390,4.824030,2.750726,122767
2008-03-12,4.819390,4.819390,4.819390,4.819390,2.748081,62460
2008-03-13,4.842600,4.842600,4.842600,4.842600,2.761316,25415
2008-03-14,4.842600,5.102610,4.819390,4.875100,2.779847,31015
2008-03-17,4.828670,4.828670,4.684740,4.684740,2.671302,24123
2008-03-18,4.828670,4.828670,4.731170,4.731170,2.697776,37261
2008-03-19,4.596530,4.596530,4.596530,4.596530,2.621003,21538
2008-03-20,4.596530,4.596530,4.452600,4.457240,2.541578,37476
2008-03-24,4.457240,4.457240,4.401520,4.401520,2.509806,51691
2008-03-25,4.266880,4.317950,4.225090,4.266880,2.433032,46522
2008-03-26,4.141520,4.141520,3.946510,4.141520,2.361550,239933
2008-03-27,4.178660,4.178660,4.085800,4.127590,2.353607,240579
2008-03-28,4.178660,4.178660,3.969730,3.969730,2.263593,52768
2008-03-31,4.178660,4.178660,3.714370,3.756150,2.141807,36399
2008-04-01,3.784010,3.784010,3.677220,3.760790,2.144453,153566
2008-04-02,3.853650,3.853650,3.644720,3.644720,2.078268,217749
2008-04-03,3.621510,3.621510,3.575080,3.575080,2.038558,53845
2008-04-04,3.575080,3.575080,3.551860,3.556500,2.027964,1077
2008-04-07,3.621510,3.714370,3.468290,3.528650,2.012083,161750
2008-04-08,3.575080,3.598290,3.575080,3.589010,2.046502,3446
2008-04-09,3.482220,3.575080,3.482220,3.528650,2.012083,936257
2008-04-10,3.598290,3.598290,3.421860,3.435790,1.959134,200088
2008-04-11,3.380070,3.445070,3.329000,3.445070,1.964425,103813
2008-04-14,3.482220,3.482220,3.380070,3.412570,1.945893,76460
2008-04-15,3.407930,3.407930,3.380070,3.384720,1.930013,104890
2008-04-16,3.482220,3.482220,3.296500,3.296500,1.879709,13354
2008-04-17,3.342930,3.342930,3.240780,3.240780,1.847936,34461
2008-04-18,3.338290,3.338290,2.785770,2.948280,1.681149,359254
2008-04-22,3.027210,3.082920,2.925060,3.017920,1.720858,2329765
2008-04-23,3.064350,3.250070,3.017920,3.064350,1.747333,2024357
2008-04-24,3.124710,3.250070,3.106140,3.203640,1.826758,201165
2008-04-25,3.296500,3.296500,3.245430,3.245430,1.850587,6892
2008-04-28,3.454360,3.454360,3.240780,3.240780,1.847936,6246
2008-04-29,3.296500,3.342930,3.250070,3.296500,1.879709,659063
2008-04-30,3.296500,3.807220,3.296500,3.807220,2.170928,521004
2008-05-02,3.807220,4.178660,3.807220,4.132230,2.356253,339224
2008-05-05,4.109020,4.364380,4.109020,4.364380,2.488628,564080
2008-05-06,4.359740,4.359740,4.248310,4.266880,2.433032,235841
2008-05-07,4.271520,4.396880,4.271520,4.364380,2.488628,73014
2008-05-08,4.410810,4.457240,4.396880,4.410810,2.515103,1041793
2008-05-09,4.317950,4.401520,4.317950,4.401520,2.509806,646
2008-05-12,4.341160,4.341160,4.187950,4.187950,2.388026,266640
2008-05-13,4.341160,4.341160,4.187950,4.187950,2.388026,266640
2008-05-14,4.257590,4.304020,4.076520,4.201880,2.395968,475990
2008-05-15,4.201880,4.201880,4.039370,4.183300,2.385374,28646
2008-05-16,4.183300,4.239020,4.076520,4.239020,2.417146,85721
2008-05-19,4.155450,4.178660,4.062590,4.178660,2.382728,366361
2008-05-20,4.178660,4.178660,4.160090,4.160090,2.372139,1077
2008-05-21,4.160090,4.178660,3.932580,3.992940,2.276828,221626
2008-05-23,3.992940,4.016160,3.992940,3.992940,2.276828,3015
2008-05-26,3.992940,3.992940,3.992940,3.992940,2.276828,21323
2008-05-27,3.992940,3.992940,3.992940,3.992940,2.276828,24123
2008-05-28,3.992940,3.992940,3.946510,3.988300,2.274182,66768
