Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,1.085220,1.085220,1.085220,1.085220,0.193442,157
2000-01-06,1.040390,1.040390,1.040390,1.040390,0.185451,149
2000-01-07,1.061620,1.061620,1.061620,1.061620,0.189235,159
2000-01-10,1.085220,1.085220,1.085220,1.085220,0.193442,30
2000-01-11,1.014440,1.014440,1.014440,1.014440,0.180825,37
2000-01-12,0.979050,0.979050,0.979050,0.979050,0.174517,84
2000-01-13,0.990850,0.990850,0.990850,0.990850,0.176620,27
2000-01-14,0.986130,0.986130,0.986130,0.986130,0.175779,25
2000-01-17,1.000290,1.000290,1.000290,1.000290,0.178303,22
2000-01-18,0.990850,0.990850,0.990850,0.990850,0.176620,66
2000-01-19,0.955460,0.955460,0.955460,0.955460,0.170312,127
2000-01-20,0.948380,0.948380,0.948380,0.948380,0.169050,45
2000-01-21,0.955460,0.955460,0.955460,0.955460,0.170312,60
2000-01-24,0.955460,0.955460,0.955460,0.955460,0.170312,25
2000-01-25,3.821850,3.821850,3.821850,3.821850,0.681248,0
2000-01-26,0.988490,0.988490,0.988490,0.988490,0.176199,96
2000-01-27,0.967260,0.967260,0.967260,0.967260,0.172415,27
2000-01-28,0.943670,0.943670,0.943670,0.943670,0.168210,33
2000-01-31,0.901200,0.901200,0.901200,0.901200,0.160640,42
2000-02-01,0.884690,0.884690,0.884690,0.884690,0.157697,83
2000-02-02,0.884690,0.884690,0.884690,0.884690,0.157697,56
2000-02-03,0.884690,0.884690,0.884690,0.884690,0.157697,40
2000-02-04,0.908280,0.908280,0.908280,0.908280,0.161902,111
2000-02-07,0.908280,0.908280,0.908280,0.908280,0.161902,67
2000-02-08,0.983770,0.983770,0.983770,0.983770,0.175358,241
2000-02-09,1.061620,1.061620,1.061620,1.061620,0.189235,483
2000-02-10,1.335290,1.335290,1.335290,1.335290,0.238017,930
2000-02-11,1.580640,1.580640,1.580640,1.580640,0.281751,1139
2000-02-14,1.639620,1.639620,1.639620,1.639620,0.292264,629
2000-02-15,1.457960,1.457960,1.457960,1.457960,0.259883,207
2000-02-16,1.415500,1.415500,1.415500,1.415500,0.252314,90
2000-02-17,1.533460,1.533460,1.533460,1.533460,0.273341,145
2000-02-18,1.417860,1.417860,1.417860,1.417860,0.252735,22
2000-02-21,1.415500,1.415500,1.415500,1.415500,0.252314,180
2000-02-22,1.250360,1.250360,1.250360,1.250360,0.222878,60
2000-02-23,1.285750,1.285750,1.285750,1.285750,0.229186,11
2000-02-24,1.332930,1.332930,1.332930,1.332930,0.237596,15
2000-02-25,1.462680,1.462680,1.462680,1.462680,0.260724,25
2000-02-28,1.347080,1.347080,1.347080,1.347080,0.240118,8
2000-02-29,1.344720,1.344720,1.344720,1.344720,0.239698,3
2000-03-01,1.297540,1.297540,1.297540,1.297540,0.231288,18
2000-03-02,4.925940,4.925940,4.925940,4.925940,0.878054,0
2000-03-03,1.332930,1.332930,1.332930,1.332930,0.237596,44
2000-03-06,5.331710,5.331710,5.331710,5.331710,0.950383,0
2000-03-07,5.331710,5.331710,5.331710,5.331710,0.950383,0
2000-03-08,1.332930,1.332930,1.332930,1.332930,0.237596,22
2000-03-09,1.356520,1.356520,1.356520,1.356520,0.241801,2
2000-03-10,1.356520,1.356520,1.356520,1.356520,0.241801,9
2000-03-13,5.426080,5.426080,5.426080,5.426080,0.967204,0
2000-03-14,4.727770,4.727770,4.727770,4.727770,0.842730,0
2000-03-15,4.718330,4.718330,4.718330,4.718330,0.841047,0
2000-03-16,1.297540,1.297540,1.297540,1.297540,0.231288,28
2000-03-17,1.356520,1.356520,1.356520,1.356520,0.241801,55
2000-03-20,1.297540,1.297540,1.297540,1.297540,0.231288,37
2000-03-21,1.415500,1.415500,1.415500,1.415500,0.252314,111
2000-03-22,1.439090,1.439090,1.439090,1.439090,0.256519,100
2000-03-23,1.403700,1.403700,1.403700,1.403700,0.250211,120
2000-03-24,1.344720,1.344720,1.344720,1.344720,0.239698,8
2000-03-27,1.297540,1.297540,1.297540,1.297540,0.231288,25
2000-03-28,1.245640,1.245640,1.245640,1.245640,0.222037,142
2000-03-29,1.238560,1.238560,1.238560,1.238560,0.220775,42
2000-03-30,1.226770,1.226770,1.226770,1.226770,0.218673,10
2000-03-31,1.250360,1.250360,1.250360,1.250360,0.222878,24
2000-04-03,1.238560,1.238560,1.238560,1.238560,0.220775,8
2000-04-04,1.179580,1.179580,1.179580,1.179580,0.210261,52
2000-04-05,1.179580,1.179580,1.179580,1.179580,0.210261,13
2000-04-06,1.259790,1.259790,1.259790,1.259790,0.224559,4
2000-04-07,1.285750,1.285750,1.285750,1.285750,0.229186,24
2000-04-10,1.250360,1.250360,1.250360,1.250360,0.222878,70
2000-04-11,1.214970,1.214970,1.214970,1.214970,0.216570,7
2000-04-12,1.203170,1.203170,1.203170,1.203170,0.214466,23
2000-04-13,3.774670,3.774670,3.774670,3.774670,0.672839,0
2000-04-14,3.585930,3.585930,3.585930,3.585930,0.639196,0
2000-04-17,1.144200,1.144200,1.144200,1.144200,0.203955,2
2000-04-18,1.151270,1.151270,1.151270,1.151270,0.205215,23
2000-04-19,1.153630,1.153630,1.153630,1.153630,0.205636,48
2000-04-20,3.019730,3.019730,3.019730,3.019730,0.538270,0
2000-04-21,3.019730,3.019730,3.019730,3.019730,0.538270,0
2000-04-24,1.132400,1.132400,1.132400,1.132400,0.201851,5
2000-04-25,1.104090,1.104090,1.104090,1.104090,0.196805,8
2000-04-26,1.061620,1.061620,1.061620,1.061620,0.189235,25
2000-04-27,1.085220,1.085220,1.085220,1.085220,0.193442,25
2000-04-28,1.155990,1.155990,1.155990,1.155990,0.206056,11
2000-05-01,4.623960,4.623960,4.623960,4.623960,0.824225,0
2000-05-02,1.108810,1.108810,1.108810,1.108810,0.197647,31
2000-05-03,1.082860,1.082860,1.082860,1.082860,0.193021,35
