Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,22.707100,22.707100,22.707100,22.707100,10.403870,25
2008-01-03,22.628599,22.707100,22.628599,22.707100,10.403870,25
2008-01-04,22.000000,22.000000,22.000000,22.000000,10.079891,89
2008-01-07,null,null,null,null,null,null
2008-01-08,21.607100,22.000000,21.607100,22.000000,10.079891,153
2008-01-09,22.000000,24.357100,22.000000,24.357100,11.159861,955
2008-01-10,23.964300,24.278601,23.964300,24.278601,11.123895,102
2008-01-11,24.278601,24.278601,23.178600,23.178600,10.619900,420
2008-01-14,24.278601,28.207100,24.278601,28.207100,12.923841,382
2008-01-15,23.571400,26.635700,23.571400,26.635700,12.203863,140
2008-01-16,23.571400,23.571400,23.571400,23.571400,10.799871,38
2008-01-17,22.157101,23.571400,20.114300,23.571400,10.799871,76
2008-01-18,22.785700,23.571400,22.785700,23.178600,10.619900,76
2008-01-21,null,null,null,null,null,null
2008-01-22,23.178600,23.178600,23.178600,23.178600,10.619900,13
2008-01-23,null,null,null,null,null,null
2008-01-24,27.107100,27.107100,20.742901,20.742901,9.503918,280
2008-01-28,null,null,null,null,null,null
2008-01-29,null,null,null,null,null,null
2008-01-30,20.428600,20.428600,20.428600,20.428600,9.359913,64
2008-01-31,null,null,null,null,null,null
2008-02-01,null,null,null,null,null,null
2008-02-06,null,null,null,null,null,null
2008-02-07,19.642900,26.714300,19.642900,26.714300,12.239877,127
2008-02-08,null,null,null,null,null,null
2008-02-11,null,null,null,null,null,null
2008-02-12,null,null,null,null,null,null
2008-02-13,null,null,null,null,null,null
2008-02-14,25.064301,25.064301,25.064301,25.064301,11.483885,13
2008-02-15,null,null,null,null,null,null
2008-02-18,null,null,null,null,null,null
2008-02-19,null,null,null,null,null,null
2008-02-20,23.571400,23.571400,23.571400,23.571400,10.799871,51
2008-02-21,null,null,null,null,null,null
2008-02-22,null,null,null,null,null,null
2008-02-25,22.078600,22.078600,21.214300,21.214300,9.719904,115
2008-02-26,23.571400,23.571400,23.571400,23.571400,10.799871,13
2008-02-27,23.571400,23.571400,23.571400,23.571400,10.799871,13
2008-02-28,20.035700,23.414301,20.035700,23.414301,10.727894,242
2008-02-29,19.642900,19.642900,19.642900,19.642900,8.999925,102
2008-03-03,null,null,null,null,null,null
2008-03-04,null,null,null,null,null,null
2008-03-05,null,null,null,null,null,null
2008-03-06,null,null,null,null,null,null
2008-03-07,19.799999,19.799999,19.799999,19.799999,9.071903,13
2008-03-10,21.685699,21.685699,21.685699,21.685699,9.935887,25
2008-03-11,17.285700,21.607100,17.285700,21.607100,9.899875,76
2008-03-12,21.607100,21.607100,19.642900,21.607100,9.899875,64
2008-03-13,19.642900,22.392900,19.642900,22.392900,10.259910,25
2008-03-14,null,null,null,null,null,null
2008-03-17,22.314301,25.850000,22.314301,24.278601,11.123895,140
2008-03-18,null,null,null,null,null,null
2008-03-19,22.785700,25.457100,22.785700,25.457100,11.663856,191
2008-03-20,20.507099,25.378599,20.507099,25.378599,11.627889,76
2008-03-24,null,null,null,null,null,null
2008-03-25,null,null,null,null,null,null
2008-03-26,null,null,null,null,null,null
2008-03-27,22.000000,22.000000,22.000000,22.000000,10.079891,25
2008-03-28,22.000000,22.000000,19.799999,22.000000,10.079891,293
2008-03-31,19.799999,23.964300,19.799999,23.964300,10.979889,255
2008-04-01,23.571400,24.357100,23.571400,24.357100,11.159861,38
2008-04-02,null,null,null,null,null,null
2008-04-03,22.000000,22.000000,20.507099,20.821400,9.539886,115
2008-04-04,null,null,null,null,null,null
2008-04-07,null,null,null,null,null,null
2008-04-08,null,null,null,null,null,null
2008-04-09,20.742901,20.742901,19.642900,20.664301,9.467907,76
2008-04-10,null,null,null,null,null,null
2008-04-11,19.564301,19.564301,19.564301,19.564301,8.963911,38
2008-04-14,19.564301,19.564301,19.564301,19.564301,8.963911,51
2008-04-15,23.335699,23.571400,23.335699,23.571400,10.799871,76
2008-04-16,null,null,null,null,null,null
2008-04-17,null,null,null,null,null,null
2008-04-18,22.392900,22.392900,22.392900,22.392900,10.259910,51
2008-04-22,null,null,null,null,null,null
2008-04-23,null,null,null,null,null,null
2008-04-24,null,null,null,null,null,null
2008-04-25,20.428600,20.428600,20.114300,20.114300,9.215907,64
2008-04-28,null,null,null,null,null,null
2008-04-29,19.721399,19.721399,19.721399,19.721399,9.035892,827
2008-04-30,19.721399,19.721399,19.721399,19.721399,9.035892,13
2008-05-02,19.799999,19.799999,17.285700,18.464300,8.459918,1158
2008-05-05,20.035700,20.035700,18.464300,20.035700,9.179895,318
2008-05-06,20.035700,20.035700,18.385700,18.542900,8.495931,140
2008-05-07,18.621401,18.621401,18.542900,18.621401,8.531897,153
2008-05-08,18.700001,18.700001,18.621401,18.621401,8.531897,280
2008-05-09,null,null,null,null,null,null
2008-05-12,19.642900,20.114300,19.642900,20.114300,9.215907,484
2008-05-13,null,null,null,null,null,null
2008-05-14,20.114300,21.450001,20.035700,21.450001,9.827896,293
2008-05-15,20.585699,20.585699,20.114300,20.114300,9.215907,51
2008-05-16,20.192900,20.192900,20.192900,20.192900,9.251921,25
2008-05-19,null,null,null,null,null,null
2008-05-20,20.428600,20.428600,20.428600,20.428600,9.359913,51
2008-05-21,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-26,20.428600,20.428600,20.114300,20.114300,9.215907,127
2008-05-27,20.114300,21.842899,20.114300,21.214300,9.719904,280
2008-05-28,23.571400,23.571400,21.371401,21.371401,9.791883,153
2008-05-29,null,null,null,null,null,null
2008-05-30,null,null,null,null,null,null
2008-06-02,null,null,null,null,null,null
2008-06-03,23.571400,24.750000,23.571400,24.671400,11.303865,115
2008-06-04,23.492901,23.964300,21.764299,23.964300,10.979889,115
2008-06-05,23.964300,24.435699,23.964300,24.435699,11.195873,509
2008-06-06,null,null,null,null,null,null
2008-06-09,null,null,null,null,null,null
2008-06-10,null,null,null,null,null,null
2008-06-11,null,null,null,null,null,null
2008-06-12,null,null,null,null,null,null
2008-06-13,null,null,null,null,null,null
2008-06-16,null,null,null,null,null,null
2008-06-17,23.571400,23.571400,23.571400,23.571400,10.799871,64
2008-06-18,null,null,null,null,null,null
2008-06-19,null,null,null,null,null,null
2008-06-20,24.750000,24.750000,24.750000,24.750000,11.339879,25
2008-06-23,null,null,null,null,null,null
2008-06-24,null,null,null,null,null,null
2008-06-25,null,null,null,null,null,null
2008-06-26,null,null,null,null,null,null
2008-06-27,23.571400,24.750000,23.571400,24.750000,11.339879,127
2008-06-30,null,null,null,null,null,null
2008-07-01,null,null,null,null,null,null
2008-07-02,null,null,null,null,null,null
2008-07-03,null,null,null,null,null,null
2008-07-04,null,null,null,null,null,null
2008-07-07,22.785700,24.357100,22.785700,24.357100,11.159861,153
2008-07-08,null,null,null,null,null,null
2008-07-10,null,null,null,null,null,null
2008-07-11,null,null,null,null,null,null
2008-07-14,null,null,null,null,null,null
2008-07-15,null,null,null,null,null,null
2008-07-16,null,null,null,null,null,null
2008-07-17,null,null,null,null,null,null
2008-07-18,null,null,null,null,null,null
2008-07-21,null,null,null,null,null,null
2008-07-22,null,null,null,null,null,null
2008-07-23,null,null,null,null,null,null
2008-07-24,null,null,null,null,null,null
2008-07-25,null,null,null,null,null,null
2008-07-28,null,null,null,null,null,null
2008-07-29,null,null,null,null,null,null
2008-07-30,null,null,null,null,null,null
2008-07-31,null,null,null,null,null,null
