Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,3.375000,3.416670,3.375000,3.416670,2.123328,1876800
2000-01-06,3.416670,3.500000,3.416670,3.416670,2.123328,792000
2000-01-07,3.458330,3.559170,3.458330,3.541670,2.201010,5347200
2000-01-10,3.750000,3.833330,3.750000,3.833330,2.382266,2980800
2000-01-11,3.833330,3.858330,3.808330,3.841670,2.387449,326400
2000-01-12,3.850000,3.916670,3.841670,3.879170,2.410753,5068800
2000-01-13,4.008330,4.008330,4.008330,4.008330,2.491021,120000
2000-01-14,4.017500,4.083330,4.017500,4.083330,2.537631,3484800
2000-01-17,4.083330,4.166670,4.083330,4.166670,2.589423,230400
2000-01-18,4.125000,4.125000,4.025000,4.041670,2.511741,3724800
2000-01-19,4.041670,4.050830,4.000000,4.025000,2.501381,1872000
2000-01-20,4.000000,4.000000,4.000000,4.000000,2.485845,748800
2000-01-21,4.000000,4.000000,3.916670,3.916670,2.434058,144000
2000-01-24,3.916670,4.041670,3.916670,4.000000,2.485845,705600
2000-01-25,4.000000,4.000000,4.000000,4.000000,2.485845,0
2000-01-26,3.966670,3.966670,3.966670,3.966670,2.465131,196800
2000-01-27,4.041670,4.041670,4.000000,4.000000,2.485845,686400
2000-01-28,4.000000,4.000000,4.000000,4.000000,2.485845,211200
2000-01-31,3.333330,4.166670,3.333330,3.333330,2.071535,0
2000-02-01,3.916670,3.916670,3.916670,3.916670,2.434058,148800
2000-02-02,3.950000,3.950000,3.750000,3.750000,2.330479,739200
2000-02-03,3.708330,3.833330,3.708330,3.750000,2.330479,4382400
2000-02-04,3.750000,3.891670,3.750000,3.891670,2.418522,345600
2000-02-07,3.916670,4.083330,3.916670,4.083330,2.537631,81600
2000-02-08,4.083330,4.320830,4.083330,4.320830,2.685228,1036800
2000-02-09,4.258330,4.366670,4.250000,4.250000,2.641210,6081600
2000-02-10,4.250000,4.250000,4.000000,4.000000,2.485845,3969600
2000-02-11,4.000000,4.000000,3.790830,3.790830,2.355854,43200
2000-02-14,3.791670,3.791670,3.741670,3.741670,2.325303,278400
2000-02-15,3.741670,3.833330,3.583330,3.833330,2.382266,158400
2000-02-16,3.833330,3.833330,3.833330,3.833330,2.382266,470400
2000-02-17,3.750000,3.750000,3.750000,3.750000,2.330479,9600
2000-02-18,3.750000,3.750000,3.750000,3.750000,2.330479,28800
2000-02-21,3.750000,3.750000,3.749170,3.750000,2.330479,52800
2000-02-22,3.666670,3.666670,3.666670,3.666670,2.278694,422400
2000-02-23,3.833330,3.833330,3.666670,3.750000,2.330479,792000
2000-02-24,3.750000,3.750000,3.708330,3.708330,2.304583,340800
2000-02-25,3.666670,3.666670,3.666670,3.666670,2.278694,38400
2000-02-28,3.625000,3.625000,3.583330,3.583330,2.226901,81600
2000-02-29,3.575000,3.575000,3.400000,3.400000,2.112967,465600
2000-03-01,3.400000,3.416670,3.374170,3.416670,2.123328,244800
2000-03-02,3.333330,3.333330,3.331670,3.331670,2.070503,624000
