Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,8.000000,8.000000,8.000000,8.000000,6.004865,0
2012-06-19,8.183330,8.290000,8.036670,8.133330,6.104943,2088000
2012-06-20,8.073330,8.136670,7.950000,7.983330,5.992352,1054800
2012-06-21,8.003330,8.116670,7.883330,8.100000,6.079926,1003500
2012-06-22,8.050000,8.133330,7.916670,8.000000,6.004865,724500
2012-06-25,7.923330,8.100000,7.906670,7.950000,5.967334,386400
2012-06-26,7.953330,8.033330,7.860000,8.033330,6.029883,875400
2012-06-27,8.033330,8.050000,7.866670,7.923330,5.947316,2511000
2012-06-28,7.930000,8.060000,7.903330,7.926670,5.949823,119700
2012-06-29,7.920000,8.233330,7.900000,8.100000,6.079926,1998000
2012-07-02,8.100000,8.246670,8.040000,8.246670,6.190017,430800
2012-07-03,8.246670,8.650000,8.133330,8.400000,6.305107,997800
2012-07-04,8.333330,8.593330,8.233330,8.466670,6.355151,418800
2012-07-05,8.496670,8.566670,8.300000,8.566670,6.430212,1518000
2012-07-06,8.446670,8.496670,8.336670,8.433330,6.330125,378000
2012-07-10,8.433330,8.533330,8.226670,8.483330,6.367656,1015200
2012-07-11,8.483330,8.483330,8.483330,8.483330,6.367656,0
2012-07-12,8.193330,8.396670,8.110000,8.333330,6.255065,265800
2012-07-13,8.456670,8.456670,8.120000,8.283330,6.217534,938100
2012-07-16,8.283330,8.283330,8.283330,8.283330,6.217534,0
2012-07-17,8.353330,8.353330,8.183330,8.300000,6.230047,775800
2012-07-18,8.266670,8.300000,8.166670,8.300000,6.230047,991500
2012-07-19,8.316670,8.500000,8.213330,8.500000,6.380168,2156400
2012-07-20,8.433330,8.536670,8.353330,8.433330,6.330125,975900
2012-07-23,8.350000,8.393330,8.166670,8.166670,6.129969,390300
2012-07-24,8.150000,8.210000,7.956670,8.166670,6.129969,965100
2012-07-25,8.166670,8.166670,8.166670,8.166670,6.129969,0
2012-07-26,8.276670,8.276670,8.166670,8.166670,6.129969,939300
2012-07-27,8.166670,8.166670,8.166670,8.166670,6.129969,0
2012-07-30,8.393330,8.446670,8.246670,8.346670,6.265079,700800
2012-07-31,8.500000,8.500000,8.320000,8.410000,6.312614,1403700
2012-08-01,8.410000,8.410000,8.410000,8.410000,6.312614,0
2012-08-02,8.400000,8.566670,8.400000,8.566670,6.430212,358200
2012-08-03,8.566670,8.566670,8.566670,8.566670,6.430212,0
2012-08-06,8.566670,8.566670,8.566670,8.566670,6.430212,0
2012-08-07,8.566670,8.566670,8.566670,8.566670,6.430212,0
2012-08-08,8.566670,8.566670,8.566670,8.566670,6.430212,0
2012-08-09,8.883330,9.583330,8.883330,9.410000,7.063221,4479000
2012-08-10,9.343330,9.766670,9.306670,9.766670,7.330941,4928400
2012-08-13,9.766670,9.766670,9.766670,9.766670,7.330941,0
2012-08-14,9.983330,9.966670,9.860000,9.966670,7.481063,1315200
2012-08-15,9.883330,9.976670,9.866670,9.900000,7.431020,1339800
2012-08-16,9.986670,10.243300,9.933330,10.146700,7.616194,1162200
2012-08-17,10.093300,10.156700,9.786670,9.966670,7.481063,504000
2012-08-20,10.020000,10.083300,9.880000,10.083300,7.568607,553200
2012-08-21,10.153300,10.166700,9.933330,10.166700,7.631207,1480200
2012-08-22,10.190000,10.150000,10.020000,10.116700,7.593678,686700
2012-08-23,10.003300,10.090000,9.960000,10.090000,7.573636,289800
2012-08-24,10.080000,10.366700,10.003300,10.366700,7.781329,977400
2012-08-27,10.360000,10.396700,10.226700,10.333300,7.756258,1413300
2012-08-28,10.333300,10.333300,10.190000,10.320000,7.746275,882900
2012-08-29,10.273300,10.563300,10.230000,10.526700,7.901427,930000
2012-08-30,10.443300,10.550000,10.276700,10.333300,7.756258,956400
2012-08-31,10.333300,10.500000,10.233300,10.500000,7.881383,2786700
2012-09-03,10.550000,10.650000,10.233300,10.513300,7.891368,506700
2012-09-04,10.500000,10.683300,10.423300,10.600000,7.956444,3667200
2012-09-05,10.606700,10.833300,10.233300,10.833300,8.131561,2443200
2012-09-06,10.863300,11.050000,10.796700,11.050000,8.294220,2054400
2012-09-10,10.966700,11.100000,10.940000,11.033300,8.281685,698700
2012-09-11,10.956700,10.996700,10.666700,10.996700,8.254212,864600
2012-09-12,10.993300,11.026700,10.666700,10.950000,8.219158,2385300
2012-09-13,10.926700,11.066700,10.820000,10.966700,8.231693,934200
2012-09-14,10.996700,11.033300,10.833300,11.000000,8.256689,930300
2012-09-17,10.953300,11.063300,10.773300,10.883300,8.169092,969600
2012-09-18,10.883300,10.950000,10.800000,10.900000,8.181628,1339800
2012-09-19,10.860000,10.956700,10.753300,10.933300,8.206623,911100
2012-09-20,10.840000,11.003300,10.823300,10.920000,8.196641,1213200
2012-09-21,10.893300,10.973300,10.856700,10.966700,8.231693,702900
2012-09-24,10.966700,11.000000,10.840000,11.000000,8.256689,1559100
2012-09-25,10.936700,10.996700,10.900000,10.966700,8.231693,607800
2012-09-26,10.883300,11.133300,10.856700,11.133300,8.356744,1991400
2012-09-27,11.163300,11.333300,11.163300,11.333300,8.506866,1248000
2012-09-28,11.276700,11.333300,11.133300,11.333300,8.506866,1049100
2012-10-01,11.330000,11.460000,11.286700,11.370000,8.534413,1125600
2012-10-02,11.406700,11.746700,11.406700,11.666700,8.757119,1090200
2012-10-03,11.700000,11.773300,11.593300,11.666700,8.757119,744000
2012-10-04,11.733300,11.913300,11.720000,11.866700,8.907241,849000
2012-10-05,11.886700,12.033300,11.780000,12.033300,9.032293,1542000
2012-10-08,11.850000,12.050000,11.723300,11.816700,8.869710,2359200
2012-10-09,11.906700,11.970000,11.706700,11.706700,8.787144,602700
2012-10-10,11.746700,11.876700,11.670000,11.816700,8.869710,859800
2012-10-11,11.873300,12.356700,11.626700,12.083300,9.069822,2998500
2012-10-15,12.083300,12.366700,11.953300,11.953300,8.972242,1160400
2012-10-16,12.073300,12.273300,11.903300,12.166700,9.132422,1013400
2012-10-17,12.256700,12.333300,12.180000,12.296700,9.230001,989400
2012-10-18,12.283300,12.403300,12.250000,12.333300,9.257473,573300
2012-10-19,12.393300,12.593300,12.116700,12.333300,9.257473,1046400
2012-10-22,12.336700,12.553300,12.223300,12.463300,9.355052,1231200
2012-10-23,12.480000,12.673300,12.370000,12.380000,9.292528,950100
2012-10-24,12.400000,12.533300,12.303300,12.533300,9.407595,1110900
2012-10-25,12.486700,12.830000,12.440000,12.716700,9.545257,1185000
2012-10-26,12.643300,12.866700,12.500000,12.866700,9.657849,619800
2012-10-29,12.796700,12.913300,12.606700,12.666700,9.507728,564000
2012-10-30,12.670000,12.760000,12.633300,12.666700,9.507728,3132000
2012-10-31,12.673300,12.900000,12.500000,12.900000,9.682844,1469400
2012-11-01,13.030000,13.253300,12.873300,13.130000,9.855484,1221000
2012-11-05,13.006700,13.256700,13.006700,13.166700,9.883034,805200
2012-11-06,13.116700,13.606700,13.050000,13.316700,9.995624,793500
2012-11-07,13.333300,13.406700,13.000000,13.000000,9.757905,998700
2012-11-08,13.156700,13.330000,12.803300,13.130000,9.855484,1416900
2012-11-09,13.200000,13.216700,13.106700,13.163300,9.880480,1230000
2012-11-12,13.290000,13.290000,13.000000,13.210000,9.915532,353700
2012-11-13,13.143300,13.146700,12.606700,12.833300,9.632777,833700
2012-11-14,12.813300,12.843300,12.293300,12.500000,9.382600,1433700
2012-11-16,12.466700,12.650000,12.273300,12.650000,9.495191,1290900
2012-11-19,12.646700,12.946700,12.573300,12.946700,9.717898,385500
2012-11-21,13.216700,13.216700,12.686700,12.940000,9.712868,965100
2012-11-22,12.826700,12.900000,12.576700,12.900000,9.682844,939900
2012-11-23,12.826700,12.846700,12.603300,12.603300,9.460138,1233900
2012-11-26,12.700000,12.840000,12.333300,12.333300,9.257473,789300
2012-11-27,12.413300,12.903300,12.036700,12.420000,9.322552,1460400
2012-11-28,12.496700,12.776700,12.450000,12.666700,9.507728,560100
2012-11-29,12.610000,12.866700,12.610000,12.853300,9.647790,447300
2012-11-30,12.826700,13.080000,12.683300,13.050000,9.795437,1874100
2012-12-03,12.986700,13.273300,11.920000,12.100000,9.082356,2426100
2012-12-04,12.000000,12.216700,11.483300,12.066700,9.057362,2831700
2012-12-05,12.060000,12.413300,12.030000,12.393300,9.302511,1798500
2012-12-06,12.316700,12.900000,12.316700,12.650000,9.495191,2962500
2012-12-07,12.683300,12.833300,12.636700,12.833300,9.632777,964800
2012-12-10,12.700000,12.733300,12.433300,12.566700,9.432667,1786800
2012-12-11,12.570000,12.780000,12.293300,12.780000,9.592771,3709500
2012-12-12,12.733300,12.883300,12.533300,12.830000,9.630301,2140800
2012-12-13,12.810000,13.110000,12.533300,13.066700,9.807971,2212500
2012-12-14,13.136700,13.333300,12.926700,13.166700,9.883034,1764900
2012-12-17,13.070000,13.230000,12.886700,13.166700,9.883034,1939800
2012-12-18,13.146700,13.666700,13.146700,13.500000,10.133209,5336100
2012-12-19,13.400000,13.500000,12.906700,13.333300,10.008082,2496900
2012-12-20,13.370000,13.803300,13.363300,13.683300,10.270796,1975800
2012-12-21,13.286700,13.910000,13.273300,13.663300,10.255784,3724500
2012-12-26,13.630000,13.993300,13.413300,13.616700,10.220805,1074600
2012-12-27,13.660000,13.853300,13.566700,13.763300,10.330843,1364100
2012-12-28,13.763300,13.906700,13.760000,13.906700,10.438481,1399800
2013-01-02,13.980000,13.980000,13.553300,13.583300,10.195735,1627200
2013-01-03,13.550000,13.573300,13.253300,13.400000,10.058148,2481600
2013-01-04,13.426700,13.426700,13.263300,13.330000,10.005606,846900
2013-01-07,13.413300,13.466700,13.000000,13.466700,10.108213,850800
2013-01-08,13.483300,13.823300,13.396700,13.793300,10.353362,6316500
2013-01-09,13.753300,14.166700,13.630000,14.166700,10.633640,1665900
2013-01-10,14.130000,14.483300,14.013300,14.400000,10.808756,1528800
2013-01-11,14.303300,14.313300,14.106700,14.153300,10.623583,1262700
2013-01-14,14.156700,14.156700,13.603300,13.666700,10.258335,1593900
2013-01-15,14.156700,14.156700,13.416700,13.583300,10.195735,1844100
2013-01-16,13.586700,13.966700,13.533300,13.966700,10.483519,2042100
2013-01-17,13.883300,13.950000,13.686700,13.883300,10.420918,1336500
2013-01-18,13.900000,13.996700,13.770000,13.900000,10.433451,1836600
2013-01-21,13.806700,14.293300,13.750000,14.176700,10.641146,3456300
2013-01-22,14.200000,14.333300,13.906700,14.176700,10.641146,3456300
2013-01-23,14.100000,14.310000,13.906700,14.250000,10.696164,1641600
