Data,Abertura,Fechamento,Variacao,Minimo,Maximo
"2016-01-04 00:00:00",43348,42141,-2.79,42125,43348
"2016-01-05 00:00:00",42139,42419,0.66,42137,42533
"2016-01-06 00:00:00",42409,41773,-1.52,41589,42409
"2016-01-07 00:00:00",41772,40694,-2.58,40694,41772
"2016-01-08 00:00:00",40695,40612,-0.2,40463,41217
"2016-01-11 00:00:00",40612,39950,-1.63,39924,40973
"2016-01-12 00:00:00",39954,39513,-1.09,39425,40261
"2016-01-13 00:00:00",39518,38944,-1.44,38822,40050
"2016-01-14 00:00:00",38944,39500,1.43,38458,39501
"2016-01-15 00:00:00",39493,38569,-2.36,37986,39493
"2016-01-18 00:00:00",38572,37937,-1.64,37937,38633
"2016-01-19 00:00:00",37941,38057,0.32,37941,38856
"2016-01-20 00:00:00",38056,37645,-1.08,37046,38056
"2016-01-21 00:00:00",37647,37717,0.19,37494,38079
"2016-01-22 00:00:00",37736,38031,0.83,37736,38443
"2016-01-26 00:00:00",38031,37497,-1.4,37112,38031
"2016-01-27 00:00:00",37500,38376,2.34,37402,38765
"2016-01-28 00:00:00",38376,38630,0.66,37996,39099
"2016-01-29 00:00:00",38634,40405,4.59,38634,40405
"2016-02-01 00:00:00",40396,40570,0.41,39738,40570
"2016-02-02 00:00:00",40563,38596,-4.87,38596,40563
"2016-02-03 00:00:00",38597,39589,2.57,38597,39726
"2016-02-04 00:00:00",39589,40822,3.11,39589,41444
"2016-02-05 00:00:00",40812,40592,-0.56,40566,41249
"2016-02-10 00:00:00",40592,40377,-0.53,39960,40592
"2016-02-11 00:00:00",40370,39318,-2.62,38928,40370
"2016-02-12 00:00:00",39324,39808,1.25,39324,39901
"2016-02-15 00:00:00",39808,40093,0.72,39808,40671
"2016-02-16 00:00:00",40093,40948,2.13,40074,41206
"2016-02-17 00:00:00",40958,41631,1.67,40958,42436
"2016-02-18 00:00:00",41624,41478,-0.37,41183,41698
"2016-02-19 00:00:00",41477,41543,0.16,41071,41828
"2016-02-22 00:00:00",41544,43235,4.07,41544,43345
"2016-02-23 00:00:00",43235,42521,-1.65,42359,43601
"2016-02-24 00:00:00",42521,42085,-1.03,41211,42521
"2016-02-25 00:00:00",42084,41888,-0.47,41442,42327
"2016-02-26 00:00:00",41889,41593,-0.7,41417,42495
"2016-02-29 00:00:00",41599,42794,2.89,41599,43053
"2016-03-01 00:00:00",42795,44122,3.1,42795,44181
"2016-03-02 00:00:00",44122,44893,1.75,43841,44983
"2016-03-03 00:00:00",44900,47193,5.12,44900,47375
"2016-03-04 00:00:00",47194,49085,4.01,47194,50024
"2016-03-07 00:00:00",49089,49246,0.33,48746,49639
"2016-03-08 00:00:00",49244,49102,-0.29,48847,49914
"2016-03-09 00:00:00",49102,48665,-0.89,48623,50001
"2016-03-10 00:00:00",48667,49571,1.86,47922,49974
"2016-03-11 00:00:00",49574,49639,0.14,49156,50038
"2016-03-14 00:00:00",49639,48867,-1.55,48757,50166
"2016-03-15 00:00:00",48866,47130,-3.56,46684,48866
"2016-03-16 00:00:00",47130,47763,1.34,46521,47814
"2016-03-17 00:00:00",47770,50914,6.6,47770,51268
"2016-03-18 00:00:00",50915,50815,-0.19,50202,51308
"2016-03-21 00:00:00",50816,51172,0.7,50765,51370
"2016-03-22 00:00:00",51170,51010,-0.32,50812,51215
"2016-03-23 00:00:00",51005,49690,-2.59,49491,51005
"2016-03-24 00:00:00",49686,49657,-0.07,48778,49686
"2016-03-28 00:00:00",49687,50838,2.38,49687,51149
"2016-03-29 00:00:00",50839,51155,0.62,50387,51765
"2016-03-30 00:00:00",51155,51249,0.18,50900,52262
"2016-03-31 00:00:00",51248,50055,-2.33,49642,51248
"2016-04-01 00:00:00",50054,50562,1.01,49361,50768
"2016-04-04 00:00:00",50556,48780,-3.52,48600,50556
"2016-04-05 00:00:00",48778,49054,0.56,48149,49629
"2016-04-06 00:00:00",49054,48096,-1.95,47874,49054
"2016-04-07 00:00:00",48099,48513,0.87,48099,48940
"2016-04-08 00:00:00",48517,50293,3.67,48517,50486
"2016-04-11 00:00:00",50303,50165,-0.25,50078,51089
"2016-04-12 00:00:00",50166,52002,3.66,50166,52327
"2016-04-13 00:00:00",52010,53150,2.21,52010,53844
"2016-04-14 00:00:00",53150,52411,-1.39,52242,53699
