Macrotrends Data Download

Brazil Inflation Rate 1981-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1981-12-31,101.7251
1982-12-31,100.5434,-1.18
1983-12-31,135.0277,34.48
1984-12-31,192.1217,57.09
1985-12-31,225.9897,33.87
1986-12-31,147.1428,-78.85
1987-12-31,228.3362,81.19
1988-12-31,629.1145,400.78
1989-12-31,1430.7237,801.61
1990-12-31,2947.7328,1517.01
1991-12-31,432.7867,-2514.95
1992-12-31,951.9621,519.18
1993-12-31,1927.3808,975.42
1994-12-31,2075.8884,148.51
1995-12-31,66.007,-2009.88
1996-12-31,15.7577,-50.25
1997-12-31,6.9267,-8.83
1998-12-31,3.1951,-3.73
1999-12-31,4.8584,1.66
2000-12-31,7.0441,2.19
2001-12-31,6.8404,-0.2
2002-12-31,8.4502,1.61
2003-12-31,14.7149,6.26
2004-12-31,6.5972,-8.12
2005-12-31,6.8695,0.27
2006-12-31,4.1836,-2.69
2007-12-31,3.6413,-0.54
2008-12-31,5.6786,2.04
2009-12-31,4.888,-0.79
2010-12-31,5.0387,0.15
2011-12-31,6.6364,1.6
2012-12-31,5.4035,-1.23
2013-12-31,6.2043,0.8
2014-12-31,6.329,0.12
2015-12-31,9.0299,2.7
2016-12-31,8.7391,-0.29
2017-12-31,3.4464,-5.29
2018-12-31,3.6649,0.22
2019-12-31,3.733,0.07
